Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 17:23:22:626,0,-2.31967,-0.817986,86.3646
2023-03-11 17:23:22:636,0,-2.30095,-0.805927,86.3541
2023-03-11 17:23:22:646,0,-2.28271,-0.789081,86.3439
2023-03-11 17:23:22:656,0,-2.26646,-0.772293,86.3358
2023-03-11 17:23:22:666,0,-2.25362,-0.76002,86.3288
2023-03-11 17:23:22:676,0,-2.24175,-0.755536,86.3267
2023-03-11 17:23:22:686,0,-2.23579,-0.757477,86.3299
2023-03-11 17:23:22:696,0,-2.24204,-0.768604,86.3426
2023-03-11 17:23:22:706,0,-2.2577,-0.787859,86.3598
2023-03-11 17:23:22:716,0,-2.27899,-0.817372,86.3829
2023-03-11 17:23:22:726,0,-2.29679,-0.847817,86.4077
2023-03-11 17:23:22:736,0,-2.31375,-0.881036,86.4313
2023-03-11 17:23:22:746,0,-2.32096,-0.915534,86.4495
2023-03-11 17:23:22:756,0,-2.32601,-0.944469,86.4596
2023-03-11 17:23:22:766,0,-2.32096,-0.972001,86.4671
2023-03-11 17:23:22:776,0,-2.31968,-0.991909,86.4626
2023-03-11 17:23:22:786,0,-2.31978,-1.00871,86.4553
2023-03-11 17:23:22:796,0,-2.32083,-1.01995,86.4402
2023-03-11 17:23:22:806,0,-2.32353,-1.0257,86.4252
2023-03-11 17:23:22:816,0,-2.3304,-1.0287,86.4098
2023-03-11 17:23:22:826,0,-2.34898,-1.02717,86.3926
2023-03-11 17:23:22:836,0,-2.36862,-1.02371,86.3829
2023-03-11 17:23:22:846,0,-2.39297,-1.02221,86.3804
2023-03-11 17:23:22:856,0,-2.41987,-1.02615,86.381
2023-03-11 17:23:22:866,0,-2.44418,-1.03294,86.3883
2023-03-11 17:23:22:876,0,-2.4638,-1.04366,86.405
2023-03-11 17:23:22:886,0,-2.47171,-1.05752,86.4171
2023-03-11 17:23:22:896,0,-2.46334,-1.07662,86.4282
2023-03-11 17:23:22:906,0,-2.44521,-1.09766,86.4414
2023-03-11 17:23:22:916,0,-2.42748,-1.12367,86.4573
2023-03-11 17:23:22:926,0,-2.41377,-1.15434,86.4739
2023-03-11 17:23:22:936,0,-2.40265,-1.18155,86.4899
2023-03-11 17:23:22:946,0,-2.39224,-1.20787,86.5056
2023-03-11 17:23:22:956,0,-2.37789,-1.23147,86.5225
2023-03-11 17:23:22:966,0,-2.36695,-1.2527,86.5395
2023-03-11 17:23:22:976,0,-2.35008,-1.26643,86.5582
2023-03-11 17:23:22:986,0,-2.3397,-1.27747,86.5756
2023-03-11 17:23:22:996,0,-2.3283,-1.28684,86.5869
2023-03-11 17:23:23:6,0,-2.31513,-1.29246,86.5943
2023-03-11 17:23:23:16,0,-2.29461,-1.29629,86.5999
2023-03-11 17:23:23:26,0,-2.26502,-1.30061,86.6056
2023-03-11 17:23:23:36,0,-2.23275,-1.29954,86.607
2023-03-11 17:23:23:46,0,-2.19952,-1.29388,86.6055
2023-03-11 17:23:23:56,0,-2.17597,-1.28683,86.6052
2023-03-11 17:23:23:66,0,-2.14905,-1.27192,86.6017
2023-03-11 17:23:23:76,0,-2.1326,-1.25377,86.6009
2023-03-11 17:23:23:86,0,-2.1219,-1.23713,86.6032
2023-03-11 17:23:23:96,0,-2.11316,-1.21399,86.6055
2023-03-11 17:23:23:106,0,-2.11713,-1.19596,86.6102
2023-03-11 17:23:23:116,0,-2.12434,-1.17277,86.6162
2023-03-11 17:23:23:126,0,-2.13868,-1.15312,86.6243
2023-03-11 17:23:23:136,0,-2.15581,-1.14224,86.6305
2023-03-11 17:23:23:146,0,-2.17336,-1.13653,86.6342
2023-03-11 17:23:23:156,0,-2.19085,-1.12947,86.6343
2023-03-11 17:23:23:166,0,-2.20877,-1.12777,86.6253
2023-03-11 17:23:23:176,0,-2.22469,-1.12356,86.6124
2023-03-11 17:23:23:186,0,-2.23949,-1.12171,86.5937
2023-03-11 17:23:23:196,0,-2.25219,-1.11566,86.5713
2023-03-11 17:23:23:206,0,-2.26855,-1.1066,86.5476
2023-03-11 17:23:23:216,0,-2.28393,-1.09388,86.5177
2023-03-11 17:23:23:226,0,-2.29723,-1.0745,86.4869
2023-03-11 17:23:23:236,0,-2.31191,-1.05785,86.4616
2023-03-11 17:23:23:246,0,-2.32512,-1.0388,86.4387
2023-03-11 17:23:23:256,0,-2.33629,-1.01858,86.4195
2023-03-11 17:23:23:266,0,-2.34695,-0.996317,86.3977
2023-03-11 17:23:23:276,0,-2.35545,-0.970347,86.3792
2023-03-11 17:23:23:286,0,-2.36453,-0.947502,86.3624
2023-03-11 17:23:23:296,0,-2.37935,-0.923705,86.35
2023-03-11 17:23:23:306,0,-2.39928,-0.90709,86.3413
2023-03-11 17:23:23:316,0,-2.41759,-0.89944,86.3346
2023-03-11 17:23:23:326,0,-2.43895,-0.887885,86.3263
2023-03-11 17:23:23:336,0,-2.4593,-0.877009,86.3217
2023-03-11 17:23:23:346,0,-2.48367,-0.869869,86.3202
2023-03-11 17:23:23:356,0,-2.50742,-0.862732,86.3164
2023-03-11 17:23:23:366,0,-2.53276,-0.860013,86.3151
2023-03-11 17:23:23:376,0,-2.55684,-0.858713,86.3148
2023-03-11 17:23:23:386,0,-2.58219,-0.864312,86.3153
2023-03-11 17:23:23:396,0,-2.61232,-0.875781,86.3186
2023-03-11 17:23:23:406,0,-2.64543,-0.88483,86.3201
2023-03-11 17:23:23:416,0,-2.67345,-0.889561,86.3214
2023-03-11 17:23:23:426,0,-2.70686,-0.892489,86.3184
2023-03-11 17:23:23:436,0,-2.74029,-0.887434,86.3149
2023-03-11 17:23:23:446,0,-2.76898,-0.883999,86.3059
