Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta,voice_type,voice_length
2023-03-15 11:42:53:808,0,-79.7721,0.495388,77.9041,Q,Q
2023-03-15 11:42:53:818,0,-79.7706,0.494343,77.9024,Q,Q
2023-03-15 11:42:53:828,0,-79.7715,0.492169,77.9043,Q,Q
2023-03-15 11:42:53:838,0,-79.7704,0.491527,77.9037,Q,Q
2023-03-15 11:42:53:848,0,-79.7715,0.491423,77.9041,Q,Q
2023-03-15 11:42:53:858,0,-79.7728,0.488894,77.9044,Q,Q
2023-03-15 11:42:53:868,0,-79.7749,0.493067,77.9058,Q,Q
2023-03-15 11:42:53:878,0,-79.776,0.493494,77.9044,Q,Q
2023-03-15 11:42:53:888,0,-79.7776,0.49123,77.9032,Q,Q
2023-03-15 11:42:53:898,0,-79.7793,0.491207,77.901,Q,Q
2023-03-15 11:42:53:908,0,-79.7804,0.49133,77.9007,Q,Q
2023-03-15 11:42:53:918,0,-79.7798,0.490739,77.9025,Q,Q
2023-03-15 11:42:53:928,0,-79.7804,0.489483,77.9014,Q,Q
2023-03-15 11:42:53:938,0,-79.7809,0.485256,77.8989,Q,Q
2023-03-15 11:42:53:948,0,-79.7804,0.488091,77.9018,Q,Q
2023-03-15 11:42:53:958,0,-79.7802,0.489219,77.9019,Q,Q
2023-03-15 11:42:53:968,0,-79.7783,0.491495,77.9048,Q,Q
2023-03-15 11:42:53:978,0,-79.7779,0.490413,77.9033,Q,Q
2023-03-15 11:42:53:988,0,-79.7787,0.490245,77.9035,Q,Q
2023-03-15 11:42:53:998,0,-79.7742,0.489617,77.9043,Q,Q
2023-03-15 11:42:54:8,0,-79.7706,0.488767,77.904,Q,Q
2023-03-15 11:42:54:18,0,-79.7711,0.48858,77.9045,Q,Q
2023-03-15 11:42:54:28,0,-79.7678,0.488386,77.903,Q,Q
2023-03-15 11:42:54:38,0,-79.7671,0.489157,77.9005,Q,Q
2023-03-15 11:42:54:48,0,-79.7683,0.491293,77.9025,Q,Q
2023-03-15 11:42:54:58,0,-79.769,0.490219,77.9018,Q,Q
2023-03-15 11:42:54:68,0,-79.7645,0.489103,77.9003,Q,Q
2023-03-15 11:42:54:78,0,-79.7625,0.493738,77.9016,Q,Q
2023-03-15 11:42:54:88,0,-79.7626,0.493109,77.9021,Q,Q
2023-03-15 11:42:54:98,0,-79.7612,0.491459,77.9004,Q,Q
2023-03-15 11:42:54:108,0,-79.7631,0.493095,77.9017,Q,Q
2023-03-15 11:42:54:118,0,-79.7638,0.493004,77.9032,Q,Q
2023-03-15 11:42:54:128,0,-79.763,0.492255,77.9015,Q,Q
2023-03-15 11:42:54:138,0,-79.7615,0.492613,77.9029,Q,Q
2023-03-15 11:42:54:148,0,-79.7609,0.489702,77.9056,Q,Q
2023-03-15 11:42:54:158,0,-79.76,0.489232,77.9031,Q,Q
