Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta,voice_type,voice_length
2023-03-15 15:08:03:285,0,-2.01763,-5.46367,-13.9998,Q,Q
2023-03-15 15:08:03:293,0,-2.02031,-5.46376,-14.0233,Q,Q
2023-03-15 15:08:03:303,0,-2.02294,-5.46671,-14.0471,Q,Q
2023-03-15 15:08:03:313,0,-2.02117,-5.47195,-14.0707,Q,Q
2023-03-15 15:08:03:323,0,-2.01863,-5.47467,-14.0914,Q,Q
2023-03-15 15:08:03:334,0,-2.01431,-5.48287,-14.1112,Q,Q
2023-03-15 15:08:03:344,0,-2.00887,-5.49066,-14.1299,Q,Q
2023-03-15 15:08:03:353,0,-2.00455,-5.49713,-14.147,Q,Q
2023-03-15 15:08:03:363,0,-2.00539,-5.50056,-14.1582,Q,Q
2023-03-15 15:08:03:374,0,-2.00794,-5.50382,-14.1673,Q,Q
2023-03-15 15:08:03:384,0,-2.01188,-5.50408,-14.1769,Q,Q
2023-03-15 15:08:03:394,0,-2.01321,-5.50422,-14.186,Q,Q
2023-03-15 15:08:03:404,0,-2.01023,-5.50574,-14.1923,Q,Q
2023-03-15 15:08:03:413,0,-2.00868,-5.50494,-14.1953,Q,Q
2023-03-15 15:08:03:424,0,-2.00897,-5.49686,-14.1953,Q,Q
2023-03-15 15:08:03:434,0,-2.00612,-5.48684,-14.1941,Q,Q
2023-03-15 15:08:03:443,0,-2.00147,-5.47586,-14.1841,Q,Q
2023-03-15 15:08:03:454,0,-2.00062,-5.46583,-14.1698,Q,Q
2023-03-15 15:08:03:464,0,-2.0013,-5.45887,-14.1526,Q,Q
2023-03-15 15:08:03:474,0,-2.0081,-5.45031,-14.1316,Q,Q
2023-03-15 15:08:03:483,0,-2.01847,-5.43967,-14.1093,Q,Q
2023-03-15 15:08:03:494,0,-2.02851,-5.4217,-14.0889,Q,Q
2023-03-15 15:08:03:504,0,-2.04318,-5.40261,-14.0698,Q,Q
2023-03-15 15:08:03:514,0,-2.06012,-5.38489,-14.0527,Q,Q
2023-03-15 15:08:03:524,0,-2.07372,-5.3722,-14.0359,Q,Q
2023-03-15 15:08:03:534,0,-2.08929,-5.35946,-14.0226,Q,Q
2023-03-15 15:08:03:544,0,-2.09881,-5.35624,-14.0086,Q,Q
2023-03-15 15:08:03:554,0,-2.11191,-5.36102,-13.9913,Q,Q
2023-03-15 15:08:03:564,0,-2.11991,-5.36857,-13.9749,Q,Q
2023-03-15 15:08:03:574,0,-2.12467,-5.37626,-13.9589,Q,Q
2023-03-15 15:08:03:583,0,-2.12883,-5.38263,-13.9424,Q,Q
2023-03-15 15:08:03:593,0,-2.13572,-5.38668,-13.9265,Q,Q
2023-03-15 15:08:03:603,0,-2.14314,-5.3935,-13.9082,Q,Q
2023-03-15 15:08:03:614,0,-2.15219,-5.39913,-13.888,Q,Q
2023-03-15 15:08:03:624,0,-2.16268,-5.41045,-13.8736,Q,Q
2023-03-15 15:08:03:634,0,-2.17673,-5.42217,-13.8554,Q,Q
2023-03-15 15:08:03:644,0,-2.19654,-5.43359,-13.8426,Q,Q
2023-03-15 15:08:03:654,0,-2.21404,-5.44324,-13.8398,Q,Q
2023-03-15 15:08:03:664,0,-2.22739,-5.44926,-13.848,Q,Q
2023-03-15 15:08:03:674,0,-2.23532,-5.45108,-13.8631,Q,Q
2023-03-15 15:08:03:684,0,-2.23633,-5.45574,-13.8813,Q,Q
2023-03-15 15:08:03:694,0,-2.23735,-5.46172,-13.8998,Q,Q
2023-03-15 15:08:03:704,0,-2.23872,-5.46864,-13.916,Q,Q
2023-03-15 15:08:03:714,0,-2.24284,-5.47901,-13.9301,Q,Q
2023-03-15 15:08:03:724,0,-2.2429,-5.47459,-13.9455,Q,Q
2023-03-15 15:08:03:734,0,-2.23235,-5.46692,-13.9632,Q,Q
2023-03-15 15:08:03:744,0,-2.21478,-5.45408,-13.9779,Q,Q
2023-03-15 15:08:03:753,0,-2.19158,-5.44023,-13.9896,Q,Q
2023-03-15 15:08:03:764,0,-2.1679,-5.43085,-14.0028,Q,Q
2023-03-15 15:08:03:774,0,-2.14799,-5.42508,-14.0111,Q,Q
2023-03-15 15:08:03:784,0,-2.12993,-5.41538,-14.0188,Q,Q
2023-03-15 15:08:03:794,0,-2.10769,-5.4032,-14.0275,Q,Q
2023-03-15 15:08:03:804,0,-2.09381,-5.39221,-14.0353,Q,Q
2023-03-15 15:08:03:814,0,-2.09734,-5.40355,-14.0421,Q,Q
2023-03-15 15:08:03:824,0,-2.11154,-5.39384,-14.0401,Q,Q
2023-03-15 15:08:03:834,0,-2.11604,-5.3824,-14.04,Q,Q
2023-03-15 15:08:03:844,0,-2.1095,-5.37068,-14.027,Q,Q
2023-03-15 15:08:03:854,0,-2.10209,-5.36788,-14.0071,Q,Q
2023-03-15 15:08:03:864,0,-2.0953,-5.36263,-13.982,Q,Q
2023-03-15 15:08:03:873,0,-2.0909,-5.37038,-13.9525,Q,Q
2023-03-15 15:08:03:883,0,-2.08862,-5.37945,-13.9156,Q,Q
2023-03-15 15:08:03:893,0,-2.08965,-5.39316,-13.8799,Q,Q
2023-03-15 15:08:03:903,0,-2.09787,-5.41204,-13.8483,Q,Q
2023-03-15 15:08:03:913,0,-2.11784,-5.44084,-13.8293,Q,Q
2023-03-15 15:08:03:923,0,-2.15986,-5.46185,-13.8269,Q,Q
2023-03-15 15:08:03:933,0,-2.1996,-5.4758,-13.8557,Q,Q
2023-03-15 15:08:03:943,0,-2.22377,-5.47652,-13.9094,Q,Q
2023-03-15 15:08:03:953,0,-2.22613,-5.4721,-13.9826,Q,Q
2023-03-15 15:08:03:963,0,-2.21265,-5.4739,-14.0618,Q,Q
2023-03-15 15:08:03:973,0,-2.18059,-5.48815,-14.138,Q,Q
2023-03-15 15:08:03:983,0,-2.13804,-5.50802,-14.2012,Q,Q
2023-03-15 15:08:03:993,0,-2.08516,-5.53926,-14.2514,Q,Q
2023-03-15 15:08:04:3,0,-2.02112,-5.57067,-14.2849,Q,Q
2023-03-15 15:08:04:13,0,-1.95328,-5.5933,-14.2971,Q,Q
2023-03-15 15:08:04:23,0,-1.87636,-5.61344,-14.2932,Q,Q
2023-03-15 15:08:04:33,0,-1.79269,-5.63054,-14.2664,Q,Q
2023-03-15 15:08:04:43,0,-1.70904,-5.64592,-14.2146,Q,Q
2023-03-15 15:08:04:53,0,-1.63074,-5.65554,-14.1423,Q,Q
2023-03-15 15:08:04:63,0,-1.55419,-5.66678,-14.0549,Q,Q
2023-03-15 15:08:04:73,0,-1.48288,-5.68009,-13.9548,Q,Q
2023-03-15 15:08:04:83,0,-1.42051,-5.69783,-13.8411,Q,Q
2023-03-15 15:08:04:93,0,-1.37694,-5.71632,-13.7222,Q,Q
2023-03-15 15:08:04:103,0,-1.35069,-5.74708,-13.5964,Q,Q
2023-03-15 15:08:04:114,0,-1.34335,-5.78299,-13.4716,Q,Q
2023-03-15 15:08:04:124,0,-1.34208,-5.82774,-13.3588,Q,Q
2023-03-15 15:08:04:134,0,-1.34616,-5.87716,-13.2566,Q,Q
2023-03-15 15:08:04:144,0,-1.36155,-5.92902,-13.1607,Q,Q
2023-03-15 15:08:04:153,0,-1.38186,-5.97981,-13.0741,Q,Q
2023-03-15 15:08:04:163,0,-1.40133,-6.02845,-12.9969,Q,Q
2023-03-15 15:08:04:174,0,-1.42371,-6.07639,-12.9241,Q,Q
2023-03-15 15:08:04:184,0,-1.43444,-6.12482,-12.8562,Q,Q
