Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta,voice_type,voice_length
2023-03-15 12:15:55:499,0,-0.577839,0.14237,13.6297,Q,Q
2023-03-15 12:15:55:507,0,-0.606105,0.111721,13.8876,Q,Q
2023-03-15 12:15:55:517,0,-0.639037,0.0934998,14.1468,Q,Q
2023-03-15 12:15:55:527,0,-0.679402,0.0846655,14.4091,Q,Q
2023-03-15 12:15:55:537,0,-0.712496,0.0846498,14.6761,Q,Q
2023-03-15 12:15:55:548,0,-0.73895,0.0797128,14.9535,Q,Q
2023-03-15 12:15:55:557,0,-0.763826,0.0889091,15.2443,Q,Q
2023-03-15 12:15:55:568,0,-0.785541,0.0853909,15.5375,Q,Q
2023-03-15 12:15:55:577,0,-0.807582,0.0912844,15.8411,Q,Q
2023-03-15 12:15:55:587,0,-0.839861,0.0987551,16.1417,Q,Q
2023-03-15 12:15:55:597,0,-0.876197,0.1058,16.4311,Q,Q
2023-03-15 12:15:55:607,0,-0.930285,0.119563,16.7142,Q,Q
2023-03-15 12:15:55:618,0,-0.999055,0.134282,16.988,Q,Q
2023-03-15 12:15:55:628,0,-1.06851,0.152,17.2582,Q,Q
2023-03-15 12:15:55:638,0,-1.13435,0.161896,17.5164,Q,Q
2023-03-15 12:15:55:648,0,-1.18857,0.156504,17.7674,Q,Q
2023-03-15 12:15:55:658,0,-1.23686,0.151236,18.0052,Q,Q
2023-03-15 12:15:55:668,0,-1.28534,0.145119,18.2292,Q,Q
2023-03-15 12:15:55:677,0,-1.32907,0.13945,18.4387,Q,Q
2023-03-15 12:15:55:688,0,-1.36606,0.135171,18.6435,Q,Q
2023-03-15 12:15:55:697,0,-1.39789,0.13067,18.831,Q,Q
2023-03-15 12:15:55:708,0,-1.42845,0.130331,19.0104,Q,Q
2023-03-15 12:15:55:717,0,-1.45368,0.128161,19.1849,Q,Q
2023-03-15 12:15:55:728,0,-1.47634,0.120714,19.3581,Q,Q
2023-03-15 12:15:55:738,0,-1.49817,0.112247,19.5254,Q,Q
2023-03-15 12:15:55:748,0,-1.51152,0.10308,19.6936,Q,Q
2023-03-15 12:15:55:758,0,-1.51624,0.0969372,19.858,Q,Q
2023-03-15 12:15:55:768,0,-1.51489,0.0983072,20.0182,Q,Q
2023-03-15 12:15:55:778,0,-1.50772,0.107911,20.1699,Q,Q
2023-03-15 12:15:55:787,0,-1.50692,0.115583,20.3179,Q,Q
2023-03-15 12:15:55:798,0,-1.5074,0.123366,20.4657,Q,Q
2023-03-15 12:15:55:808,0,-1.5057,0.131103,20.613,Q,Q
2023-03-15 12:15:55:818,0,-1.51283,0.130603,20.7571,Q,Q
2023-03-15 12:15:55:828,0,-1.52795,0.122544,20.9008,Q,Q
2023-03-15 12:15:55:838,0,-1.54847,0.110751,21.0432,Q,Q
2023-03-15 12:15:55:848,0,-1.57147,0.0941323,21.1844,Q,Q
2023-03-15 12:15:55:858,0,-1.59031,0.0790383,21.3223,Q,Q
2023-03-15 12:15:55:868,0,-1.60824,0.0705376,21.4513,Q,Q
2023-03-15 12:15:55:878,0,-1.62201,0.0674455,21.5801,Q,Q
2023-03-15 12:15:55:888,0,-1.63862,0.0693946,21.7036,Q,Q
2023-03-15 12:15:55:898,0,-1.65556,0.0764506,21.8275,Q,Q
2023-03-15 12:15:55:908,0,-1.67242,0.0839393,21.946,Q,Q
2023-03-15 12:15:55:918,0,-1.69219,0.0973414,22.0626,Q,Q
2023-03-15 12:15:55:928,0,-1.70487,0.109325,22.182,Q,Q
2023-03-15 12:15:55:938,0,-1.71948,0.122169,22.298,Q,Q
