Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta,voice_type,voice_length
2023-03-15 15:01:01:184,0,8.94851,-2.84342,11.7068,Q,Q
2023-03-15 15:01:01:192,0,8.95604,-2.84506,11.6493,Q,Q
2023-03-15 15:01:01:202,0,8.96513,-2.84178,11.5859,Q,Q
2023-03-15 15:01:01:212,0,8.9722,-2.83928,11.5222,Q,Q
2023-03-15 15:01:01:222,0,8.98077,-2.83121,11.456,Q,Q
2023-03-15 15:01:01:232,0,8.98718,-2.8227,11.3944,Q,Q
2023-03-15 15:01:01:242,0,8.98825,-2.81099,11.3321,Q,Q
2023-03-15 15:01:01:252,0,8.99136,-2.79531,11.2729,Q,Q
2023-03-15 15:01:01:262,0,8.99022,-2.78081,11.2218,Q,Q
2023-03-15 15:01:01:272,0,8.98723,-2.76785,11.1807,Q,Q
2023-03-15 15:01:01:282,0,8.97917,-2.7551,11.1459,Q,Q
2023-03-15 15:01:01:292,0,8.97021,-2.74437,11.114,Q,Q
2023-03-15 15:01:01:302,0,8.95587,-2.73451,11.0858,Q,Q
2023-03-15 15:01:01:312,0,8.94139,-2.72159,11.063,Q,Q
2023-03-15 15:01:01:322,0,8.92296,-2.70682,11.0432,Q,Q
2023-03-15 15:01:01:332,0,8.90082,-2.69264,11.0231,Q,Q
2023-03-15 15:01:01:343,0,8.88521,-2.68452,11.0006,Q,Q
2023-03-15 15:01:01:353,0,8.87035,-2.67537,10.9809,Q,Q
2023-03-15 15:01:01:362,0,8.86269,-2.66555,10.9559,Q,Q
2023-03-15 15:01:01:372,0,8.85346,-2.65844,10.9318,Q,Q
2023-03-15 15:01:01:383,0,8.84907,-2.64949,10.9,Q,Q
2023-03-15 15:01:01:392,0,8.83977,-2.64249,10.8645,Q,Q
2023-03-15 15:01:01:403,0,8.83539,-2.63664,10.8224,Q,Q
2023-03-15 15:01:01:413,0,8.82859,-2.63666,10.784,Q,Q
2023-03-15 15:01:01:423,0,8.81996,-2.64364,10.7437,Q,Q
2023-03-15 15:01:01:433,0,8.80754,-2.65433,10.6984,Q,Q
2023-03-15 15:01:01:443,0,8.79379,-2.66844,10.651,Q,Q
2023-03-15 15:01:01:453,0,8.77752,-2.69002,10.6004,Q,Q
2023-03-15 15:01:01:462,0,8.764,-2.71686,10.5527,Q,Q
2023-03-15 15:01:01:473,0,8.75506,-2.74406,10.4996,Q,Q
2023-03-15 15:01:01:483,0,8.7464,-2.77337,10.4486,Q,Q
2023-03-15 15:01:01:492,0,8.73969,-2.803,10.395,Q,Q
2023-03-15 15:01:01:503,0,8.72994,-2.83336,10.3376,Q,Q
2023-03-15 15:01:01:513,0,8.71896,-2.85914,10.2744,Q,Q
2023-03-15 15:01:01:523,0,8.70906,-2.88331,10.2082,Q,Q
2023-03-15 15:01:01:533,0,8.69914,-2.90582,10.1346,Q,Q
2023-03-15 15:01:01:542,0,8.69219,-2.92326,10.0522,Q,Q
2023-03-15 15:01:01:553,0,8.68475,-2.93713,9.9607,Q,Q
2023-03-15 15:01:01:563,0,8.67814,-2.94674,9.86507,Q,Q
2023-03-15 15:01:01:573,0,8.67074,-2.95038,9.7602,Q,Q
2023-03-15 15:01:01:583,0,8.67203,-2.95269,9.64492,Q,Q
2023-03-15 15:01:01:593,0,8.67482,-2.95527,9.52236,Q,Q
2023-03-15 15:01:01:603,0,8.67115,-2.96319,9.39837,Q,Q
2023-03-15 15:01:01:613,0,8.66259,-2.97373,9.26593,Q,Q
2023-03-15 15:01:01:622,0,8.65402,-2.99511,9.13109,Q,Q
2023-03-15 15:01:01:632,0,8.64395,-3.01505,8.99723,Q,Q
2023-03-15 15:01:01:643,0,8.62978,-3.03489,8.86289,Q,Q
2023-03-15 15:01:01:652,0,8.61022,-3.04887,8.72571,Q,Q
2023-03-15 15:01:01:663,0,8.59082,-3.06082,8.59175,Q,Q
2023-03-15 15:01:01:673,0,8.57192,-3.06757,8.46141,Q,Q
2023-03-15 15:01:01:682,0,8.54619,-3.09943,8.32765,Q,Q
2023-03-15 15:01:01:692,0,8.51239,-3.0871,8.20987,Q,Q
2023-03-15 15:01:01:702,0,8.49484,-3.08819,8.0857,Q,Q
2023-03-15 15:01:01:712,0,8.47664,-3.08286,7.96673,Q,Q
2023-03-15 15:01:01:723,0,8.44661,-3.08932,7.85183,Q,Q
2023-03-15 15:01:01:733,0,8.40127,-3.09767,7.75317,Q,Q
2023-03-15 15:01:01:743,0,8.35075,-3.09457,7.65589,Q,Q
2023-03-15 15:01:01:753,0,8.30891,-3.07231,7.54447,Q,Q
2023-03-15 15:01:01:762,0,8.26747,-3.04925,7.43017,Q,Q
2023-03-15 15:01:01:772,0,8.22771,-3.02976,7.32222,Q,Q
2023-03-15 15:01:01:782,0,8.18584,-3.02524,7.21346,Q,Q
2023-03-15 15:01:01:792,0,8.14457,-3.02095,7.10441,Q,Q
2023-03-15 15:01:01:802,0,8.12117,-3.006,6.9873,Q,Q
2023-03-15 15:01:01:812,0,8.10781,-2.99316,6.86905,Q,Q
2023-03-15 15:01:01:822,0,8.10057,-2.98725,6.7585,Q,Q
2023-03-15 15:01:01:832,0,8.08141,-2.99182,6.65283,Q,Q
2023-03-15 15:01:01:842,0,8.05863,-2.99885,6.54604,Q,Q
2023-03-15 15:01:01:852,0,8.03288,-2.99863,6.43859,Q,Q
2023-03-15 15:01:01:862,0,8.00873,-2.9932,6.3331,Q,Q
2023-03-15 15:01:01:872,0,7.98465,-2.97699,6.22803,Q,Q
2023-03-15 15:01:01:882,0,7.96209,-2.95893,6.12678,Q,Q
2023-03-15 15:01:01:892,0,7.93576,-2.93633,6.02743,Q,Q
2023-03-15 15:01:01:902,0,7.91337,-2.91415,5.9344,Q,Q
2023-03-15 15:01:01:912,0,7.89312,-2.8853,5.8488,Q,Q
2023-03-15 15:01:01:922,0,7.87221,-2.85613,5.77101,Q,Q
2023-03-15 15:01:01:932,0,7.8434,-2.82319,5.70387,Q,Q
2023-03-15 15:01:01:942,0,7.80687,-2.79229,5.63505,Q,Q
2023-03-15 15:01:01:952,0,7.76245,-2.76387,5.56885,Q,Q
2023-03-15 15:01:01:962,0,7.72369,-2.73359,5.51026,Q,Q
2023-03-15 15:01:01:972,0,7.69109,-2.70814,5.45323,Q,Q
2023-03-15 15:01:01:982,0,7.664,-2.68601,5.40042,Q,Q
2023-03-15 15:01:01:992,0,7.64018,-2.66591,5.34856,Q,Q
2023-03-15 15:01:02:2,0,7.6168,-2.65009,5.29792,Q,Q
2023-03-15 15:01:02:12,0,7.59053,-2.64191,5.25038,Q,Q
2023-03-15 15:01:02:22,0,7.56823,-2.64209,5.20169,Q,Q
2023-03-15 15:01:02:32,0,7.54529,-2.64683,5.15315,Q,Q
2023-03-15 15:01:02:42,0,7.52474,-2.65607,5.10331,Q,Q
2023-03-15 15:01:02:52,0,7.50898,-2.65878,5.04807,Q,Q
2023-03-15 15:01:02:63,0,7.49732,-2.66155,4.98458,Q,Q
2023-03-15 15:01:02:72,0,7.49207,-2.66277,4.91558,Q,Q
