Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta,voice_type,voice_length
2023-03-15 14:57:10:44,0,-1.34024,-0.830045,-15.0362,Q,Q
2023-03-15 14:57:10:51,0,-1.32835,-0.819632,-15.0692,Q,Q
2023-03-15 14:57:10:61,0,-1.3179,-0.811153,-15.1044,Q,Q
2023-03-15 14:57:10:72,0,-1.30687,-0.804248,-15.1359,Q,Q
2023-03-15 14:57:10:82,0,-1.29876,-0.798339,-15.1674,Q,Q
2023-03-15 14:57:10:91,0,-1.29338,-0.794071,-15.1929,Q,Q
2023-03-15 14:57:10:101,0,-1.29249,-0.789842,-15.2184,Q,Q
2023-03-15 14:57:10:111,0,-1.29818,-0.785853,-15.2424,Q,Q
2023-03-15 14:57:10:121,0,-1.30277,-0.785297,-15.263,Q,Q
2023-03-15 14:57:10:131,0,-1.30907,-0.78328,-15.2841,Q,Q
2023-03-15 14:57:10:142,0,-1.31083,-0.781613,-15.3066,Q,Q
2023-03-15 14:57:10:152,0,-1.30893,-0.78475,-15.324,Q,Q
2023-03-15 14:57:10:161,0,-1.29787,-0.786445,-15.3444,Q,Q
2023-03-15 14:57:10:171,0,-1.28801,-0.791738,-15.3642,Q,Q
2023-03-15 14:57:10:182,0,-1.26998,-0.79834,-15.3848,Q,Q
2023-03-15 14:57:10:191,0,-1.25316,-0.804174,-15.406,Q,Q
2023-03-15 14:57:10:202,0,-1.23571,-0.803144,-15.4242,Q,Q
2023-03-15 14:57:10:212,0,-1.22008,-0.804243,-15.4426,Q,Q
2023-03-15 14:57:10:222,0,-1.20464,-0.804327,-15.4584,Q,Q
2023-03-15 14:57:10:232,0,-1.18983,-0.805155,-15.4727,Q,Q
2023-03-15 14:57:10:242,0,-1.17713,-0.805322,-15.4857,Q,Q
2023-03-15 14:57:10:252,0,-1.16787,-0.811613,-15.4978,Q,Q
2023-03-15 14:57:10:262,0,-1.157,-0.817632,-15.5077,Q,Q
2023-03-15 14:57:10:272,0,-1.14261,-0.82289,-15.5174,Q,Q
2023-03-15 14:57:10:281,0,-1.1346,-0.828101,-15.5259,Q,Q
2023-03-15 14:57:10:292,0,-1.12442,-0.839821,-15.5338,Q,Q
2023-03-15 14:57:10:302,0,-1.12077,-0.847018,-15.5414,Q,Q
2023-03-15 14:57:10:312,0,-1.11478,-0.853694,-15.5494,Q,Q
2023-03-15 14:57:10:322,0,-1.10676,-0.865721,-15.5607,Q,Q
2023-03-15 14:57:10:332,0,-1.0988,-0.87163,-15.5729,Q,Q
2023-03-15 14:57:10:342,0,-1.08962,-0.878275,-15.5816,Q,Q
2023-03-15 14:57:10:352,0,-1.08334,-0.88762,-15.5843,Q,Q
2023-03-15 14:57:10:362,0,-1.08457,-0.899535,-15.5838,Q,Q
2023-03-15 14:57:10:372,0,-1.08406,-0.908963,-15.5826,Q,Q
2023-03-15 14:57:10:382,0,-1.08872,-0.913385,-15.5813,Q,Q
2023-03-15 14:57:10:392,0,-1.09063,-0.916247,-15.5793,Q,Q
