Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 21:09:19:275,0,-10.3502,1.00506,90.0316
2023-03-11 21:09:19:285,0,-10.343,1.00414,90.0173
2023-03-11 21:09:19:295,0,-10.3354,1.00173,90.01
2023-03-11 21:09:19:305,0,-10.3304,0.995485,90.0014
2023-03-11 21:09:19:315,0,-10.3277,0.987093,90.0003
2023-03-11 21:09:19:325,0,-10.3257,0.978015,89.9999
2023-03-11 21:09:19:335,0,-10.3278,0.97107,90.0
2023-03-11 21:09:19:345,0,-10.334,0.963448,89.9996
2023-03-11 21:09:19:355,0,-10.3378,0.95799,89.9997
2023-03-11 21:09:19:365,0,-10.3454,0.951979,90.0057
2023-03-11 21:09:19:375,0,-10.3544,0.943784,90.006
2023-03-11 21:09:19:385,0,-10.3639,0.936637,90.0105
2023-03-11 21:09:19:395,0,-10.3747,0.92362,90.015
2023-03-11 21:09:19:405,0,-10.3846,0.914742,90.0213
2023-03-11 21:09:19:414,0,-10.3926,0.906849,90.0263
2023-03-11 21:09:19:425,0,-10.4019,0.901041,90.0309
2023-03-11 21:09:19:435,0,-10.4105,0.896547,90.0347
2023-03-11 21:09:19:444,0,-10.4188,0.896516,90.0346
2023-03-11 21:09:19:455,0,-10.4327,0.897014,90.0317
2023-03-11 21:09:19:465,0,-10.4546,0.904597,90.024
2023-03-11 21:09:19:475,0,-10.4778,0.914548,90.0107
2023-03-11 21:09:19:485,0,-10.501,0.925312,89.9923
2023-03-11 21:09:19:495,0,-10.5324,0.933784,89.9723
2023-03-11 21:09:19:505,0,-10.5656,0.941838,89.9492
2023-03-11 21:09:19:514,0,-10.599,0.950792,89.9266
2023-03-11 21:09:19:524,0,-10.6357,0.959997,89.9038
2023-03-11 21:09:19:534,0,-10.6796,0.967652,89.8837
2023-03-11 21:09:19:545,0,-10.7229,0.971602,89.8592
2023-03-11 21:09:19:555,0,-10.7676,0.973745,89.8387
2023-03-11 21:09:19:565,0,-10.8123,0.962784,89.8274
2023-03-11 21:09:19:575,0,-10.8553,0.945559,89.8184
2023-03-11 21:09:19:585,0,-10.8894,0.923683,89.8175
2023-03-11 21:09:19:595,0,-10.9165,0.895803,89.818
2023-03-11 21:09:19:605,0,-10.9381,0.866623,89.8205
2023-03-11 21:09:19:615,0,-10.9496,0.838566,89.825
2023-03-11 21:09:19:625,0,-10.9524,0.813018,89.8304
