Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta,voice_type,voice_length
2023-03-15 14:13:21:942,0,6.84991,-3.61114,28.3966,Q,Q
2023-03-15 14:13:21:951,0,6.61542,-3.67111,28.7047,Q,Q
2023-03-15 14:13:21:961,0,6.39342,-3.73063,28.9875,Q,Q
2023-03-15 14:13:21:971,0,6.18994,-3.78567,29.2556,Q,Q
2023-03-15 14:13:21:981,0,6.00909,-3.83757,29.5189,Q,Q
2023-03-15 14:13:21:991,0,5.84662,-3.86549,29.7754,Q,Q
2023-03-15 14:13:22:1,0,5.70166,-3.88046,30.0231,Q,Q
2023-03-15 14:13:22:11,0,5.56302,-3.87845,30.2542,Q,Q
2023-03-15 14:13:22:21,0,5.4258,-3.86838,30.4713,Q,Q
2023-03-15 14:13:22:31,0,5.29007,-3.85022,30.6745,Q,Q
2023-03-15 14:13:22:41,0,5.15849,-3.83255,30.8633,Q,Q
2023-03-15 14:13:22:51,0,5.0357,-3.79929,31.0365,Q,Q
2023-03-15 14:13:22:61,0,4.93489,-3.75557,31.1977,Q,Q
2023-03-15 14:13:22:71,0,4.85541,-3.70872,31.3563,Q,Q
2023-03-15 14:13:22:81,0,4.80364,-3.65862,31.5092,Q,Q
2023-03-15 14:13:22:91,0,4.76577,-3.59891,31.6619,Q,Q
2023-03-15 14:13:22:101,0,4.73654,-3.52782,31.8099,Q,Q
2023-03-15 14:13:22:111,0,4.70071,-3.44979,31.9487,Q,Q
2023-03-15 14:13:22:121,0,4.652,-3.36551,32.0812,Q,Q
2023-03-15 14:13:22:131,0,4.59083,-3.28389,32.2127,Q,Q
2023-03-15 14:13:22:141,0,4.52332,-3.21233,32.3436,Q,Q
2023-03-15 14:13:22:151,0,4.45694,-3.14536,32.4759,Q,Q
2023-03-15 14:13:22:161,0,4.38992,-3.0913,32.6084,Q,Q
2023-03-15 14:13:22:171,0,4.31765,-3.03647,32.7471,Q,Q
2023-03-15 14:13:22:181,0,4.24851,-2.9851,32.8831,Q,Q
2023-03-15 14:13:22:191,0,4.18886,-2.93465,33.0166,Q,Q
2023-03-15 14:13:22:201,0,4.14371,-2.88504,33.1566,Q,Q
2023-03-15 14:13:22:211,0,4.11936,-2.8395,33.3034,Q,Q
2023-03-15 14:13:22:221,0,4.10325,-2.79601,33.4613,Q,Q
2023-03-15 14:13:22:231,0,4.09145,-2.74815,33.6216,Q,Q
2023-03-15 14:13:22:241,0,4.0778,-2.69773,33.78,Q,Q
2023-03-15 14:13:22:251,0,4.06399,-2.64001,33.9325,Q,Q
2023-03-15 14:13:22:261,0,4.04099,-2.58696,34.0816,Q,Q
2023-03-15 14:13:22:271,0,4.0093,-2.53692,34.2297,Q,Q
2023-03-15 14:13:22:281,0,3.97962,-2.4882,34.3746,Q,Q
2023-03-15 14:13:22:291,0,3.96148,-2.44003,34.5102,Q,Q
2023-03-15 14:13:22:301,0,3.96076,-2.39579,34.6398,Q,Q
2023-03-15 14:13:22:311,0,3.96294,-2.36418,34.776,Q,Q
2023-03-15 14:13:22:321,0,3.95809,-2.3365,34.9125,Q,Q
2023-03-15 14:13:22:331,0,3.94824,-2.31197,35.0492,Q,Q
2023-03-15 14:13:22:341,0,3.94069,-2.28473,35.1868,Q,Q
2023-03-15 14:13:22:351,0,3.93246,-2.25769,35.3205,Q,Q
2023-03-15 14:13:22:361,0,3.92437,-2.22534,35.4543,Q,Q
2023-03-15 14:13:22:371,0,3.91568,-2.19993,35.5954,Q,Q
2023-03-15 14:13:22:381,0,3.9087,-2.17779,35.7396,Q,Q
2023-03-15 14:13:22:391,0,3.90918,-2.15956,35.8863,Q,Q
2023-03-15 14:13:22:401,0,3.91659,-2.13563,36.0337,Q,Q
2023-03-15 14:13:22:411,0,3.91709,-2.10223,36.177,Q,Q
2023-03-15 14:13:22:421,0,3.90757,-2.07189,36.3121,Q,Q
2023-03-15 14:13:22:431,0,3.89835,-2.04922,36.4443,Q,Q
2023-03-15 14:13:22:441,0,3.88834,-2.03635,36.5735,Q,Q
2023-03-15 14:13:22:451,0,3.88229,-2.03082,36.6957,Q,Q
2023-03-15 14:13:22:461,0,3.87237,-2.03628,36.8202,Q,Q
2023-03-15 14:13:22:471,0,3.86355,-2.04661,36.9348,Q,Q
2023-03-15 14:13:22:481,0,3.85542,-2.05872,37.0355,Q,Q
2023-03-15 14:13:22:491,0,3.8493,-2.07194,37.1343,Q,Q
2023-03-15 14:13:22:501,0,3.84621,-2.08208,37.2251,Q,Q
2023-03-15 14:13:22:511,0,3.84257,-2.09215,37.3061,Q,Q
2023-03-15 14:13:22:521,0,3.84587,-2.09848,37.3785,Q,Q
2023-03-15 14:13:22:531,0,3.86071,-2.10622,37.4416,Q,Q
2023-03-15 14:13:22:541,0,3.88923,-2.10672,37.501,Q,Q
2023-03-15 14:13:22:551,0,3.92551,-2.10603,37.5567,Q,Q
2023-03-15 14:13:22:561,0,3.96546,-2.10746,37.6111,Q,Q
2023-03-15 14:13:22:571,0,4.00012,-2.10281,37.6561,Q,Q
2023-03-15 14:13:22:581,0,4.03624,-2.10129,37.6937,Q,Q
2023-03-15 14:13:22:591,0,4.06996,-2.1006,37.7234,Q,Q
2023-03-15 14:13:22:601,0,4.10017,-2.09825,37.7432,Q,Q
2023-03-15 14:13:22:611,0,4.12751,-2.09508,37.7536,Q,Q
2023-03-15 14:13:22:621,0,4.14505,-2.09888,37.7568,Q,Q
2023-03-15 14:13:22:631,0,4.16316,-2.10683,37.7545,Q,Q
2023-03-15 14:13:22:641,0,4.1709,-2.11655,37.746,Q,Q
2023-03-15 14:13:22:651,0,4.16968,-2.12719,37.7348,Q,Q
2023-03-15 14:13:22:661,0,4.15805,-2.13491,37.7207,Q,Q
2023-03-15 14:13:22:671,0,4.13689,-2.14823,37.7013,Q,Q
2023-03-15 14:13:22:681,0,4.1063,-2.16344,37.6756,Q,Q
2023-03-15 14:13:22:691,0,4.06495,-2.18064,37.632,Q,Q
2023-03-15 14:13:22:701,0,4.01844,-2.20869,37.5677,Q,Q
2023-03-15 14:13:22:711,0,3.96638,-2.25269,37.4689,Q,Q
2023-03-15 14:13:22:721,0,3.91073,-2.30962,37.3189,Q,Q
2023-03-15 14:13:22:731,0,3.84869,-2.38706,37.1032,Q,Q
2023-03-15 14:13:22:741,0,3.77888,-2.49388,36.8088,Q,Q
2023-03-15 14:13:22:751,0,3.7024,-2.63435,36.4169,Q,Q
2023-03-15 14:13:22:761,0,3.61591,-2.81154,35.9134,Q,Q
2023-03-15 14:13:22:771,0,3.51771,-3.02434,35.2786,Q,Q
2023-03-15 14:13:22:781,0,3.40678,-3.26801,34.4958,Q,Q
2023-03-15 14:13:22:791,0,3.28302,-3.53924,33.5589,Q,Q
2023-03-15 14:13:22:801,0,3.1539,-3.84623,32.4691,Q,Q
2023-03-15 14:13:22:811,0,3.02392,-4.17912,31.224,Q,Q
2023-03-15 14:13:22:821,0,2.9171,-4.53576,29.8281,Q,Q
2023-03-15 14:13:22:831,0,2.84102,-4.90996,28.2946,Q,Q
2023-03-15 14:13:22:841,0,2.81042,-5.3044,26.6439,Q,Q
2023-03-15 14:13:22:851,0,2.83004,-5.70825,24.8964,Q,Q
2023-03-15 14:13:22:861,0,2.88273,-6.12465,23.0661,Q,Q
2023-03-15 14:13:22:871,0,2.95897,-6.54412,21.161,Q,Q
2023-03-15 14:13:22:881,0,3.05428,-6.97181,19.1878,Q,Q
2023-03-15 14:13:22:891,0,3.15559,-7.39969,17.1619,Q,Q
2023-03-15 14:13:22:901,0,3.26644,-7.82664,15.1007,Q,Q
2023-03-15 14:13:22:911,0,3.38899,-8.24966,13.0141,Q,Q
2023-03-15 14:13:22:921,0,3.52159,-8.66836,10.9116,Q,Q
2023-03-15 14:13:22:931,0,3.67422,-9.07039,8.79533,Q,Q
2023-03-15 14:13:22:941,0,3.85355,-9.4524,6.67584,Q,Q
2023-03-15 14:13:22:951,0,4.06292,-9.81608,4.56646,Q,Q
2023-03-15 14:13:22:961,0,4.30143,-10.1511,2.48919,Q,Q
2023-03-15 14:13:22:971,0,4.5636,-10.4589,0.448428,Q,Q
2023-03-15 14:13:22:981,0,4.84227,-10.7441,-1.54253,Q,Q
2023-03-15 14:13:22:991,0,5.12898,-11.0017,-3.46883,Q,Q
