Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta,voice_type,voice_length
2023-03-15 21:43:14:988,0,-11.8493,-10.3938,44.1341,Q,Q
2023-03-15 21:43:14:996,0,-12.0262,-10.381,44.4794,Q,Q
2023-03-15 21:43:15:6,0,-12.201,-10.367,44.8226,Q,Q
2023-03-15 21:43:15:16,0,-12.3732,-10.3541,45.1671,Q,Q
2023-03-15 21:43:15:27,0,-12.542,-10.3422,45.5157,Q,Q
2023-03-15 21:43:15:36,0,-12.7115,-10.3356,45.8593,Q,Q
2023-03-15 21:43:15:46,0,-12.8886,-10.3281,46.2042,Q,Q
2023-03-15 21:43:15:56,0,-13.0712,-10.3301,46.5499,Q,Q
2023-03-15 21:43:15:66,0,-13.2638,-10.3395,46.8934,Q,Q
2023-03-15 21:43:15:76,0,-13.4566,-10.3518,47.2285,Q,Q
2023-03-15 21:43:15:87,0,-13.6441,-10.3648,47.5554,Q,Q
2023-03-15 21:43:15:96,0,-13.8234,-10.378,47.8748,Q,Q
2023-03-15 21:43:15:107,0,-13.9942,-10.3868,48.1879,Q,Q
2023-03-15 21:43:15:116,0,-14.163,-10.3997,48.4927,Q,Q
2023-03-15 21:43:15:127,0,-14.33,-10.4101,48.7961,Q,Q
2023-03-15 21:43:15:136,0,-14.4907,-10.4157,49.0888,Q,Q
2023-03-15 21:43:15:147,0,-14.6539,-10.4289,49.3758,Q,Q
2023-03-15 21:43:15:156,0,-14.8265,-10.438,49.6513,Q,Q
2023-03-15 21:43:15:167,0,-14.9958,-10.4461,49.9143,Q,Q
2023-03-15 21:43:15:177,0,-15.1602,-10.453,50.1579,Q,Q
2023-03-15 21:43:15:187,0,-15.3186,-10.453,50.3853,Q,Q
2023-03-15 21:43:15:197,0,-15.4728,-10.4516,50.5978,Q,Q
2023-03-15 21:43:15:207,0,-15.6183,-10.4443,50.7921,Q,Q
2023-03-15 21:43:15:217,0,-15.7564,-10.4334,50.9673,Q,Q
2023-03-15 21:43:15:227,0,-15.8877,-10.4169,51.1365,Q,Q
2023-03-15 21:43:15:237,0,-16.0116,-10.3983,51.2921,Q,Q
2023-03-15 21:43:15:247,0,-16.1386,-10.381,51.4408,Q,Q
2023-03-15 21:43:15:257,0,-16.2697,-10.3693,51.5916,Q,Q
2023-03-15 21:43:15:266,0,-16.4048,-10.3702,51.7295,Q,Q
2023-03-15 21:43:15:276,0,-16.5441,-10.3783,51.8631,Q,Q
2023-03-15 21:43:15:286,0,-16.6762,-10.3981,51.9927,Q,Q
2023-03-15 21:43:15:296,0,-16.8044,-10.4271,52.1194,Q,Q
2023-03-15 21:43:15:306,0,-16.9251,-10.462,52.2396,Q,Q
2023-03-15 21:43:15:316,0,-17.0403,-10.507,52.3568,Q,Q
2023-03-15 21:43:15:326,0,-17.1487,-10.5557,52.4725,Q,Q
2023-03-15 21:43:15:336,0,-17.2567,-10.6069,52.587,Q,Q
2023-03-15 21:43:15:346,0,-17.3605,-10.6593,52.6991,Q,Q
2023-03-15 21:43:15:356,0,-17.4718,-10.7146,52.8125,Q,Q
2023-03-15 21:43:15:366,0,-17.5827,-10.7739,52.9236,Q,Q
2023-03-15 21:43:15:376,0,-17.6947,-10.8307,53.0315,Q,Q
2023-03-15 21:43:15:386,0,-17.8007,-10.8899,53.1373,Q,Q
2023-03-15 21:43:15:396,0,-17.9025,-10.9446,53.2386,Q,Q
2023-03-15 21:43:15:406,0,-18.001,-10.9955,53.3387,Q,Q
2023-03-15 21:43:15:416,0,-18.0927,-11.0452,53.4377,Q,Q
2023-03-15 21:43:15:426,0,-18.1781,-11.0821,53.5369,Q,Q
2023-03-15 21:43:15:436,0,-18.2528,-11.1129,53.6321,Q,Q
2023-03-15 21:43:15:446,0,-18.3239,-11.1389,53.7244,Q,Q
2023-03-15 21:43:15:456,0,-18.3881,-11.1601,53.8147,Q,Q
2023-03-15 21:43:15:466,0,-18.4474,-11.1761,53.9021,Q,Q
2023-03-15 21:43:15:476,0,-18.4985,-11.1887,53.9829,Q,Q
2023-03-15 21:43:15:486,0,-18.5462,-11.198,54.059,Q,Q
2023-03-15 21:43:15:496,0,-18.5901,-11.2037,54.133,Q,Q
2023-03-15 21:43:15:506,0,-18.6331,-11.2066,54.2061,Q,Q
2023-03-15 21:43:15:516,0,-18.6752,-11.2057,54.2785,Q,Q
2023-03-15 21:43:15:526,0,-18.7176,-11.202,54.3441,Q,Q
2023-03-15 21:43:15:536,0,-18.7579,-11.1937,54.4038,Q,Q
2023-03-15 21:43:15:546,0,-18.7931,-11.1845,54.4644,Q,Q
2023-03-15 21:43:15:556,0,-18.8281,-11.1692,54.5213,Q,Q
2023-03-15 21:43:15:566,0,-18.8622,-11.1624,54.5836,Q,Q
2023-03-15 21:43:15:576,0,-18.9028,-11.1521,54.6414,Q,Q
2023-03-15 21:43:15:586,0,-18.9418,-11.1503,54.6991,Q,Q
2023-03-15 21:43:15:596,0,-18.9827,-11.1531,54.7574,Q,Q
2023-03-15 21:43:15:606,0,-19.0269,-11.1553,54.8096,Q,Q
2023-03-15 21:43:15:616,0,-19.0766,-11.1617,54.862,Q,Q
2023-03-15 21:43:15:626,0,-19.1256,-11.1652,54.9142,Q,Q
2023-03-15 21:43:15:636,0,-19.1698,-11.1657,54.9664,Q,Q
2023-03-15 21:43:15:646,0,-19.2152,-11.167,55.0207,Q,Q
2023-03-15 21:43:15:656,0,-19.259,-11.1626,55.0721,Q,Q
2023-03-15 21:43:15:666,0,-19.3014,-11.1559,55.1244,Q,Q
2023-03-15 21:43:15:676,0,-19.3408,-11.1532,55.1812,Q,Q
2023-03-15 21:43:15:686,0,-19.3792,-11.1499,55.236,Q,Q
2023-03-15 21:43:15:696,0,-19.4098,-11.142,55.2911,Q,Q
2023-03-15 21:43:15:706,0,-19.4399,-11.1375,55.3422,Q,Q
2023-03-15 21:43:15:716,0,-19.4639,-11.128,55.3903,Q,Q
2023-03-15 21:43:15:726,0,-19.4881,-11.1178,55.4304,Q,Q
2023-03-15 21:43:15:736,0,-19.5106,-11.1089,55.4702,Q,Q
2023-03-15 21:43:15:746,0,-19.5333,-11.1039,55.505,Q,Q
2023-03-15 21:43:15:756,0,-19.5579,-11.1015,55.5368,Q,Q
2023-03-15 21:43:15:766,0,-19.5793,-11.1041,55.5672,Q,Q
2023-03-15 21:43:15:776,0,-19.5967,-11.1084,55.5943,Q,Q
2023-03-15 21:43:15:786,0,-19.6142,-11.115,55.6168,Q,Q
2023-03-15 21:43:15:796,0,-19.6349,-11.117,55.6426,Q,Q
2023-03-15 21:43:15:806,0,-19.6525,-11.127,55.6681,Q,Q
2023-03-15 21:43:15:816,0,-19.6645,-11.1402,55.6891,Q,Q
2023-03-15 21:43:15:826,0,-19.6748,-11.155,55.7113,Q,Q
2023-03-15 21:43:15:836,0,-19.6856,-11.1694,55.7309,Q,Q
2023-03-15 21:43:15:846,0,-19.6968,-11.1868,55.7525,Q,Q
2023-03-15 21:43:15:856,0,-19.7094,-11.2044,55.7707,Q,Q
2023-03-15 21:43:15:866,0,-19.7222,-11.2287,55.7857,Q,Q
2023-03-15 21:43:15:876,0,-19.7361,-11.2488,55.8062,Q,Q
2023-03-15 21:43:15:886,0,-19.7453,-11.2701,55.8242,Q,Q
2023-03-15 21:43:15:896,0,-19.7515,-11.2905,55.8424,Q,Q
2023-03-15 21:43:15:906,0,-19.7527,-11.3118,55.8564,Q,Q
2023-03-15 21:43:15:916,0,-19.7499,-11.3338,55.8672,Q,Q
2023-03-15 21:43:15:926,0,-19.7471,-11.3566,55.8804,Q,Q
2023-03-15 21:43:15:936,0,-19.7444,-11.3805,55.8961,Q,Q
2023-03-15 21:43:15:946,0,-19.7442,-11.4083,55.9099,Q,Q
2023-03-15 21:43:15:956,0,-19.75,-11.4313,55.9216,Q,Q
2023-03-15 21:43:15:966,0,-19.7578,-11.453,55.9336,Q,Q
2023-03-15 21:43:15:976,0,-19.7607,-11.4717,55.9394,Q,Q
2023-03-15 21:43:15:986,0,-19.7672,-11.481,55.9447,Q,Q
2023-03-15 21:43:15:996,0,-19.771,-11.49,55.9454,Q,Q
2023-03-15 21:43:16:6,0,-19.7754,-11.4972,55.9449,Q,Q
2023-03-15 21:43:16:16,0,-19.7797,-11.5027,55.9417,Q,Q
2023-03-15 21:43:16:26,0,-19.7858,-11.5122,55.9434,Q,Q
2023-03-15 21:43:16:36,0,-19.7934,-11.5185,55.945,Q,Q
2023-03-15 21:43:16:46,0,-19.7989,-11.5218,55.9425,Q,Q
2023-03-15 21:43:16:56,0,-19.8001,-11.5236,55.941,Q,Q
2023-03-15 21:43:16:66,0,-19.7983,-11.5277,55.937,Q,Q
2023-03-15 21:43:16:76,0,-19.7937,-11.5272,55.9347,Q,Q
2023-03-15 21:43:16:86,0,-19.7875,-11.5281,55.9292,Q,Q
2023-03-15 21:43:16:96,0,-19.7746,-11.526,55.9232,Q,Q
