Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 20:24:14:935,0,-8.27532,-2.09188,89.4066
2023-03-11 20:24:14:945,0,-8.2787,-2.1059,89.4172
2023-03-11 20:24:14:955,0,-8.2737,-2.11675,89.4247
2023-03-11 20:24:14:965,0,-8.26617,-2.12974,89.4327
2023-03-11 20:24:14:976,0,-8.25674,-2.13551,89.4376
2023-03-11 20:24:14:985,0,-8.24894,-2.13891,89.4427
2023-03-11 20:24:14:995,0,-8.24969,-2.14416,89.4407
2023-03-11 20:24:15:5,0,-8.24744,-2.14489,89.4359
2023-03-11 20:24:15:15,0,-8.25082,-2.14411,89.4295
2023-03-11 20:24:15:25,0,-8.25823,-2.13834,89.4196
2023-03-11 20:24:15:35,0,-8.26564,-2.13138,89.405
2023-03-11 20:24:15:45,0,-8.28006,-2.12526,89.392
2023-03-11 20:24:15:55,0,-8.2999,-2.12054,89.3798
2023-03-11 20:24:15:65,0,-8.31961,-2.11776,89.3682
2023-03-11 20:24:15:75,0,-8.34358,-2.12039,89.3602
2023-03-11 20:24:15:85,0,-8.36279,-2.12679,89.3553
2023-03-11 20:24:15:95,0,-8.38029,-2.13865,89.3531
2023-03-11 20:24:15:105,0,-8.39163,-2.15427,89.3527
2023-03-11 20:24:15:115,0,-8.39585,-2.16764,89.3523
2023-03-11 20:24:15:125,0,-8.39362,-2.18701,89.3575
2023-03-11 20:24:15:135,0,-8.38875,-2.20595,89.3617
2023-03-11 20:24:15:145,0,-8.38379,-2.22709,89.3701
2023-03-11 20:24:15:155,0,-8.37972,-2.25241,89.3792
2023-03-11 20:24:15:165,0,-8.36622,-2.27945,89.391
2023-03-11 20:24:15:175,0,-8.35059,-2.30548,89.4074
2023-03-11 20:24:15:185,0,-8.33991,-2.32425,89.4235
2023-03-11 20:24:15:195,0,-8.32728,-2.337,89.4383
2023-03-11 20:24:15:205,0,-8.31448,-2.34517,89.4572
2023-03-11 20:24:15:215,0,-8.30268,-2.34909,89.4734
2023-03-11 20:24:15:225,0,-8.2913,-2.34671,89.4894
2023-03-11 20:24:15:235,0,-8.28202,-2.34387,89.504
2023-03-11 20:24:15:245,0,-8.27562,-2.33862,89.5164
2023-03-11 20:24:15:255,0,-8.2718,-2.3281,89.527
2023-03-11 20:24:15:265,0,-8.26546,-2.31855,89.5297
2023-03-11 20:24:15:275,0,-8.26014,-2.30263,89.528
2023-03-11 20:24:15:285,0,-8.25073,-2.28319,89.521
2023-03-11 20:24:15:295,0,-8.24621,-2.26619,89.5044
2023-03-11 20:24:15:305,0,-8.24536,-2.24919,89.4852
2023-03-11 20:24:15:315,0,-8.24957,-2.22765,89.46
2023-03-11 20:24:15:325,0,-8.25968,-2.20619,89.4319
2023-03-11 20:24:15:335,0,-8.27282,-2.18718,89.4012
2023-03-11 20:24:15:345,0,-8.28525,-2.166,89.3682
2023-03-11 20:24:15:355,0,-8.29986,-2.14578,89.3351
2023-03-11 20:24:15:365,0,-8.3127,-2.12395,89.3052
2023-03-11 20:24:15:375,0,-8.33221,-2.10357,89.2771
2023-03-11 20:24:15:385,0,-8.34617,-2.08606,89.2528
2023-03-11 20:24:15:395,0,-8.35799,-2.07371,89.2343
2023-03-11 20:24:15:405,0,-8.3676,-2.07096,89.2192
2023-03-11 20:24:15:415,0,-8.37891,-2.07336,89.2098
2023-03-11 20:24:15:425,0,-8.39051,-2.07723,89.205
2023-03-11 20:24:15:435,0,-8.40237,-2.08194,89.2038
2023-03-11 20:24:15:445,0,-8.41677,-2.08294,89.2055
2023-03-11 20:24:15:455,0,-8.43098,-2.08838,89.2067
2023-03-11 20:24:15:465,0,-8.44299,-2.09386,89.2105
2023-03-11 20:24:15:475,0,-8.45244,-2.09679,89.2161
2023-03-11 20:24:15:485,0,-8.46005,-2.10314,89.2244
2023-03-11 20:24:15:495,0,-8.47147,-2.10785,89.234
2023-03-11 20:24:15:505,0,-8.47757,-2.11165,89.241
2023-03-11 20:24:15:515,0,-8.4822,-2.11454,89.2468
2023-03-11 20:24:15:525,0,-8.48171,-2.11616,89.2467
2023-03-11 20:24:15:535,0,-8.48294,-2.11369,89.2444
2023-03-11 20:24:15:545,0,-8.48533,-2.11001,89.2377
2023-03-11 20:24:15:555,0,-8.4922,-2.10019,89.2259
2023-03-11 20:24:15:565,0,-8.50495,-2.09093,89.215
2023-03-11 20:24:15:575,0,-8.52659,-2.08283,89.2105
2023-03-11 20:24:15:585,0,-8.55213,-2.08186,89.2116
2023-03-11 20:24:15:595,0,-8.58887,-2.08733,89.2194
2023-03-11 20:24:15:605,0,-8.62592,-2.09336,89.2326
2023-03-11 20:24:15:615,0,-8.65509,-2.0978,89.2507
2023-03-11 20:24:15:625,0,-8.68019,-2.09655,89.272
2023-03-11 20:24:15:636,0,-8.69858,-2.09428,89.293
2023-03-11 20:24:15:646,0,-8.70277,-2.091,89.3085
2023-03-11 20:24:15:655,0,-8.70038,-2.09124,89.3153
2023-03-11 20:24:15:665,0,-8.69085,-2.0928,89.32
2023-03-11 20:24:15:675,0,-8.67951,-2.09597,89.3205
2023-03-11 20:24:15:686,0,-8.66336,-2.09601,89.3118
