Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta,voice_type,voice_length
2023-03-14 22:43:07:465,0,-1.5531,-5.38153,-0.59198,Q,Q
2023-03-14 22:43:07:473,0,-1.54216,-5.40493,-0.585626,Q,Q
2023-03-14 22:43:07:483,0,-1.53251,-5.42338,-0.57613,Q,Q
2023-03-14 22:43:07:493,0,-1.52365,-5.44183,-0.564197,Q,Q
2023-03-14 22:43:07:503,0,-1.51247,-5.45988,-0.555101,Q,Q
2023-03-14 22:43:07:513,0,-1.50741,-5.4742,-0.54268,Q,Q
2023-03-14 22:43:07:523,0,-1.50085,-5.48554,-0.528401,Q,Q
2023-03-14 22:43:07:533,0,-1.49202,-5.49865,-0.515312,Q,Q
2023-03-14 22:43:07:543,0,-1.48866,-5.5095,-0.505175,Q,Q
2023-03-14 22:43:07:553,0,-1.48594,-5.51745,-0.498143,Q,Q
2023-03-14 22:43:07:563,0,-1.48642,-5.52295,-0.49035,Q,Q
2023-03-14 22:43:07:573,0,-1.48729,-5.52372,-0.480909,Q,Q
2023-03-14 22:43:07:583,0,-1.48688,-5.52385,-0.47452,Q,Q
2023-03-14 22:43:07:593,0,-1.48599,-5.52744,-0.470906,Q,Q
2023-03-14 22:43:07:603,0,-1.48492,-5.53094,-0.468783,Q,Q
2023-03-14 22:43:07:613,0,-1.48321,-5.53436,-0.463875,Q,Q
2023-03-14 22:43:07:623,0,-1.48171,-5.53741,-0.458248,Q,Q
2023-03-14 22:43:07:633,0,-1.48016,-5.54612,-0.453267,Q,Q
2023-03-14 22:43:07:643,0,-1.4826,-5.54774,-0.449433,Q,Q
2023-03-14 22:43:07:653,0,-1.48121,-5.55234,-0.446601,Q,Q
2023-03-14 22:43:07:663,0,-1.48315,-5.55737,-0.441631,Q,Q
2023-03-14 22:43:07:673,0,-1.48355,-5.56248,-0.44025,Q,Q
2023-03-14 22:43:07:684,0,-1.48816,-5.56676,-0.439084,Q,Q
2023-03-14 22:43:07:693,0,-1.48622,-5.57229,-0.440934,Q,Q
2023-03-14 22:43:07:703,0,-1.48264,-5.58037,-0.447855,Q,Q
2023-03-14 22:43:07:713,0,-1.47727,-5.58723,-0.451087,Q,Q
2023-03-14 22:43:07:723,0,-1.47212,-5.59115,-0.455121,Q,Q
2023-03-14 22:43:07:733,0,-1.46872,-5.59393,-0.459394,Q,Q
2023-03-14 22:43:07:744,0,-1.46988,-5.59852,-0.464793,Q,Q
2023-03-14 22:43:07:753,0,-1.46798,-5.60255,-0.467823,Q,Q
2023-03-14 22:43:07:763,0,-1.47167,-5.60566,-0.474781,Q,Q
2023-03-14 22:43:07:773,0,-1.47104,-5.60944,-0.480581,Q,Q
2023-03-14 22:43:07:784,0,-1.46899,-5.61467,-0.486915,Q,Q
2023-03-14 22:43:07:793,0,-1.46169,-5.6197,-0.487804,Q,Q
2023-03-14 22:43:07:803,0,-1.45807,-5.62381,-0.489762,Q,Q
2023-03-14 22:43:07:813,0,-1.44836,-5.63055,-0.491355,Q,Q
2023-03-14 22:43:07:823,0,-1.43479,-5.63537,-0.490786,Q,Q
2023-03-14 22:43:07:833,0,-1.42332,-5.64446,-0.48766,Q,Q
2023-03-14 22:43:07:843,0,-1.41483,-5.65051,-0.486716,Q,Q
2023-03-14 22:43:07:853,0,-1.40883,-5.65584,-0.487615,Q,Q
2023-03-14 22:43:07:863,0,-1.40411,-5.65993,-0.484268,Q,Q
2023-03-14 22:43:07:873,0,-1.40287,-5.66143,-0.483928,Q,Q
2023-03-14 22:43:07:883,0,-1.39961,-5.66104,-0.484013,Q,Q
2023-03-14 22:43:07:893,0,-1.39903,-5.65764,-0.483087,Q,Q
2023-03-14 22:43:07:903,0,-1.39763,-5.65484,-0.48175,Q,Q
2023-03-14 22:43:07:913,0,-1.39521,-5.65476,-0.476652,Q,Q
2023-03-14 22:43:07:923,0,-1.39318,-5.65613,-0.467042,Q,Q
2023-03-14 22:43:07:933,0,-1.39417,-5.66225,-0.455698,Q,Q
2023-03-14 22:43:07:943,0,-1.39634,-5.6664,-0.447342,Q,Q
2023-03-14 22:43:07:953,0,-1.40055,-5.66938,-0.442374,Q,Q
2023-03-14 22:43:07:963,0,-1.40687,-5.67351,-0.440723,Q,Q
2023-03-14 22:43:07:973,0,-1.40755,-5.67367,-0.439583,Q,Q
2023-03-14 22:43:07:983,0,-1.40848,-5.67327,-0.437457,Q,Q
2023-03-14 22:43:07:993,0,-1.41038,-5.67122,-0.436575,Q,Q
2023-03-14 22:43:08:3,0,-1.41259,-5.66775,-0.438717,Q,Q
2023-03-14 22:43:08:13,0,-1.41234,-5.66509,-0.44266,Q,Q
2023-03-14 22:43:08:23,0,-1.41453,-5.66198,-0.449969,Q,Q
2023-03-14 22:43:08:33,0,-1.41485,-5.65229,-0.453972,Q,Q
2023-03-14 22:43:08:43,0,-1.42128,-5.64797,-0.457228,Q,Q
2023-03-14 22:43:08:53,0,-1.42738,-5.6454,-0.459926,Q,Q
2023-03-14 22:43:08:63,0,-1.44049,-5.63603,-0.461937,Q,Q
2023-03-14 22:43:08:73,0,-1.45153,-5.63045,-0.467427,Q,Q
2023-03-14 22:43:08:83,0,-1.46157,-5.62645,-0.471623,Q,Q
2023-03-14 22:43:08:93,0,-1.47568,-5.61938,-0.478694,Q,Q
2023-03-14 22:43:08:103,0,-1.48623,-5.61533,-0.484118,Q,Q
2023-03-14 22:43:08:113,0,-1.49615,-5.60841,-0.494091,Q,Q
2023-03-14 22:43:08:123,0,-1.50202,-5.60199,-0.50636,Q,Q
2023-03-14 22:43:08:133,0,-1.50683,-5.59711,-0.516953,Q,Q
2023-03-14 22:43:08:143,0,-1.51142,-5.59299,-0.531283,Q,Q
2023-03-14 22:43:08:153,0,-1.51678,-5.58605,-0.550717,Q,Q
2023-03-14 22:43:08:163,0,-1.51902,-5.57837,-0.570727,Q,Q
2023-03-14 22:43:08:173,0,-1.52021,-5.57264,-0.583517,Q,Q
2023-03-14 22:43:08:183,0,-1.51135,-5.56524,-0.596299,Q,Q
2023-03-14 22:43:08:193,0,-1.50935,-5.56307,-0.605502,Q,Q
2023-03-14 22:43:08:203,0,-1.50726,-5.56033,-0.611335,Q,Q
2023-03-14 22:43:08:213,0,-1.50578,-5.5603,-0.615785,Q,Q
2023-03-14 22:43:08:223,0,-1.50514,-5.5592,-0.617065,Q,Q
2023-03-14 22:43:08:233,0,-1.50468,-5.55621,-0.616323,Q,Q
2023-03-14 22:43:08:243,0,-1.50701,-5.55633,-0.613827,Q,Q
2023-03-14 22:43:08:253,0,-1.51004,-5.55614,-0.612586,Q,Q
2023-03-14 22:43:08:263,0,-1.51429,-5.55403,-0.610808,Q,Q
2023-03-14 22:43:08:273,0,-1.51673,-5.55519,-0.611335,Q,Q
2023-03-14 22:43:08:283,0,-1.51571,-5.55916,-0.611191,Q,Q
2023-03-14 22:43:08:293,0,-1.50895,-5.56254,-0.612102,Q,Q
2023-03-14 22:43:08:303,0,-1.50191,-5.56325,-0.615368,Q,Q
2023-03-14 22:43:08:313,0,-1.49178,-5.56788,-0.623483,Q,Q
2023-03-14 22:43:08:323,0,-1.47605,-5.5726,-0.627649,Q,Q
2023-03-14 22:43:08:333,0,-1.46347,-5.57718,-0.629035,Q,Q
2023-03-14 22:43:08:343,0,-1.4529,-5.58269,-0.6289,Q,Q
2023-03-14 22:43:08:353,0,-1.44171,-5.58726,-0.633411,Q,Q
2023-03-14 22:43:08:363,0,-1.43281,-5.59193,-0.630029,Q,Q
2023-03-14 22:43:08:373,0,-1.42715,-5.59543,-0.623945,Q,Q
2023-03-14 22:43:08:383,0,-1.42159,-5.60089,-0.617643,Q,Q
2023-03-14 22:43:08:393,0,-1.42256,-5.60706,-0.609043,Q,Q
2023-03-14 22:43:08:403,0,-1.42589,-5.60972,-0.598158,Q,Q
2023-03-14 22:43:08:413,0,-1.42599,-5.60978,-0.587273,Q,Q
2023-03-14 22:43:08:423,0,-1.42481,-5.60837,-0.582764,Q,Q
2023-03-14 22:43:08:433,0,-1.42613,-5.60135,-0.578845,Q,Q
2023-03-14 22:43:08:443,0,-1.42979,-5.59934,-0.57395,Q,Q
2023-03-14 22:43:08:453,0,-1.43082,-5.59847,-0.576155,Q,Q
2023-03-14 22:43:08:463,0,-1.43323,-5.59597,-0.579733,Q,Q
2023-03-14 22:43:08:473,0,-1.43804,-5.59259,-0.583849,Q,Q
