Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-04-21 02-48-41-387650,0,160,1555,1445,-0.264,160.039,-0.17,0.45,-9.79,-2.67,-1.19,-148.0,28.0
2023-04-21 02-48-41-452480,0,160,1555,1445,-0.264,159.951,-0.2,0.4,-9.78,-2.65,-1.21,-148.24,28.24000000000001
2023-04-21 02-48-41-530108,0,160,1555,1445,-0.264,159.951,-0.16,0.44,-9.76,-2.65,-1.22,-148.43,28.430000000000007
2023-04-21 02-48-41-597037,0,160,1555,1445,-0.264,160.039,-0.17,0.45,-9.76,-2.62,-1.25,-148.7,28.69999999999999
2023-04-21 02-48-41-679711,0,160,1555,1445,-0.264,160.039,-0.17,0.43,-9.76,-2.6,-1.25,-148.93,28.930000000000007
2023-04-21 02-48-41-751965,0,160,1555,1445,-0.264,159.951,-0.21,0.46,-9.8,-2.59,-1.26,-149.19,29.189999999999998
2023-04-21 02-48-41-829204,0,160,1555,1445,-0.264,159.951,-0.22,0.39,-9.77,-2.58,-1.29,-149.42,29.419999999999987
2023-04-21 02-48-41-905078,0,160,1555,1445,-0.264,159.951,-0.18,0.39,-9.75,-2.58,-1.3,-149.62,29.620000000000005
2023-04-21 02-48-41-974733,0,160,1555,1445,-0.352,159.951,-0.18,0.45,-9.78,-2.57,-1.31,-149.8,29.80000000000001
2023-04-21 02-48-42-044849,0,160,1555,1445,-0.264,160.039,-0.2,0.4,-9.76,-2.56,-1.32,-150.0,30.0
2023-04-21 02-48-42-129949,0,160,1555,1445,-0.352,160.039,-0.21,0.38,-9.79,-2.55,-1.31,-150.24,30.24000000000001
2023-04-21 02-48-42-208063,0,160,1555,1445,-0.264,159.951,-0.19,0.4,-9.76,-2.55,-1.31,-150.44,30.439999999999998
2023-04-21 02-48-42-282027,0,160,1555,1445,-0.264,160.039,-0.18,0.44,-9.78,-2.55,-1.28,-150.62,30.620000000000005
2023-04-21 02-48-42-353421,0,160,1555,1445,-0.352,160.039,-0.18,0.43,-9.8,-2.56,-1.26,-150.79,30.789999999999992
2023-04-21 02-48-42-426742,0,160,1555,1445,-0.264,160.039,-0.17,0.41,-9.76,-2.57,-1.27,-150.99,30.99000000000001
2023-04-21 02-48-42-506061,0,160,1555,1445,-0.264,160.039,-0.17,0.38,-9.77,-2.58,-1.27,-151.17,31.169999999999987
2023-04-21 02-48-42-585223,0,160,1555,1445,-0.264,159.951,-0.19,0.41,-9.75,-2.57,-1.28,-151.36,31.360000000000014
2023-04-21 02-48-42-661241,0,160,1555,1445,-0.264,159.951,-0.18,0.41,-9.76,-2.56,-1.28,-151.55,31.55000000000001
2023-04-21 02-48-42-739418,0,160,1555,1445,-0.264,160.039,-0.19,0.37,-9.74,-2.55,-1.27,-151.72,31.72
2023-04-21 02-48-42-819097,0,160,1555,1445,-0.264,160.039,-0.17,0.45,-9.8,-2.54,-1.26,-151.89,31.889999999999986
2023-04-21 02-48-42-896495,0,160,1555,1445,-0.352,160.039,-0.18,0.4,-9.76,-2.55,-1.26,-152.04,32.03999999999999
2023-04-21 02-48-42-975739,0,160,1555,1445,-0.352,160.039,-0.2,0.42,-9.76,-2.54,-1.25,-152.18,32.18000000000001
2023-04-21 02-48-43-054409,0,160,1555,1445,-0.264,160.039,-0.17,0.42,-9.76,-2.55,-1.23,-152.32,32.31999999999999
2023-04-21 02-48-43-132281,0,160,1555,1445,-0.264,160.039,-0.17,0.42,-9.75,-2.56,-1.22,-152.46,32.46000000000001
2023-04-21 02-48-43-210213,0,160,1555,1445,-0.264,160.039,-0.15,0.46,-9.79,-2.56,-1.2,-152.59,32.59
2023-04-21 02-48-43-290308,0,160,1555,1445,-0.264,160.039,-0.15,0.44,-9.77,-2.56,-1.19,-152.75,32.75
2023-04-21 02-48-43-366646,0,160,1555,1445,-0.264,160.039,-0.18,0.38,-9.74,-2.55,-1.2,-152.89,32.889999999999986
2023-04-21 02-48-43-440612,0,160,1555,1445,-0.264,160.039,-0.2,0.44,-9.78,-2.56,-1.2,-153.03,33.03
2023-04-21 02-48-43-520021,0,160,1555,1445,-0.264,160.039,-0.17,0.4,-9.75,-2.54,-1.2,-153.15,33.150000000000006
2023-04-21 02-48-43-595895,0,160,1555,1445,-0.264,160.039,-0.17,0.38,-9.75,-2.54,-1.2,-153.27,33.27000000000001
2023-04-21 02-48-43-674504,0,160,1555,1445,-0.264,160.039,-0.16,0.4,-9.74,-2.53,-1.19,-153.37,33.370000000000005
2023-04-21 02-48-43-754608,0,160,1555,1445,-0.264,160.039,-0.15,0.41,-9.75,-2.52,-1.2,-153.5,33.5
2023-04-21 02-48-43-818693,0,160,1555,1445,-0.264,160.039,-0.19,0.41,-9.76,-2.51,-1.21,-153.61,33.610000000000014
2023-04-21 02-48-43-894962,0,160,1555,1445,-0.264,159.951,-0.2,0.43,-9.78,-2.51,-1.23,-153.73,33.72999999999999
2023-04-21 02-48-43-971963,0,160,1555,1445,-0.264,159.951,-0.19,0.43,-9.76,-2.51,-1.25,-153.85,33.849999999999994
2023-04-21 02-48-44-049040,0,160,1555,1445,-0.264,160.039,-0.2,0.4,-9.77,-2.5,-1.25,-153.96,33.96000000000001
2023-04-21 02-48-44-124275,0,160,1555,1445,-0.264,160.039,-0.19,0.41,-9.79,-2.49,-1.26,-154.05,34.05000000000001
2023-04-21 02-48-44-201592,0,160,1555,1445,-0.264,160.039,-0.19,0.38,-9.77,-2.48,-1.26,-154.16,34.16
2023-04-21 02-48-44-278365,0,160,1555,1445,-0.264,159.951,-0.2,0.41,-9.78,-2.47,-1.27,-154.27,34.27000000000001
2023-04-21 02-48-44-350734,0,160,1555,1445,-0.264,160.039,-0.2,0.41,-9.77,-2.47,-1.28,-154.37,34.370000000000005
2023-04-21 02-48-44-429646,0,160,1555,1445,-0.264,159.951,-0.17,0.38,-9.76,-2.48,-1.28,-154.46,34.46000000000001
2023-04-21 02-48-44-507715,0,160,1555,1445,-0.264,160.039,-0.21,0.41,-9.75,-2.48,-1.27,-154.57,34.56999999999999
2023-04-21 02-48-44-586337,0,160,1555,1445,-0.264,159.951,-0.2,0.42,-9.8,-2.49,-1.25,-154.66,34.66
2023-04-21 02-48-44-664997,0,160,1555,1445,-0.264,159.951,-0.2,0.39,-9.77,-2.5,-1.23,-154.75,34.75
2023-04-21 02-48-44-735676,0,160,1555,1445,-0.264,160.039,-0.18,0.4,-9.77,-2.51,-1.2,-154.84,34.84
2023-04-21 02-48-44-814647,0,160,1555,1445,-0.264,160.039,-0.18,0.4,-9.77,-2.54,-1.16,-154.92,34.91999999999999
2023-04-21 02-48-44-903970,0,160,1555,1445,-0.264,160.039,-0.17,0.45,-9.76,-2.56,-1.13,-155.01,35.00999999999999
2023-04-21 02-48-44-976747,0,160,1555,1445,-0.264,160.039,-0.16,0.41,-9.78,-2.59,-1.08,-155.09,35.09
2023-04-21 02-48-45-041514,0,160,1555,1445,-0.264,160.039,-0.19,0.4,-9.79,-2.62,-1.03,-155.15,35.150000000000006
2023-04-21 02-48-45-127091,0,160,1555,1445,-0.264,159.951,-0.14,0.4,-9.75,-2.64,-0.99,-155.22,35.22
2023-04-21 02-48-45-200419,0,160,1555,1445,-0.264,160.039,-0.11,0.44,-9.77,-2.67,-0.98,-155.29,35.28999999999999
2023-04-21 02-48-45-280887,0,160,1555,1445,-0.264,160.039,-0.14,0.45,-9.78,-2.67,-0.95,-155.37,35.370000000000005
2023-04-21 02-48-45-358242,0,160,1555,1445,-0.264,160.039,-0.1,0.4,-9.78,-2.69,-0.94,-155.46,35.46000000000001
2023-04-21 02-48-45-427949,0,160,1555,1445,-0.264,159.951,-0.12,0.41,-9.78,-2.69,-0.96,-155.54,35.53999999999999
2023-04-21 02-48-45-507959,0,160,1555,1445,-0.264,160.039,-0.14,0.4,-9.75,-2.68,-0.99,-155.63,35.629999999999995
2023-04-21 02-48-45-588740,0,160,1555,1445,-0.264,159.951,-0.15,0.44,-9.74,-2.67,-1.04,-155.71,35.71000000000001
2023-04-21 02-48-45-667221,0,160,1555,1445,-0.264,160.039,-0.17,0.4,-9.74,-2.63,-1.1,-155.79,35.78999999999999
2023-04-21 02-48-45-744029,0,160,1555,1445,-0.264,160.039,-0.14,0.4,-9.76,-2.58,-1.15,-155.85,35.849999999999994
2023-04-21 02-48-45-824706,0,160,1555,1445,-0.352,159.951,-0.17,0.42,-9.77,-2.53,-1.2,-155.91,35.91
2023-04-21 02-48-45-900102,0,160,1555,1445,-0.264,160.039,-0.18,0.38,-9.75,-2.49,-1.26,-155.99,35.99000000000001
2023-04-21 02-48-45-982470,0,160,1555,1445,-0.264,160.039,-0.18,0.38,-9.8,-2.45,-1.33,-156.06,36.06
2023-04-21 02-48-46-066605,0,160,1555,1445,-0.264,159.951,-0.23,0.35,-9.76,-2.42,-1.4,-156.13,36.129999999999995
2023-04-21 02-48-46-146423,0,160,1555,1445,-0.264,160.039,-0.23,0.41,-9.75,-2.4,-1.44,-156.18,36.18000000000001
2023-04-21 02-48-46-225160,0,160,1555,1445,-0.264,160.039,-0.21,0.4,-9.78,-2.37,-1.46,-156.22,36.22
2023-04-21 02-48-46-302602,0,160,1555,1445,-0.264,160.039,-0.22,0.4,-9.76,-2.35,-1.48,-156.27,36.27000000000001
2023-04-21 02-48-46-383696,0,160,1555,1445,-0.264,160.039,-0.2,0.41,-9.81,-2.34,-1.47,-156.3,36.30000000000001
2023-04-21 02-48-46-475244,0,160,1555,1445,-0.264,159.951,-0.2,0.34,-9.77,-2.34,-1.46,-156.34,36.34
2023-04-21 02-48-46-539776,0,160,1555,1445,-0.264,160.039,-0.23,0.38,-9.78,-2.35,-1.46,-156.38,36.379999999999995
2023-04-21 02-48-46-634087,0,160,1555,1445,-0.264,160.039,-0.23,0.4,-9.77,-2.35,-1.46,-156.42,36.41999999999999
2023-04-21 02-48-46-700273,0,160,1555,1445,-0.264,160.039,-0.19,0.36,-9.77,-2.36,-1.45,-156.46,36.46000000000001
