Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-04-21 02-18-15-349996,0,160,1550,1450,-0.176,160.127,-0.38,-9.76,-0.68,85.8,-1.92,-134.28,115.8
2023-04-21 02-18-15-427269,0,160,1550,1450,-0.176,160.215,-0.38,-9.76,-0.69,85.8,-1.91,-134.29,115.8
2023-04-21 02-18-15-526831,0,160,1550,1450,-0.176,160.215,-0.38,-9.75,-0.68,85.81,-1.92,-134.28,115.81
2023-04-21 02-18-15-614787,0,160,1550,1450,-0.176,160.127,-0.42,-9.73,-0.57,85.81,-1.92,-134.28,115.81
2023-04-21 02-18-15-708003,0,160,1550,1450,-0.176,160.215,-0.54,-9.77,-0.65,85.79,-1.92,-134.02,115.79
2023-04-21 02-18-15-791008,0,160,1550,1450,-0.176,160.215,-0.54,-9.76,-0.68,85.78,-1.89,-133.64,115.78
2023-04-21 02-18-15-886075,0,160,1550,1450,-0.176,160.127,-0.46,-9.72,-0.7,85.7,-1.71,-133.09,115.7
2023-04-21 02-18-15-965598,0,160,1550,1450,-0.176,160.215,-0.35,-9.73,-0.72,85.61,-1.54,-132.58,115.61
2023-04-21 02-18-16-061310,0,160,1550,1450,-0.264,160.215,-0.36,-9.74,-0.72,85.56,-1.47,-132.03,115.56
2023-04-21 02-18-16-159096,0,160,1550,1450,-0.176,160.127,-0.37,-9.71,-0.78,85.5,-1.53,-131.2,115.5
2023-04-21 02-18-16-247329,0,160,1550,1450,-0.176,160.215,-0.36,-9.74,-0.73,85.49,-1.67,-130.56,115.49
2023-04-21 02-18-16-337344,0,160,1550,1450,-0.176,160.215,-0.36,-9.74,-0.75,85.47,-1.86,-129.83,115.47
2023-04-21 02-18-16-429577,0,160,1550,1450,-0.176,160.127,-0.44,-9.69,-0.73,85.48,-2.11,-129.07,115.48
2023-04-21 02-18-16-527716,0,160,1550,1450,-0.264,160.215,-0.46,-9.74,-0.73,85.5,-2.38,-128.21,115.5
2023-04-21 02-18-16-624162,0,160,1550,1450,-0.176,160.215,-0.48,-9.77,-0.7,85.53,-2.66,-127.33,115.53
2023-04-21 02-18-16-713563,0,160,1550,1450,-0.176,160.127,-0.55,-9.71,-0.7,85.56,-2.84,-126.52,115.56
2023-04-21 02-18-16-809504,0,160,1550,1450,-0.176,160.127,-0.51,-9.77,-0.72,85.58,-2.96,-125.71,115.58
2023-04-21 02-18-16-895003,0,160,1550,1450,-0.264,160.215,-0.57,-9.74,-0.73,85.63,-3.1,-124.92,115.63
2023-04-21 02-18-16-993561,0,160,1550,1450,-0.264,160.215,-0.55,-9.7,-0.67,85.69,-3.27,-124.04,115.69
2023-04-21 02-18-17-078979,0,160,1550,1450,-0.264,160.215,-0.5,-9.87,-0.58,85.65,-2.88,-123.52,115.65
2023-04-21 02-18-17-170977,0,160,1550,1450,-0.264,160.215,-0.43,-9.76,-0.78,85.58,-2.46,-122.94,115.58
2023-04-21 02-18-17-267694,0,160,1550,1450,-0.264,160.127,-0.39,-9.82,-0.74,85.57,-2.29,-122.46,115.57
2023-04-21 02-18-17-368601,0,160,1550,1450,-0.264,160.127,-0.38,-9.71,-0.8,85.47,-2.33,-121.95,115.47
2023-04-21 02-18-17-465089,0,160,1550,1450,-0.264,160.127,-0.43,-9.75,-0.77,85.31,-2.19,-121.68,115.31
