Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-05-05 13-30-22-899689,0,160,1562,1437,-89.868,-110.005,-0.07,-0.26,-9.77,1.44,-0.6,179.03,26.44
2023-05-05 13-30-23-392678,0,160,1562,1437,-89.868,-110.005,-0.06,-0.22,-9.99,1.31,-0.6,179.03,26.31
2023-05-05 13-30-23-883769,0,160,1557,1443.0,-89.868,-110.005,0.11,0.52,-9.82,-3.36,0.46,178.16,21.64
2023-05-05 13-30-24-422039,0,160,1547,1453.0,-89.868,-110.005,0.48,1.77,-9.55,-10.49,2.76,175.18,14.51
2023-05-05 13-30-24-929292,0,160,1540,1460.0,-89.868,-110.093,0.92,2.7,-9.23,-16.22,5.31,171.04,8.780000000000001
2023-05-05 13-30-25-429017,0,160,1539,1461.0,-89.868,-110.093,1.62,2.92,-9.07,-17.78,9.38,167.26,7.219999999999999
2023-05-05 13-30-25-933439,0,160,1544,1456.0,-89.868,-110.005,2.0,2.33,-9.15,-14.24,11.8,166.75,10.76
2023-05-05 13-30-26-400139,0,160,1553,1447.0,-89.868,-110.093,2.65,1.2,-9.35,-7.81,15.53,168.94,17.19
2023-05-05 13-30-26-875394,0,160,1559,1441.0,-89.868,-110.005,2.36,0.41,-9.52,-2.79,13.47,172.92,22.21
2023-05-05 13-30-27-366144,0,160,1559,1441.0,-89.78,-110.005,1.75,0.39,-9.7,-2.32,9.86,174.69,22.68
2023-05-05 13-30-27-832907,0,160,1556,1444.0,-89.868,-110.005,1.7,0.66,-9.62,-4.43,9.89,175.19,20.57
2023-05-05 13-30-28-319131,0,160,1551,1449.0,-89.868,-110.093,1.96,1.22,-9.49,-7.89,11.39,175.08,17.11
2023-05-05 13-30-28-825089,0,160,1546,1454.0,-89.868,-110.005,2.51,1.9,-9.21,-11.61,14.72,173.93,13.39
2023-05-05 13-30-29-296798,0,160,1543,1457.0,-89.868,-110.093,3.42,2.19,-8.77,-13.98,20.55,172.28,11.02
2023-05-05 13-30-29-778159,0,160,1545,1455.0,-89.868,-110.093,4.46,1.98,-8.47,-13.43,27.01,172.31,11.57
2023-05-05 13-30-30-258131,0,160,1548,1452.0,-89.78,-110.005,4.24,1.68,-8.61,-11.11,25.37,174.86,13.89
2023-05-05 13-30-30-747678,0,160,1551,1449.0,-89.868,-110.005,3.58,1.37,-8.99,-8.87,21.14,176.69,16.130000000000003
2023-05-05 13-30-31-222254,0,160,1552,1448.0,-89.868,-110.005,3.36,1.19,-9.1,-7.73,19.95,177.03,17.27
2023-05-05 13-30-31-689994,0,160,1551,1449.0,-89.868,-110.093,3.56,1.3,-9.07,-8.36,21.08,176.38,16.64
2023-05-05 13-30-32-193816,0,160,1549,1451.0,-89.868,-110.093,3.73,1.49,-8.89,-9.84,22.39,175.42,15.16
2023-05-05 13-30-32-663686,0,160,1547,1453.0,-89.868,-110.093,4.1,1.65,-8.61,-11.33,25.02,174.09,13.67
2023-05-05 13-30-33-140405,0,160,1546,1454.0,-89.868,-110.093,4.28,1.79,-8.57,-11.97,25.99,172.75,13.03
2023-05-05 13-30-33-615402,0,160,1546,1454.0,-89.868,-110.005,4.3,1.77,-8.55,-12.0,26.08,171.72,13.0
2023-05-05 13-30-34-101258,0,160,1547,1453.0,-89.868,-110.005,4.29,1.74,-8.62,-11.76,25.82,170.99,13.24
