Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-05-05 12-25-07-009247,0,160,1549,1451.0,-89.868,-110.093,0.47,-0.21,-9.77,1.12,2.54,177.04,21.12
2023-05-05 12-25-07-484054,0,160,1555,1440,-89.868,-110.093,0.41,-0.24,-9.96,1.09,2.46,177.03,21.09
2023-05-05 12-25-07-946133,0,160,1555,1442.0,-89.868,-110.093,0.42,0.25,-9.9,-1.76,2.03,176.45,18.24
2023-05-05 12-25-08-418001,0,160,1550,1450.0,-89.868,-110.093,0.21,1.25,-9.7,-7.45,0.92,173.85,12.55
2023-05-05 12-25-08-897826,0,160,1541,1459.0,-89.78,-110.093,-0.1,2.25,-9.44,-13.53,-1.02,170.31,6.470000000000001
2023-05-05 12-25-09-364015,0,160,1534,1466.0,-89.868,-110.093,-0.78,2.95,-9.2,-17.51,-5.02,167.42,2.4899999999999984
2023-05-05 12-25-09-815293,0,160,1533,1467.0,-89.78,-110.093,-1.89,2.74,-9.05,-17.85,-7.23,163.63,2.1499999999999986
2023-05-05 12-25-10-282250,0,160,1536,1464.0,-89.868,-110.093,-0.91,2.47,-9.27,-14.86,-5.38,160.33,5.140000000000001
2023-05-05 12-25-10-763644,0,160,1544,1456.0,-89.868,-110.093,0.04,1.55,-9.62,-9.42,0.02,158.42,10.58
2023-05-05 12-25-11-229481,0,160,1553,1447.0,-89.868,-110.093,1.13,0.51,-9.79,-3.18,6.19,159.47,16.82
2023-05-05 12-25-11-676861,0,160,1555,1442.0,-89.78,-110.093,1.81,0.05,-9.87,-0.45,10.12,162.31,19.55
2023-05-05 12-25-12-148694,0,160,1555,1444.0,-89.868,-110.093,1.75,0.42,-9.69,-2.61,9.81,164.67,17.39
2023-05-05 12-25-12-621512,0,160,1550,1450.0,-89.868,-110.093,1.63,1.12,-9.6,-7.06,9.3,165.51,12.940000000000001
2023-05-05 12-25-13-111453,0,160,1543,1457.0,-89.78,-110.093,1.58,1.97,-9.39,-11.8,8.95,164.61,8.2
2023-05-05 12-25-13-559674,0,160,1538,1462.0,-89.868,-110.093,1.58,2.45,-9.24,-14.6,8.97,162.51,5.4
2023-05-05 12-25-14-018053,0,160,1538,1462.0,-89.78,-110.093,1.79,2.37,-9.19,-14.4,10.41,160.27,5.6
2023-05-05 12-25-14-489370,0,160,1542,1458.0,-89.78,-110.093,2.14,1.81,-9.35,-11.16,12.42,159.25,8.84
