Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-05-05 12-27-48-244097,0,160,1555,1440,-89.868,-110.093,0.12,-0.27,-9.78,1.42,0.38,177.48,21.42
2023-05-05 12-27-48-719236,0,160,1555,1443.0,-89.868,-110.093,0.09,-0.31,-10.15,1.39,0.36,177.48,21.39
2023-05-05 12-27-49-194744,0,160,1551,1449.0,-89.78,-110.093,0.12,0.47,-9.82,-2.84,-0.07,176.56,17.16
2023-05-05 12-27-49-662647,0,160,1543,1457.0,-89.78,-110.093,0.06,1.44,-9.6,-8.85,-0.01,172.76,11.15
2023-05-05 12-27-50-138139,0,160,1537,1463.0,-89.78,-110.093,0.03,2.51,-9.41,-13.28,-0.39,167.86,6.720000000000001
2023-05-05 12-27-50-613726,0,160,1537,1463.0,-89.78,-110.093,-0.31,2.36,-9.35,-13.97,-2.2,165.18,6.029999999999999
2023-05-05 12-27-51-069769,0,160,1541,1459.0,-89.868,-110.093,-0.04,1.98,-9.5,-11.83,-0.5,162.76,8.17
2023-05-05 12-27-51-533684,0,160,1546,1454.0,-89.78,-110.093,0.6,1.37,-9.67,-8.19,3.25,161.72,11.81
2023-05-05 12-27-52-008574,0,160,1550,1450.0,-89.78,-110.181,1.27,0.77,-9.8,-4.71,6.99,162.36,15.29
2023-05-05 12-27-52-475048,0,160,1551,1449.0,-89.868,-110.093,1.35,0.55,-9.8,-3.31,7.32,163.87,16.69
2023-05-05 12-27-52-935973,0,160,1549,1451.0,-89.868,-110.093,0.85,0.73,-9.74,-4.45,4.75,164.92,15.55
2023-05-05 12-27-53-408093,0,160,1547,1453.0,-89.78,-110.093,0.64,1.09,-9.64,-6.36,3.49,164.87,13.64
2023-05-05 12-27-53-881671,0,160,1546,1454.0,-89.78,-110.093,0.58,1.26,-9.63,-7.45,3.02,164.39,12.55
2023-05-05 12-27-54-370854,0,160,1545,1455.0,-89.78,-110.093,0.77,1.27,-9.67,-7.7,4.24,163.57,12.3
2023-05-05 12-27-54-816991,0,160,1546,1454.0,-89.78,-110.093,0.81,1.26,-9.67,-7.57,4.57,163.32,12.43
2023-05-05 12-27-55-298381,0,160,1547,1453.0,-89.868,-110.093,0.7,1.17,-9.7,-6.96,3.75,163.72,13.04
2023-05-05 12-27-55-774067,0,160,1547,1453.0,-89.78,-110.093,0.7,1.09,-9.7,-6.56,3.9,163.74,13.440000000000001
2023-05-05 12-27-56-242980,0,160,1547,1453.0,-89.868,-110.093,0.91,1.06,-9.72,-6.45,4.89,163.52,13.55
2023-05-05 12-27-56-740118,0,160,1547,1453.0,-89.868,-110.093,0.99,1.08,-9.69,-6.42,5.32,163.55,13.58
2023-05-05 12-27-57-207750,0,160,1547,1453.0,-89.78,-110.093,0.89,1.06,-9.68,-6.44,4.87,163.81,13.559999999999999
2023-05-05 12-27-57-707461,0,160,1547,1453.0,-89.868,-110.093,0.86,1.09,-9.67,-6.58,4.79,163.85,13.42
2023-05-05 12-27-58-180061,0,160,1547,1453.0,-89.78,-110.093,0.86,1.16,-9.63,-6.85,4.74,163.78,13.15
2023-05-05 12-27-58-659140,0,160,1546,1454.0,-89.868,-110.093,1.0,1.14,-9.68,-6.94,5.64,163.41,13.059999999999999
2023-05-05 12-27-59-140426,0,160,1546,1454.0,-89.78,-110.093,0.98,1.17,-9.66,-7.09,5.46,163.46,12.91
2023-05-05 12-27-59-631456,0,160,1546,1454.0,-89.78,-110.093,0.99,1.2,-9.67,-7.22,5.25,163.51,12.780000000000001
2023-05-05 12-28-00-108439,0,160,1546,1454.0,-89.868,-110.093,0.94,1.26,-9.65,-7.4,5.08,163.41,12.6
2023-05-05 12-28-00-574111,0,160,1546,1454.0,-89.78,-110.093,1.09,1.25,-9.66,-7.49,6.11,162.96,12.51
2023-05-05 12-28-01-067911,0,160,1546,1454.0,-89.78,-110.093,1.15,1.23,-9.64,-7.51,6.48,162.8,12.49
