Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-05-05 12-48-55-038679,0,160,1551,1449.0,-89.78,-110.093,-1.17,2.61,-9.42,-15.58,-7.16,139.37,14.42
2023-05-05 12-48-55-220446,0,160,1552,1448.0,-89.868,-110.005,-1.16,2.56,-9.39,-15.31,-7.41,139.57,14.69
2023-05-05 12-48-55-398071,0,160,1552,1448.0,-89.78,-110.093,-1.25,2.54,-9.35,-15.17,-7.6,139.65,14.83
2023-05-05 12-48-55-576464,0,160,1552,1448.0,-89.78,-110.093,-1.19,2.51,-9.39,-15.18,-7.45,139.55,14.82
2023-05-05 12-48-55-748877,0,160,1552,1448.0,-89.868,-110.093,-1.18,2.52,-9.39,-15.3,-7.18,139.36,14.7
2023-05-05 12-48-55-932474,0,160,1551,1449.0,-89.78,-110.093,-1.06,2.59,-9.38,-15.54,-6.93,139.18,14.46
2023-05-05 12-48-56-105837,0,160,1551,1449.0,-89.78,-110.093,-1.1,2.65,-9.36,-15.86,-6.82,139.07,14.14
2023-05-05 12-48-56-279254,0,160,1550,1450.0,-89.868,-110.093,-1.11,2.69,-9.34,-16.16,-6.89,139.01,13.84
2023-05-05 12-48-56-454868,0,160,1550,1450.0,-89.78,-110.093,-1.16,2.77,-9.33,-16.55,-7.02,138.9,13.45
2023-05-05 12-48-56-636356,0,160,1549,1451.0,-89.78,-110.093,-1.21,2.79,-9.31,-16.93,-7.42,138.86,13.07
2023-05-05 12-48-56-801904,0,160,1549,1451.0,-89.868,-110.093,-1.29,2.85,-9.27,-17.23,-7.87,138.82,12.77
2023-05-05 12-48-56-985895,0,160,1548,1452.0,-89.868,-110.093,-1.34,2.87,-9.18,-17.42,-8.04,138.61,12.579999999999998
2023-05-05 12-48-57-163734,0,160,1549,1451.0,-89.78,-110.093,-1.3,2.86,-9.2,-17.32,-7.85,138.32,12.68
2023-05-05 12-48-57-349419,0,160,1549,1451.0,-89.868,-110.093,-1.26,2.82,-9.26,-17.07,-7.52,138.07,12.93
2023-05-05 12-48-57-514141,0,160,1549,1451.0,-89.868,-110.093,-1.2,2.76,-9.3,-16.75,-7.1,137.87,13.25
2023-05-05 12-48-57-697145,0,160,1550,1450.0,-89.868,-110.093,-1.08,2.71,-9.29,-16.31,-6.58,137.74,13.690000000000001
2023-05-05 12-48-57-871222,0,160,1551,1449.0,-89.868,-110.093,-0.97,2.63,-9.36,-15.77,-5.96,137.7,14.23
2023-05-05 12-48-58-051600,0,160,1552,1448.0,-89.868,-110.093,-0.91,2.56,-9.44,-15.26,-5.62,137.86,14.74
2023-05-05 12-48-58-231055,0,160,1552,1448.0,-89.868,-110.093,-0.86,2.48,-9.46,-14.93,-5.31,138.03,15.07
2023-05-05 12-48-58-418140,0,160,1552,1448.0,-89.868,-110.093,-0.78,2.47,-9.47,-14.77,-4.92,138.19,15.23
2023-05-05 12-48-58-594609,0,160,1552,1448.0,-89.868,-110.093,-0.71,2.44,-9.47,-14.73,-4.55,138.36,15.27
2023-05-05 12-48-58-773871,0,160,1552,1448.0,-89.868,-110.093,-0.69,2.48,-9.46,-14.79,-4.3,138.51,15.21
2023-05-05 12-48-58-950651,0,160,1552,1448.0,-89.78,-110.093,-0.6,2.52,-9.41,-14.9,-3.91,138.58,15.1
2023-05-05 12-48-59-125949,0,160,1552,1448.0,-89.868,-110.093,-0.58,2.53,-9.44,-15.09,-3.36,138.52,14.91
2023-05-05 12-48-59-313476,0,160,1551,1449.0,-89.868,-110.093,-0.52,2.54,-9.51,-15.32,-2.88,138.48,14.68
2023-05-05 12-48-59-499329,0,160,1551,1449.0,-89.78,-110.093,-0.47,2.61,-9.41,-15.56,-3.15,138.89,14.44
2023-05-05 12-48-59-675844,0,160,1551,1449.0,-89.868,-110.093,-0.58,2.64,-9.41,-15.8,-3.44,139.24,14.2
2023-05-05 12-48-59-852502,0,160,1550,1450.0,-89.868,-110.093,-0.58,2.66,-9.39,-16.05,-3.71,139.52,13.95
2023-05-05 12-49-00-029871,0,160,1550,1450.0,-89.868,-110.093,-0.61,2.72,-9.38,-16.3,-3.98,139.74,13.7
2023-05-05 12-49-00-205964,0,160,1550,1450.0,-89.868,-110.093,-0.86,2.7,-9.33,-16.46,-4.59,139.93,13.54
2023-05-05 12-49-00-383795,0,160,1549,1451.0,-89.78,-110.093,-0.84,2.77,-9.31,-16.68,-5.0,140.08,13.32
2023-05-05 12-49-00-562511,0,160,1549,1451.0,-89.868,-110.093,-0.88,2.79,-9.33,-16.92,-5.34,140.14,13.079999999999998
2023-05-05 12-49-00-738599,0,160,1549,1451.0,-89.78,-110.093,-0.9,2.87,-9.23,-17.09,-5.53,140.07,12.91
2023-05-05 12-49-00-932576,0,160,1549,1451.0,-89.868,-110.093,-0.92,2.85,-9.26,-17.1,-5.53,139.96,12.899999999999999
2023-05-05 12-49-01-110971,0,160,1549,1451.0,-89.868,-110.093,-0.86,2.81,-9.26,-16.92,-5.27,139.8,13.079999999999998
2023-05-05 12-49-01-290918,0,160,1550,1450.0,-89.78,-110.093,-0.72,2.78,-9.29,-16.56,-4.67,139.57,13.440000000000001
2023-05-05 12-49-01-457329,0,160,1550,1450.0,-89.868,-110.093,-0.63,2.7,-9.36,-16.08,-4.03,139.48,13.920000000000002
2023-05-05 12-49-01-641968,0,160,1551,1449.0,-89.868,-110.093,-0.58,2.58,-9.45,-15.65,-3.63,139.64,14.35
2023-05-05 12-49-01-822856,0,160,1552,1448.0,-89.868,-110.093,-0.53,2.57,-9.46,-15.37,-3.54,139.91,14.63
2023-05-05 12-49-02-007478,0,160,1552,1448.0,-89.78,-110.093,-0.51,2.55,-9.46,-15.25,-3.36,140.08,14.75
2023-05-05 12-49-02-181246,0,160,1552,1448.0,-89.868,-110.093,-0.48,2.53,-9.47,-15.25,-3.06,140.13,14.75
2023-05-05 12-49-02-361684,0,160,1551,1449.0,-89.78,-110.093,-0.54,2.51,-9.49,-15.34,-2.89,140.2,14.66
2023-05-05 12-49-02-541015,0,160,1551,1449.0,-89.868,-110.093,-0.48,2.58,-9.42,-15.48,-3.06,140.48,14.52
2023-05-05 12-49-02-721604,0,160,1551,1449.0,-89.78,-110.093,-0.52,2.6,-9.4,-15.65,-3.27,140.71,14.35
2023-05-05 12-49-02-894979,0,160,1551,1449.0,-89.868,-110.093,-0.56,2.64,-9.37,-15.86,-3.49,140.9,14.14
2023-05-05 12-49-03-073553,0,160,1550,1450.0,-89.868,-110.093,-0.59,2.67,-9.38,-16.03,-3.66,141.04,13.969999999999999
2023-05-05 12-49-03-262554,0,160,1550,1450.0,-89.868,-110.093,-0.55,2.71,-9.4,-16.18,-3.77,141.13,13.82
2023-05-05 12-49-03-441850,0,160,1550,1450.0,-89.868,-110.093,-0.64,2.71,-9.36,-16.19,-3.96,141.19,13.809999999999999
2023-05-05 12-49-03-623692,0,160,1550,1450.0,-89.868,-110.093,-0.7,2.68,-9.38,-16.2,-4.23,141.28,13.8
2023-05-05 12-49-03-805673,0,160,1550,1450.0,-89.78,-110.093,-0.73,2.71,-9.35,-16.31,-4.49,141.38,13.690000000000001
2023-05-05 12-49-03-985651,0,160,1550,1450.0,-89.868,-110.093,-0.76,2.73,-9.36,-16.45,-4.81,141.44,13.55
2023-05-05 12-49-04-159428,0,160,1550,1450.0,-89.868,-110.093,-0.81,2.78,-9.36,-16.59,-5.02,141.44,13.41
2023-05-05 12-49-04-343623,0,160,1549,1451.0,-89.78,-110.093,-0.85,2.79,-9.35,-16.71,-5.23,141.41,13.29
2023-05-05 12-49-04-528706,0,160,1549,1451.0,-89.78,-110.093,-0.88,2.84,-9.29,-16.87,-5.49,141.34,13.129999999999999
2023-05-05 12-49-04-700717,0,160,1549,1451.0,-89.78,-110.093,-0.91,2.81,-9.29,-16.93,-5.43,141.14,13.07
2023-05-05 12-49-04-883984,0,160,1549,1451.0,-89.868,-110.093,-0.89,2.8,-9.3,-16.79,-5.24,140.95,13.21
2023-05-05 12-49-05-064032,0,160,1550,1450.0,-89.868,-110.093,-0.81,2.77,-9.32,-16.55,-4.93,140.8,13.45
2023-05-05 12-49-05-258183,0,160,1550,1450.0,-89.78,-110.093,-0.71,2.68,-9.39,-16.18,-4.49,140.66,13.82
2023-05-05 12-49-05-420187,0,160,1551,1449.0,-89.78,-110.093,-0.65,2.64,-9.41,-15.92,-4.14,140.63,14.08
2023-05-05 12-49-05-587039,0,160,1551,1449.0,-89.868,-110.093,-0.62,2.61,-9.43,-15.68,-3.84,140.64,14.32
2023-05-05 12-49-05-768027,0,160,1551,1449.0,-89.78,-110.093,-0.56,2.59,-9.46,-15.52,-3.64,140.73,14.48
2023-05-05 12-49-05-950305,0,160,1551,1449.0,-89.78,-110.093,-0.53,2.65,-9.4,-15.57,-3.57,140.81,14.43
2023-05-05 12-49-06-128321,0,160,1551,1449.0,-89.868,-110.093,-0.61,2.54,-9.46,-15.7,-3.41,140.78,14.3
2023-05-05 12-49-06-310463,0,160,1551,1449.0,-89.868,-110.093,-0.55,2.63,-9.4,-15.84,-3.58,140.93,14.16
2023-05-05 12-49-06-489505,0,160,1550,1450.0,-89.78,-110.093,-0.61,2.68,-9.38,-15.99,-3.75,141.06,14.01
