Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-05-05 10-38-43-342635,0,160,1545,1455,-89.956,-109.741,-0.01,-0.31,-9.78,1.59,-0.3,174.8,31.59
2023-05-05 10-38-43-460937,0,160,1545,1455,-89.956,-109.741,-0.02,-0.3,-9.78,1.6,-0.29,174.8,31.6
2023-05-05 10-38-43-572891,0,160,1545,1455,-89.956,-109.653,-0.01,-0.3,-9.78,1.6,-0.28,174.8,31.6
2023-05-05 10-38-43-683931,0,160,1545,1455,-89.956,-109.653,-0.02,-0.32,-9.98,1.58,-0.28,174.8,31.58
2023-05-05 10-38-43-801423,0,160,1545,1455,-89.956,-109.741,-0.05,-0.26,-9.84,1.31,-0.38,174.81,31.31
2023-05-05 10-38-43-919972,0,160,1545,1455,-89.956,-109.653,-0.06,-0.21,-9.83,0.93,-0.51,174.81,30.93
2023-05-05 10-38-44-038513,0,160,1545,1455,-89.956,-109.741,-0.08,-0.12,-9.81,0.5,-0.64,174.79,30.5
2023-05-05 10-38-44-151157,0,160,1545,1455,-89.956,-109.741,-0.08,0.02,-9.77,0.0,-0.75,174.71,30.0
2023-05-05 10-38-44-272241,0,160,1545,1455,-89.956,-109.653,-0.09,0.06,-9.78,-0.52,-0.82,174.57,29.48
2023-05-05 10-38-44-383297,0,160,1545,1455,-89.956,-109.741,-0.1,0.14,-9.79,-1.03,-0.81,174.38,28.97
2023-05-05 10-38-44-491433,0,160,1545,1455,-89.956,-109.653,-0.11,0.23,-9.74,-1.55,-0.75,174.13,28.45
2023-05-05 10-38-44-618282,0,160,1545,1455,-89.956,-109.653,-0.06,0.33,-9.75,-2.09,-0.58,173.82,27.91
2023-05-05 10-38-44-718240,0,160,1545,1455,-89.956,-109.741,0.01,0.42,-9.77,-2.61,-0.32,173.46,27.39
2023-05-05 10-38-44-830926,0,160,1545,1455,-89.956,-109.653,0.03,0.51,-9.76,-3.12,-0.03,173.03,26.88
2023-05-05 10-38-44-957172,0,160,1545,1455,-89.956,-109.653,0.12,0.6,-9.73,-3.68,0.43,172.48,26.32
2023-05-05 10-38-45-080096,0,160,1545,1455,-89.956,-109.741,0.21,0.68,-9.79,-4.23,0.99,171.87,25.77
2023-05-05 10-38-45-193233,0,160,1545,1455,-89.956,-109.653,0.28,0.76,-9.74,-4.68,1.38,171.32,25.32
2023-05-05 10-38-45-291076,0,160,1545,1455,-89.956,-109.741,0.36,0.82,-9.71,-5.09,1.96,170.78,24.91
2023-05-05 10-38-45-409103,0,160,1545,1455,-89.956,-109.653,0.55,0.95,-9.7,-5.56,2.91,170.1,24.44
2023-05-05 10-38-45-513038,0,160,1545,1455,-89.956,-109.653,0.7,0.97,-9.69,-5.93,3.83,169.48,24.07
2023-05-05 10-38-45-630388,0,160,1545,1455,-89.956,-109.741,0.86,1.05,-9.66,-6.33,4.88,168.8,23.67
2023-05-05 10-38-45-747004,0,160,1545,1455,-89.956,-109.741,1.06,1.12,-9.68,-6.79,6.04,168.08,23.21
2023-05-05 10-38-45-868962,0,160,1545,1455,-89.956,-109.741,1.23,1.18,-9.61,-7.26,7.04,167.39,22.740000000000002
