Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-05-05 11-26-10-557315,0,160,1550,1450,-89.78,-110.005,0.79,0.62,-9.72,-3.87,4.44,-170.96,21.13
2023-05-05 11-26-10-647931,0,160,1550,1450,-89.78,-110.005,0.8,0.63,-9.73,-3.87,4.44,-170.96,21.13
2023-05-05 11-26-10-725400,0,160,1550,1450,-89.78,-110.005,0.8,0.62,-9.73,-3.86,4.44,-170.97,21.14
2023-05-05 11-26-10-824641,0,160,1550,1450,-89.78,-110.005,0.8,0.65,-9.71,-3.85,4.45,-170.96,21.15
2023-05-05 11-26-10-933612,0,160,1550,1450,-89.78,-110.005,0.81,0.63,-9.9,-3.94,4.35,-170.98,21.06
2023-05-05 11-26-11-020728,0,160,1550,1450,-89.78,-110.005,0.75,0.68,-9.82,-4.2,4.03,-171.01,20.8
2023-05-05 11-26-11-114048,0,160,1550,1450,-89.78,-110.005,0.68,0.75,-9.79,-4.53,3.61,-171.06,20.47
2023-05-05 11-26-11-207165,0,160,1550,1450,-89.78,-110.005,0.57,0.83,-9.77,-4.95,3.02,-171.15,20.05
2023-05-05 11-26-11-299435,0,160,1550,1450,-89.78,-110.005,0.44,0.88,-9.78,-5.35,2.28,-171.25,19.65
2023-05-05 11-26-11-395558,0,160,1550,1450,-89.78,-110.005,0.3,0.92,-9.77,-5.77,1.45,-171.36,19.23
2023-05-05 11-26-11-481135,0,160,1550,1450,-89.78,-110.005,0.15,1.04,-9.74,-6.22,0.64,-171.5,18.78
2023-05-05 11-26-11-564439,0,160,1550,1450,-89.78,-110.005,0.01,1.13,-9.72,-6.72,-0.17,-171.65,18.28
2023-05-05 11-26-11-648039,0,160,1550,1450,-89.78,-110.005,-0.11,1.18,-9.67,-7.16,-0.89,-171.8,17.84
2023-05-05 11-26-11-732458,0,160,1550,1450,-89.78,-110.005,-0.22,1.27,-9.71,-7.66,-1.66,-171.99,17.34
2023-05-05 11-26-11-834682,0,160,1550,1450,-89.78,-110.005,-0.38,1.37,-9.66,-8.16,-2.44,-172.2,16.84
2023-05-05 11-26-11-929473,0,160,1550,1450,-89.78,-110.005,-0.52,1.47,-9.62,-8.71,-3.31,-172.47,16.29
2023-05-05 11-26-12-021521,0,160,1550,1450,-89.78,-110.005,-0.63,1.53,-9.62,-9.2,-4.02,-172.74,15.8
2023-05-05 11-26-12-123872,0,160,1550,1450,-89.78,-110.005,-0.75,1.64,-9.62,-9.74,-4.76,-173.08,15.26
2023-05-05 11-26-12-218943,0,160,1549,1451,-89.78,-110.005,-0.91,1.69,-9.56,-10.26,-5.56,-173.47,14.74
