Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-05-05 11-05-43-532669,0,160,1550,1440,-89.78,-110.093,0.12,-0.04,-9.78,0.19,0.52,-175.27,30.19
2023-05-05 11-05-43-611417,0,160,1550,1440,-89.78,-110.093,0.12,-0.04,-9.77,0.19,0.52,-175.27,30.19
2023-05-05 11-05-43-680786,0,160,1550,1440,-89.78,-110.093,0.12,-0.05,-9.78,0.19,0.53,-175.27,30.19
2023-05-05 11-05-43-746749,0,160,1550,1440,-89.868,-110.093,0.12,-0.04,-9.78,0.19,0.53,-175.26,30.19
2023-05-05 11-05-43-832902,0,160,1550,1440,-89.78,-110.093,0.13,-0.07,-9.96,0.2,0.53,-175.25,30.2
2023-05-05 11-05-43-903883,0,160,1550,1440,-89.868,-110.093,0.09,-0.05,-9.97,0.06,0.58,-175.24,30.06
2023-05-05 11-05-43-972256,0,160,1550,1440,-89.78,-110.093,0.15,-0.01,-9.93,-0.32,0.82,-175.22,29.68
2023-05-05 11-05-44-056324,0,160,1550,1440,-89.78,-110.093,0.23,0.08,-9.88,-0.88,1.32,-175.25,29.12
2023-05-05 11-05-44-122214,0,160,1550,1440,-89.78,-110.093,0.31,0.19,-9.82,-1.49,1.92,-175.32,28.51
2023-05-05 11-05-44-201012,0,160,1550,1440,-89.78,-110.093,0.48,0.34,-9.82,-2.25,2.69,-175.43,27.75
2023-05-05 11-05-44-275790,0,160,1550,1440,-89.868,-110.093,0.6,0.46,-9.84,-2.97,3.41,-175.58,27.03
2023-05-05 11-05-44-350864,0,160,1550,1440,-89.78,-110.093,0.71,0.61,-9.79,-3.86,4.23,-175.82,26.14
2023-05-05 11-05-44-426502,0,160,1550,1440,-89.78,-110.093,0.83,0.74,-9.68,-4.68,4.99,-176.09,25.32
2023-05-05 11-05-44-502326,0,160,1550,1440,-89.78,-110.093,1.02,0.91,-9.69,-5.64,6.04,-176.48,24.36
2023-05-05 11-05-44-579441,0,160,1550,1440,-89.78,-110.093,1.24,1.08,-9.69,-6.65,7.2,-176.94,23.35
