Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-04-21 02-42-28-527073,0,160,1555,1445,-0.352,160.215,0.01,0.04,-9.77,-0.32,-0.12,-157.3,37.30000000000001
2023-04-21 02-42-28-612728,0,160,1555,1445,-0.264,160.215,0.01,0.03,-9.78,-0.31,-0.12,-157.3,37.30000000000001
2023-04-21 02-42-28-698578,0,160,1555,1445,-0.264,160.303,0.01,0.03,-9.77,-0.31,-0.12,-157.3,37.30000000000001
2023-04-21 02-42-28-782566,0,160,1555,1445,-0.264,160.215,-0.01,0.07,-9.81,-0.31,-0.13,-157.31,37.31
2023-04-21 02-42-28-874034,0,160,1555,1445,-0.264,160.215,-0.24,0.02,-9.77,-0.37,-0.13,-157.02,37.02000000000001
2023-04-21 02-42-28-951933,0,160,1555,1445,-0.264,160.215,-0.16,-0.12,-9.81,-0.37,-0.09,-156.72,36.72
2023-04-21 02-42-29-032165,0,160,1555,1445,-0.352,160.215,-0.13,-0.02,-9.77,-0.4,-0.07,-156.27,36.27000000000001
2023-04-21 02-42-29-118881,0,160,1555,1445,-0.264,160.215,-0.08,0.03,-9.77,-0.43,-0.01,-155.61,35.610000000000014
2023-04-21 02-42-29-200050,0,160,1555,1445,-0.264,160.215,-0.03,0.04,-9.75,-0.47,0.07,-154.93,34.93000000000001
2023-04-21 02-42-29-285457,0,160,1555,1445,-0.264,160.215,-0.01,0.03,-9.78,-0.5,0.15,-154.09,34.09
2023-04-21 02-42-29-357859,0,160,1555,1445,-0.352,160.215,0.03,0.03,-9.79,-0.51,0.2,-153.37,33.370000000000005
2023-04-21 02-42-29-445287,0,160,1555,1445,-0.264,160.215,0.04,0.05,-9.78,-0.52,0.23,-152.52,32.52000000000001
2023-04-21 02-42-29-529955,0,160,1555,1445,-0.352,160.215,0.04,0.05,-9.79,-0.53,0.2,-151.54,31.539999999999992
2023-04-21 02-42-29-618138,0,160,1555,1445,-0.264,160.215,0.05,0.05,-9.78,-0.52,0.14,-150.67,30.669999999999987
2023-04-21 02-42-29-693957,0,160,1555,1445,-0.264,160.215,0.05,0.05,-9.77,-0.52,0.05,-149.79,29.789999999999992
2023-04-21 02-42-29-774793,0,160,1555,1445,-0.264,160.215,0.03,0.04,-9.75,-0.52,-0.05,-148.92,28.919999999999987
2023-04-21 02-42-29-867064,0,160,1555,1445,-0.264,160.215,0.08,0.06,-9.82,-0.47,-0.14,-147.95,27.94999999999999
2023-04-21 02-42-29-951281,0,160,1555,1445,-0.264,160.215,0.09,0.06,-9.81,-0.46,-0.27,-147.06,27.060000000000002
2023-04-21 02-42-30-033333,0,160,1555,1445,-0.264,160.215,0.08,0.08,-9.82,-0.48,-0.42,-146.39,26.389999999999986
2023-04-21 02-42-30-122541,0,160,1555,1445,-0.352,160.215,0.11,0.08,-9.86,-0.55,-0.62,-145.8,25.80000000000001
2023-04-21 02-42-30-207115,0,160,1555,1445,-0.352,160.215,0.09,0.12,-9.81,-0.68,-0.78,-145.45,25.44999999999999
2023-04-21 02-42-30-288095,0,160,1555,1445,-0.264,160.215,-0.0,0.16,-9.8,-0.9,-0.91,-145.26,25.25999999999999
2023-04-21 02-42-30-386089,0,160,1555,1445,-0.264,160.215,-0.06,0.18,-9.79,-1.16,-0.99,-145.22,25.22
2023-04-21 02-42-30-468107,0,160,1555,1445,-0.352,160.215,-0.1,0.24,-9.75,-1.41,-0.99,-145.26,25.25999999999999
2023-04-21 02-42-30-549442,0,160,1555,1445,-0.352,160.215,-0.08,0.3,-9.71,-1.68,-0.91,-145.38,25.379999999999995
2023-04-21 02-42-30-644958,0,160,1555,1445,-0.264,160.215,-0.08,0.33,-9.75,-1.94,-0.76,-145.56,25.560000000000002
2023-04-21 02-42-30-721532,0,160,1555,1445,-0.264,160.215,-0.1,0.33,-9.74,-2.16,-0.61,-145.75,25.75
2023-04-21 02-42-30-807620,0,160,1555,1445,-0.264,160.215,-0.03,0.38,-9.77,-2.39,-0.45,-145.97,25.97
2023-04-21 02-42-30-909731,0,160,1555,1445,-0.264,160.215,-0.01,0.42,-9.76,-2.58,-0.32,-146.21,26.210000000000008
2023-04-21 02-42-30-994551,0,160,1555,1445,-0.352,160.215,-0.01,0.44,-9.75,-2.75,-0.22,-146.45,26.44999999999999
2023-04-21 02-42-31-074242,0,160,1555,1445,-0.352,160.215,0.0,0.47,-9.73,-2.88,-0.16,-146.65,26.650000000000006
2023-04-21 02-42-31-160363,0,160,1555,1445,-0.264,160.215,0.0,0.48,-9.75,-3.01,-0.13,-146.89,26.889999999999986
