Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-05-05 12-15-41-820605,0,160,1546,1454.0,-89.78,-110.62,0.25,-0.26,-9.82,1.27,1.09,170.97,26.27
2023-05-05 12-15-42-204757,0,160,1555,1442,-89.868,-110.62,0.45,-0.27,-9.77,1.2,2.43,172.1,26.2
2023-05-05 12-15-42-616198,0,160,1555,1442,-89.78,-110.62,0.74,0.08,-9.89,-0.5,3.78,172.83,24.5
2023-05-05 12-15-42-992003,0,160,1555,1445.0,-89.78,-110.62,0.94,0.82,-9.74,-5.04,5.03,171.92,19.96
2023-05-05 12-15-43-383567,0,160,1549,1451.0,-89.868,-110.62,0.98,1.67,-9.62,-10.23,5.6,169.4,14.77
2023-05-05 12-15-43-767211,0,160,1542,1458.0,-89.868,-110.62,0.67,2.62,-9.2,-15.66,3.88,166.43,9.34
2023-05-05 12-15-44-159158,0,160,1538,1462.0,-89.868,-110.62,0.61,3.19,-9.11,-19.12,3.33,162.8,5.879999999999999
2023-05-05 12-15-44-540819,0,160,1536,1464.0,-89.78,-110.62,0.56,3.38,-9.03,-20.2,3.21,159.08,4.800000000000001
2023-05-05 12-15-44-930473,0,160,1536,1464.0,-89.868,-110.62,0.74,3.17,-9.14,-19.09,4.26,155.55,5.91
2023-05-05 12-15-45-311783,0,160,1539,1461.0,-89.868,-110.62,0.9,2.67,-9.32,-16.03,5.21,153.25,8.969999999999999
2023-05-05 12-15-45-684082,0,160,1544,1456.0,-89.868,-110.62,1.09,2.02,-9.49,-12.18,6.19,152.65,12.82
2023-05-05 12-15-46-059622,0,160,1549,1451.0,-89.78,-110.62,1.09,1.24,-9.63,-7.74,6.38,153.35,17.259999999999998
2023-05-05 12-15-46-444063,0,160,1553,1447.0,-89.868,-110.62,1.52,0.66,-9.8,-4.24,8.46,156.05,20.759999999999998
2023-05-05 12-15-46-815195,0,160,1555,1444.0,-89.868,-110.62,1.69,0.47,-9.76,-2.95,9.48,158.71,22.05
