Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-05-05 11-42-42-551858,0,160,1554,1448,-89.78,-110.005,-0.04,-0.3,-9.77,1.57,-0.43,177.69,26.57
2023-05-05 11-42-42-687418,0,160,1554,1448,-89.78,-110.005,-0.04,-0.29,-9.78,1.57,-0.43,177.71,26.57
2023-05-05 11-42-42-842017,0,160,1554,1448,-89.78,-110.005,-0.04,-0.32,-9.83,1.57,-0.43,177.7,26.57
2023-05-05 11-42-42-986394,0,160,1554,1448,-89.78,-110.005,-0.03,-0.27,-9.9,1.29,-0.38,177.68,26.29
2023-05-05 11-42-43-143456,0,160,1554,1448,-89.78,-110.005,-0.03,-0.13,-9.8,0.52,-0.16,177.58,25.52
2023-05-05 11-42-43-290247,0,160,1554,1448,-89.78,-110.005,0.07,0.08,-9.83,-0.44,0.16,177.39,24.56
2023-05-05 11-42-43-438555,0,160,1553,1448,-89.78,-110.005,0.12,0.2,-9.84,-1.46,0.51,177.17,23.54
2023-05-05 11-42-43-583404,0,160,1552,1448,-89.78,-110.005,0.2,0.42,-9.78,-2.68,0.95,176.84,22.32
2023-05-05 11-42-43-732639,0,160,1550,1448,-89.78,-110.005,0.29,0.62,-9.75,-3.98,1.53,176.4,21.02
2023-05-05 11-42-43-877711,0,160,1549,1449.1,-89.78,-110.005,0.42,0.86,-9.79,-5.31,2.26,175.86,19.69
2023-05-05 11-42-44-026816,0,160,1548,1450.2,-89.78,-110.005,0.47,1.08,-9.66,-6.59,2.72,175.32,18.41
2023-05-05 11-42-44-171060,0,160,1546,1452.4,-89.78,-110.005,0.6,1.35,-9.6,-7.92,3.54,174.61,17.08
2023-05-05 11-42-44-317047,0,160,1545,1453.5,-89.78,-110.005,0.74,1.5,-9.58,-9.03,4.48,173.89,15.97
2023-05-05 11-42-44-465228,0,160,1544,1454.6,-89.78,-110.005,0.92,1.65,-9.52,-10.01,5.35,173.15,14.99
2023-05-05 11-42-44-607183,0,160,1544,1454.6,-89.78,-110.005,1.04,1.77,-9.52,-10.82,6.11,172.46,14.18
2023-05-05 11-42-44-758145,0,160,1543,1455.7,-89.78,-110.005,1.16,1.91,-9.42,-11.42,6.86,171.84,13.58
2023-05-05 11-42-44-913299,0,160,1543,1455.7,-89.868,-110.005,1.37,1.97,-9.38,-11.83,7.96,171.2,13.17
2023-05-05 11-42-45-058975,0,160,1542,1456.8,-89.78,-110.005,1.56,1.98,-9.35,-11.98,9.2,170.64,13.02
2023-05-05 11-42-45-193211,0,160,1543,1455.7,-89.868,-110.005,1.74,1.97,-9.35,-11.89,10.2,170.29,13.11
2023-05-05 11-42-45-343651,0,160,1543,1455.7,-89.78,-110.005,1.93,1.92,-9.35,-11.59,11.16,170.07,13.41
2023-05-05 11-42-45-494063,0,160,1544,1454.6,-89.868,-110.005,2.05,1.82,-9.34,-11.05,12.0,170.03,13.95
2023-05-05 11-42-45-645138,0,160,1544,1454.6,-89.868,-110.005,2.19,1.69,-9.34,-10.38,12.76,170.14,14.62
2023-05-05 11-42-45-786247,0,160,1545,1453.5,-89.78,-110.005,2.33,1.54,-9.29,-9.65,13.82,170.31,15.35
2023-05-05 11-42-45-931359,0,160,1546,1452.4,-89.78,-110.005,2.63,1.44,-9.27,-9.02,15.44,170.46,15.98
2023-05-05 11-42-46-066513,0,160,1546,1452.4,-89.868,-110.005,2.95,1.33,-9.36,-8.49,17.05,170.69,16.509999999999998
2023-05-05 11-42-46-214933,0,160,1547,1451.3,-89.868,-110.005,3.14,1.23,-9.31,-8.0,18.32,171.13,17.0
2023-05-05 11-42-46-356805,0,160,1547,1451.3,-89.868,-110.005,3.26,1.21,-9.27,-7.7,18.95,171.62,17.3
2023-05-05 11-42-46-501099,0,160,1547,1451.3,-89.78,-110.005,3.28,1.17,-9.21,-7.54,19.15,172.18,17.46
2023-05-05 11-42-46-658139,0,160,1547,1451.3,-89.78,-110.005,3.25,1.15,-9.21,-7.53,19.0,172.67,17.47
2023-05-05 11-42-46-803109,0,160,1547,1451.3,-89.78,-110.005,3.15,1.18,-9.16,-7.57,18.6,173.12,17.43
2023-05-05 11-42-46-957439,0,160,1547,1451.3,-89.868,-110.005,3.09,1.19,-9.21,-7.68,18.16,173.43,17.32
2023-05-05 11-42-47-116969,0,160,1547,1451.3,-89.78,-110.005,3.04,1.26,-9.23,-7.9,17.83,173.63,17.1
2023-05-05 11-42-47-261986,0,160,1546,1452.4,-89.78,-110.005,3.0,1.27,-9.22,-8.18,17.59,173.72,16.82
2023-05-05 11-42-47-406045,0,160,1546,1452.4,-89.78,-110.005,2.98,1.33,-9.24,-8.51,17.49,173.72,16.490000000000002
2023-05-05 11-42-47-550478,0,160,1546,1452.4,-89.868,-110.005,3.0,1.42,-9.23,-8.9,17.46,173.65,16.1
2023-05-05 11-42-47-681386,0,160,1545,1453.5,-89.78,-110.005,2.94,1.45,-9.18,-9.27,17.41,173.56,15.73
2023-05-05 11-42-47-828966,0,160,1545,1453.5,-89.868,-110.005,2.98,1.54,-9.13,-9.69,17.5,173.38,15.31
2023-05-05 11-42-47-972313,0,160,1544,1454.6,-89.78,-110.005,3.05,1.6,-9.13,-10.14,17.98,173.09,14.86
2023-05-05 11-42-48-115738,0,160,1544,1454.6,-89.78,-110.005,3.16,1.64,-9.07,-10.58,18.71,172.74,14.42
2023-05-05 11-42-48-253378,0,160,1543,1455.7,-89.78,-110.005,3.32,1.71,-8.97,-11.02,19.82,172.27,13.98
2023-05-05 11-42-48-402600,0,160,1543,1455.7,-89.78,-110.005,3.55,1.76,-8.91,-11.37,21.26,171.8,13.63
2023-05-05 11-42-48-534491,0,160,1543,1455.7,-89.78,-110.005,3.73,1.77,-8.87,-11.6,22.33,171.5,13.4
2023-05-05 11-42-48-679122,0,160,1543,1455.7,-89.78,-110.005,3.84,1.78,-8.82,-11.69,23.03,171.36,13.31
2023-05-05 11-42-48-830161,0,160,1543,1455.7,-89.78,-110.005,3.91,1.77,-8.79,-11.68,23.31,171.38,13.32
2023-05-05 11-42-48-972596,0,160,1543,1455.7,-89.868,-110.005,3.92,1.78,-8.75,-11.57,23.45,171.49,13.43
2023-05-05 11-42-49-107358,0,160,1543,1455.7,-89.78,-110.005,3.94,1.73,-8.72,-11.44,23.5,171.57,13.56
2023-05-05 11-42-49-257924,0,160,1543,1455.7,-89.78,-110.005,3.98,1.69,-8.76,-11.22,23.65,171.64,13.78
2023-05-05 11-42-49-408583,0,160,1544,1454.6,-89.868,-110.005,3.98,1.65,-8.72,-10.89,23.77,171.69,14.11
2023-05-05 11-42-49-542033,0,160,1544,1454.6,-89.868,-110.005,4.02,1.59,-8.8,-10.55,23.91,171.73,14.45
2023-05-05 11-42-49-694783,0,160,1544,1454.6,-89.868,-110.005,4.01,1.53,-8.8,-10.21,23.97,171.8,14.79
2023-05-05 11-42-49-844746,0,160,1544,1454.6,-89.78,-110.005,4.06,1.52,-8.81,-10.04,24.31,171.79,14.96
2023-05-05 11-42-49-991384,0,160,1544,1454.6,-89.78,-110.005,4.1,1.49,-8.74,-10.03,24.65,171.77,14.97
2023-05-05 11-42-50-129833,0,160,1544,1454.6,-89.78,-110.005,4.19,1.52,-8.73,-10.17,25.15,171.69,14.83
2023-05-05 11-42-50-264972,0,160,1544,1454.6,-89.78,-110.005,4.28,1.53,-8.7,-10.43,25.73,171.54,14.57
2023-05-05 11-42-50-394048,0,160,1544,1454.6,-89.78,-110.005,4.36,1.61,-8.6,-10.76,26.25,171.39,14.24
2023-05-05 11-42-50-550436,0,160,1543,1455.7,-89.78,-110.005,4.46,1.65,-8.54,-11.2,26.89,171.15,13.8
2023-05-05 11-42-50-691666,0,160,1543,1455.7,-89.78,-110.005,4.56,1.69,-8.48,-11.63,27.57,170.86,13.37
2023-05-05 11-42-50-841610,0,160,1542,1456.8,-89.78,-110.005,4.64,1.76,-8.38,-12.11,28.13,170.54,12.89
2023-05-05 11-42-50-986494,0,160,1542,1456.8,-89.78,-110.005,4.67,1.81,-8.38,-12.38,28.33,170.33,12.62
2023-05-05 11-42-51-132969,0,160,1542,1456.8,-89.78,-110.005,4.67,1.84,-8.37,-12.56,28.41,170.17,12.44
2023-05-05 11-42-51-268687,0,160,1542,1456.8,-89.868,-110.005,4.67,1.84,-8.36,-12.62,28.36,170.09,12.38
2023-05-05 11-42-51-424698,0,160,1542,1456.8,-89.868,-110.005,4.68,1.83,-8.37,-12.58,28.31,170.02,12.42
