Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,e_alpha
2023-03-24 17-33-57-993610,0,0,1555,1555,178.593,-12.838,2.74,1.28,-9.29,-7.92,16.1,41.23,29.9694
2023-03-24 17-33-58-121066,0,0,1564,1564,178.593,-12.838,2.75,1.27,-9.29,-7.91,16.1,41.23,29.9694
2023-03-24 17-33-58-248786,0,0,1564,1564,178.593,-12.838,2.74,1.28,-9.28,-7.91,16.09,41.24,29.979400000000005
2023-03-24 17-33-58-376957,0,0,1564,1564,178.593,-12.838,2.7,1.31,-9.27,-7.99,16.06,40.96,29.699400000000004
2023-03-24 17-33-58-516362,0,0,1563,1563,178.593,-12.838,2.71,1.32,-9.28,-8.35,16.06,39.48,28.2194
2023-03-24 17-33-58-643935,0,0,1560,1560,178.593,-12.838,2.75,1.44,-9.27,-8.81,16.24,37.34,26.079400000000007
2023-03-24 17-33-58-761271,0,0,1556,1556,178.593,-12.838,2.79,1.57,-9.22,-9.43,16.42,34.47,23.209400000000002
2023-03-24 17-33-58-888840,0,0,1551,1551,178.593,-12.838,2.84,1.68,-9.23,-10.03,16.66,31.51,20.249400000000005
2023-03-24 17-33-59-017189,0,0,1547,1547,178.593,-12.838,2.88,1.74,-9.18,-10.49,17.13,28.94,17.679400000000005
2023-03-24 17-33-59-144959,0,0,1544,1544,178.593,-12.838,2.99,1.76,-9.12,-10.75,17.79,27.24,15.979400000000002
2023-03-24 17-33-59-273185,0,0,1542,1542,178.593,-12.838,3.12,1.8,-9.06,-10.86,18.32,26.15,14.889400000000002
2023-03-24 17-33-59-400909,0,0,1541,1541,178.593,-12.838,3.16,1.78,-9.1,-10.89,18.44,25.41,14.149400000000004
2023-03-24 17-33-59-530009,0,0,1540,1540,178.593,-12.838,3.16,1.73,-9.1,-10.81,18.35,24.89,13.629400000000004
2023-03-24 17-33-59-660746,0,0,1540,1540,178.593,-12.75,3.25,1.71,-9.11,-10.67,18.31,24.62,13.359400000000004
2023-03-24 17-33-59-785070,0,0,1539,1539,178.593,-12.838,3.1,1.68,-9.1,-10.49,18.35,24.43,13.169400000000003
2023-03-24 17-33-59-912922,0,0,1539,1539,178.593,-12.838,3.11,1.64,-9.11,-10.29,18.39,24.39,13.129400000000004
2023-03-24 17-34-00-040742,0,0,1539,1539,178.593,-12.838,3.04,1.64,-9.11,-10.07,18.33,24.53,13.269400000000005
2023-03-24 17-34-00-168756,0,0,1540,1540,178.593,-12.838,3.02,1.56,-9.14,-9.79,18.22,24.94,13.679400000000005
2023-03-24 17-34-00-296739,0,0,1541,1541,178.593,-12.838,2.92,1.5,-9.13,-9.54,18.03,25.56,14.299400000000002
