Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,e_alpha
2023-03-24 18-19-48-670017,0,0,1570,1570,178.681,-19.697,-1.46,-0.6,-9.64,3.55,-8.8,49.38,29.977400000000003
2023-03-24 18-19-48-794047,0,0,1564,1564,178.681,-19.609,-1.44,-0.6,-9.64,3.53,-8.78,49.37,29.967399999999998
2023-03-24 18-19-48-921741,0,0,1564,1564,178.681,-19.609,-1.45,-0.6,-9.62,3.52,-8.76,49.35,29.947400000000002
2023-03-24 18-19-49-052818,0,0,1564,1564,178.593,-19.609,-1.42,-0.58,-9.6,3.53,-8.72,49.27,29.867400000000004
2023-03-24 18-19-49-189560,0,0,1563,1563,178.681,-19.697,-1.47,-0.68,-9.68,3.59,-8.64,48.61,29.2074
2023-03-24 18-19-49-306184,0,0,1559,1559,178.593,-19.609,-1.42,-0.6,-9.72,3.92,-8.48,46.44,27.037399999999998
2023-03-24 18-19-49-433557,0,0,1554,1554,178.681,-19.609,-1.38,-0.73,-9.68,4.4,-8.33,43.58,24.1774
2023-03-24 18-19-49-572343,0,0,1550,1550,178.593,-19.609,-1.33,-0.82,-9.68,4.96,-8.18,40.89,21.4874
2023-03-24 18-19-49-689644,0,0,1548,1548,178.593,-19.609,-1.36,-0.85,-9.64,5.43,-8.03,38.88,19.477400000000003
2023-03-24 18-19-49-817220,0,0,1546,1546,178.681,-19.609,-1.42,-0.98,-9.64,5.77,-7.86,37.57,18.1674
2023-03-24 18-19-49-945228,0,0,1544,1544,178.681,-19.697,-1.26,-0.98,-9.62,5.97,-7.63,36.39,16.9874
2023-03-24 18-19-50-075393,0,0,1543,1543,178.681,-19.609,-1.17,-1.0,-9.63,6.04,-7.41,35.63,16.227400000000003
2023-03-24 18-19-50-201011,0,0,1543,1543,178.593,-19.609,-1.18,-0.99,-9.63,6.01,-7.25,34.96,15.557400000000001
2023-03-24 18-19-50-329890,0,0,1541,1541,178.593,-19.609,-1.14,-0.98,-9.65,5.89,-7.2,34.23,14.827399999999997
2023-03-24 18-19-50-456873,0,0,1540,1540,178.593,-19.609,-1.09,-0.94,-9.64,5.71,-7.12,33.51,14.107399999999998
2023-03-24 18-19-50-584701,0,0,1539,1539,178.593,-19.609,-1.2,-0.92,-9.66,5.5,-6.85,32.73,13.327399999999997
2023-03-24 18-19-50-713328,0,0,1538,1538,178.593,-19.609,-1.17,-0.93,-9.61,5.25,-6.46,31.87,12.467400000000001
2023-03-24 18-19-50-840694,0,0,1537,1537,178.681,-19.609,-1.09,-0.85,-9.69,5.02,-6.18,31.1,11.697400000000002
2023-03-24 18-19-50-969890,0,0,1536,1536,178.593,-19.609,-1.07,-0.8,-9.7,4.81,-6.11,30.49,11.087399999999999
2023-03-24 18-19-51-096976,0,0,1535,1535,178.593,-19.609,-1.02,-0.76,-9.69,4.61,-6.19,30.05,10.647400000000001
2023-03-24 18-19-51-224896,0,0,1535,1535,178.593,-19.609,-1.0,-0.75,-9.66,4.42,-6.37,29.61,10.2074
2023-03-24 18-19-51-353694,0,0,1550,1550,178.593,-19.609,-1.03,-0.71,-9.66,4.28,-6.55,29.08,9.677399999999999
2023-03-24 18-19-51-480716,0,0,1550,1550,178.593,-19.609,-1.06,-0.69,-9.66,4.15,-6.68,28.66,9.2574
2023-03-24 18-19-51-609217,0,0,1550,1550,178.681,-19.609,-1.09,-0.67,-9.69,4.02,-6.78,28.39,8.987400000000001
2023-03-24 18-19-51-737336,0,0,1550,1550,178.593,-19.609,-1.14,-0.65,-9.69,3.89,-6.85,28.19,8.787400000000002
2023-03-24 18-19-51-865244,0,0,1550,1550,178.593,-19.609,-1.2,-0.65,-9.72,3.77,-6.93,28.01,8.607400000000002
2023-03-24 18-19-51-992792,0,0,1550,1550,178.593,-19.609,-1.23,-0.63,-9.68,3.73,-7.03,27.79,8.3874
2023-03-24 18-19-52-121366,0,0,1550,1550,178.593,-19.697,-1.25,-0.6,-9.65,3.7,-7.25,27.67,8.267400000000002
2023-03-24 18-19-52-248479,0,0,1550,1550,178.593,-19.609,-1.35,-0.6,-9.66,3.68,-7.61,27.67,8.267400000000002
2023-03-24 18-19-52-377377,0,0,1550,1550,178.593,-19.697,-1.25,-0.61,-9.66,3.67,-8.02,27.3,7.897400000000001
2023-03-24 18-19-52-515362,0,0,1550,1550,178.593,-19.697,-1.33,-0.63,-9.68,3.81,-8.25,25.97,6.567399999999999
2023-03-24 18-19-52-640541,0,0,1550,1550,178.593,-19.609,-1.22,-0.67,-9.65,4.1,-8.19,24.22,4.817399999999999
2023-03-24 18-19-52-771338,0,0,1550,1550,178.593,-19.609,-1.35,-0.69,-9.64,4.36,-7.92,22.75,3.3474000000000004
2023-03-24 18-19-52-892815,0,0,1550,1550,178.681,-19.609,-1.3,-0.72,-9.64,4.44,-7.68,22.11,2.7074
2023-03-24 18-19-53-016966,0,0,1550,1550,178.593,-19.697,-1.24,-0.74,-9.64,4.41,-7.38,21.75,2.3474000000000004
2023-03-24 18-19-53-145054,0,0,1550,1550,178.593,-19.609,-1.07,-0.76,-9.64,4.38,-7.03,21.35,1.9474000000000018
2023-03-24 18-19-53-273214,0,0,1550,1550,178.593,-19.609,-1.22,-0.75,-9.71,4.43,-6.75,20.33,0.9273999999999987
2023-03-24 18-19-53-400674,0,0,1550,1550,178.593,-19.609,-1.08,-0.72,-9.7,4.53,-6.62,18.66,-0.7425999999999995
2023-03-24 18-19-53-592720,0,0,1550,1550,178.593,-19.609,-1.14,-0.75,-9.71,4.64,-6.33,16.87,-2.5325999999999986
2023-03-24 18-19-53-785445,0,0,1550,1550,178.593,-19.609,-1.02,-0.72,-9.68,4.72,-5.65,15.4,-4.002599999999999
2023-03-24 18-19-53-976797,0,0,1550,1550,178.593,-19.609,-0.77,-0.74,-9.69,4.72,-4.74,14.64,-4.762599999999999
2023-03-24 18-19-54-173133,0,0,1550,1550,178.593,-19.697,-0.68,-0.75,-9.69,4.57,-4.01,14.56,-4.842599999999999
2023-03-24 18-19-54-360602,0,0,1550,1550,178.593,-19.609,-0.61,-0.7,-9.69,4.28,-3.66,14.96,-4.442599999999999
2023-03-24 18-19-54-553441,0,0,1550,1550,178.593,-19.697,-0.53,-0.64,-9.71,3.99,-3.44,15.6,-3.8026
2023-03-24 18-19-54-745153,0,0,1550,1550,178.593,-19.697,-0.51,-0.62,-9.72,3.72,-3.28,16.07,-3.3325999999999993
2023-03-24 18-19-54-936928,0,0,1550,1550,178.593,-19.609,-0.53,-0.58,-9.78,3.5,-3.16,16.24,-3.162600000000001
2023-03-24 18-19-55-128325,0,0,1550,1550,178.593,-19.609,-0.49,-0.61,-9.78,3.34,-2.98,16.01,-3.392599999999998
2023-03-24 18-19-55-321408,0,0,1550,1550,178.593,-19.609,-0.47,-0.5,-9.76,3.25,-2.53,15.14,-4.262599999999999
2023-03-24 18-19-55-512898,0,0,1550,1550,178.593,-19.697,-0.34,-0.54,-9.73,3.21,-1.88,14.53,-4.8726
2023-03-24 18-19-55-705354,0,0,1550,1550,178.593,-19.697,-0.19,-0.51,-9.75,3.2,-1.14,14.34,-5.0626
2023-03-24 18-19-55-896263,0,0,1550,1550,178.593,-19.609,-0.06,-0.48,-9.75,3.17,-0.55,14.5,-4.9026
2023-03-24 18-19-56-089278,0,0,1550,1550,178.593,-19.609,0.19,-0.49,-9.7,3.11,-0.34,15.06,-4.342599999999999
2023-03-24 18-19-56-296198,0,0,1550,1550,178.593,-19.609,-0.04,-0.48,-9.76,3.03,-0.39,15.05,-4.352599999999999
2023-03-24 18-19-56-488744,0,0,1550,1550,178.593,-19.609,0.07,-0.48,-9.73,3.0,-0.53,15.22,-4.182599999999999
2023-03-24 18-19-56-664458,0,0,1550,1550,178.593,-19.609,-0.08,-0.47,-9.74,2.98,-0.54,15.22,-4.182599999999999
2023-03-24 18-19-56-857547,0,0,1550,1550,178.593,-19.697,0.1,-0.49,-9.74,2.98,-0.35,15.51,-3.8926
2023-03-24 18-19-57-053874,0,0,1550,1550,178.593,-19.609,0.06,-0.45,-9.71,2.98,-0.01,15.72,-3.682599999999999
