Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,e_alpha
2023-03-24 23-26-06-950335,0,0,1552,1552,0.264,159.951,1.18,0.68,-9.66,-4.03,6.8,14.95,29.991400000000002
2023-03-24 23-26-07-076926,0,0,1555,1555,0.264,159.951,1.2,0.66,-9.68,-4.03,6.81,14.95,29.991400000000002
2023-03-24 23-26-07-203317,0,0,1555,1555,0.264,159.951,1.19,0.66,-9.67,-4.01,6.76,14.97,29.971400000000003
2023-03-24 23-26-07-334360,0,0,1555,1555,0.352,159.951,1.13,0.66,-9.72,-3.95,6.73,15.13,29.8114
2023-03-24 23-26-07-471024,0,0,1554,1554,0.352,159.951,0.7,0.75,-9.77,-3.8,6.71,15.72,29.221400000000003
2023-03-24 23-26-07-613016,0,0,1554,1554,0.352,159.951,1.13,0.56,-9.6,-3.67,6.51,16.15,28.791400000000003
2023-03-24 23-26-07-735418,0,0,1553,1553,0.352,159.951,1.11,0.55,-9.68,-3.49,5.98,16.62,28.3214
2023-03-24 23-26-07-860238,0,0,1553,1553,0.352,159.951,0.85,0.57,-9.74,-3.31,5.17,17.08,27.861400000000003
2023-03-24 23-26-07-987238,0,0,1552,1552,0.352,159.951,0.79,0.55,-9.78,-3.17,4.3,17.45,27.491400000000002
2023-03-24 23-26-08-116674,0,0,1552,1552,0.352,159.951,0.68,0.48,-9.73,-3.11,3.41,17.55,27.3914
2023-03-24 23-26-08-253547,0,0,1552,1552,0.264,159.863,0.51,0.51,-9.75,-3.06,2.54,17.6,27.3414
2023-03-24 23-26-08-397792,0,0,1552,1552,0.352,159.951,0.34,0.51,-9.76,-3.02,1.77,17.65,27.291400000000003
2023-03-24 23-26-08-534322,0,0,1552,1552,0.352,159.951,0.19,0.48,-9.74,-2.96,1.15,17.97,26.971400000000003
2023-03-24 23-26-08-658654,0,0,1551,1551,0.264,159.951,-0.0,0.54,-9.75,-2.84,0.66,18.67,26.2714
2023-03-24 23-26-08-787647,0,0,1549,1549,0.352,159.951,0.16,0.41,-9.76,-2.68,0.26,19.9,25.041400000000003
2023-03-24 23-26-08-916217,0,0,1548,1548,0.352,159.863,0.09,0.45,-9.77,-2.51,-0.07,21.27,23.671400000000002
2023-03-24 23-26-09-042444,0,0,1545,1545,0.264,159.951,0.22,0.37,-9.77,-2.31,-0.37,23.03,21.9114
2023-03-24 23-26-09-181906,0,0,1543,1543,0.352,159.863,-0.01,0.34,-9.76,-2.15,-0.58,24.94,20.0014
2023-03-24 23-26-09-329053,0,0,1541,1541,0.352,159.863,-0.06,0.31,-9.76,-2.02,-0.67,26.68,18.261400000000002
2023-03-24 23-26-09-483067,0,0,1539,1539,0.352,159.951,-0.05,0.3,-9.73,-1.9,-0.61,28.44,16.5014
2023-03-24 23-26-09-607214,0,0,1537,1537,0.352,159.951,-0.14,0.24,-9.75,-1.75,-0.45,30.4,14.541400000000003
2023-03-24 23-26-09-730712,0,0,1534,1534,0.352,159.951,-0.14,0.27,-9.74,-1.61,-0.22,32.19,12.751400000000004
