Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,e_alpha
2023-03-24 23-34-14-016630,0,0,1540,1540,0.264,159.775,0.11,-0.26,-9.75,1.35,0.39,25.1,20.242600000000003
2023-03-24 23-34-14-149936,0,0,1540,1540,0.264,159.775,0.02,-0.24,-9.76,1.29,0.0,23.7,21.642600000000005
2023-03-24 23-34-14-271404,0,0,1540,1540,0.264,159.775,-0.08,-0.24,-9.74,1.21,-0.4,22.05,23.292600000000004
2023-03-24 23-34-14-399833,0,0,1540,1540,0.264,159.775,-0.2,-0.18,-9.75,1.13,-0.78,20.37,24.972600000000003
2023-03-24 23-34-14-534513,0,0,1540,1540,0.264,159.775,-0.17,-0.2,-9.76,1.06,-1.14,18.95,26.392600000000005
2023-03-24 23-34-14-657899,0,0,1540,1540,0.264,159.775,-0.2,-0.18,-9.78,1.01,-1.5,17.66,27.682600000000004
2023-03-24 23-34-14-783532,0,0,1540,1540,0.264,159.775,-0.32,-0.18,-9.74,0.97,-1.9,16.6,28.742600000000003
2023-03-24 23-34-14-911108,0,0,1540,1540,0.264,159.775,-0.37,-0.19,-9.74,0.92,-2.38,15.72,29.622600000000006
2023-03-24 23-34-15-039278,0,0,1540,1540,0.264,159.775,-0.39,-0.17,-9.77,0.88,-2.9,15.07,30.272600000000004
2023-03-24 23-34-15-174382,0,0,1540,1540,0.264,159.687,-0.5,-0.15,-9.75,0.81,-3.43,14.34,31.002600000000005
2023-03-24 23-34-15-296398,0,0,1540,1540,0.264,159.775,-0.6,-0.13,-9.75,0.73,-3.92,13.46,31.882600000000004
2023-03-24 23-34-15-423724,0,0,1540,1540,0.264,159.775,-0.66,-0.11,-9.73,0.64,-4.3,12.49,32.8526
2023-03-24 23-34-15-551973,0,0,1540,1540,0.264,159.775,-0.69,-0.09,-9.73,0.58,-4.56,11.98,33.3626
2023-03-24 23-34-15-684707,0,0,1540,1540,0.352,159.775,-0.75,-0.08,-9.73,0.54,-4.67,11.99,33.3526
2023-03-24 23-34-15-806994,0,0,1540,1540,0.264,159.775,-0.76,-0.08,-9.73,0.5,-4.69,12.37,32.97260000000001
2023-03-24 23-34-15-935887,0,0,1540,1540,0.264,159.775,-0.77,-0.04,-9.74,0.45,-4.65,13.03,32.3126
2023-03-24 23-34-16-064104,0,0,1540,1540,0.264,159.775,-0.76,-0.06,-9.75,0.39,-4.61,13.75,31.592600000000004
2023-03-24 23-34-16-191645,0,0,1540,1540,0.264,159.775,-0.7,-0.05,-9.75,0.35,-4.58,14.47,30.872600000000006
2023-03-24 23-34-16-330312,0,0,1540,1540,0.264,159.775,-0.76,-0.05,-9.73,0.3,-4.61,14.92,30.422600000000003
2023-03-24 23-34-16-465771,0,0,1540,1540,0.264,159.775,-0.83,-0.07,-9.75,0.25,-4.67,14.94,30.402600000000007
2023-03-24 23-34-16-592896,0,0,1540,1540,0.264,159.775,-0.84,-0.06,-9.75,0.25,-4.69,14.52,30.822600000000005
2023-03-24 23-34-16-719494,0,0,1540,1540,0.264,159.775,-0.77,-0.03,-9.71,0.28,-4.66,14.18,31.162600000000005
2023-03-24 23-34-16-847086,0,0,1540,1540,0.264,159.775,-0.75,-0.06,-9.74,0.33,-4.6,13.94,31.402600000000007
2023-03-24 23-34-16-975241,0,0,1540,1540,0.352,159.775,-0.76,-0.06,-9.73,0.4,-4.54,13.75,31.592600000000004
2023-03-24 23-34-17-103306,0,0,1540,1540,0.264,159.775,-0.8,-0.08,-9.72,0.52,-4.53,13.56,31.782600000000002
2023-03-24 23-34-17-231534,0,0,1540,1540,0.352,159.775,-0.74,-0.09,-9.72,0.64,-4.62,13.48,31.862600000000004
2023-03-24 23-34-17-366363,0,0,1540,1540,0.264,159.775,-0.72,-0.14,-9.74,0.77,-4.76,13.7,31.642600000000005
2023-03-24 23-34-17-498639,0,0,1540,1540,0.264,159.775,-0.77,-0.15,-9.73,0.88,-4.91,13.88,31.462600000000002
2023-03-24 23-34-17-633574,0,0,1540,1540,0.264,159.775,-0.8,-0.16,-9.74,0.98,-5.0,13.96,31.382600000000004
2023-03-24 23-34-17-760322,0,0,1540,1540,0.264,159.775,-0.82,-0.19,-9.71,1.08,-4.95,13.97,31.372600000000006
2023-03-24 23-34-17-887213,0,0,1540,1540,0.264,159.775,-0.81,-0.21,-9.73,1.19,-4.76,14.16,31.182600000000004
2023-03-24 23-34-18-024525,0,0,1540,1540,0.264,159.775,-0.72,-0.22,-9.73,1.31,-4.43,14.54,30.802600000000005
2023-03-24 23-34-18-167170,0,0,1540,1540,0.264,159.775,-0.72,-0.24,-9.73,1.45,-4.05,14.99,30.352600000000002
2023-03-24 23-34-18-300963,0,0,1540,1540,0.264,159.775,-0.71,-0.27,-9.71,1.59,-3.73,15.31,30.032600000000002
2023-03-24 23-34-18-430305,0,0,1540,1540,0.264,159.775,-0.61,-0.3,-9.74,1.76,-3.53,15.63,29.712600000000002
2023-03-24 23-34-18-558651,0,0,1540,1540,0.352,159.775,-0.54,-0.33,-9.74,1.94,-3.47,15.76,29.582600000000006
2023-03-24 23-34-18-686825,0,0,1540,1540,0.352,159.775,-0.52,-0.35,-9.73,2.1,-3.48,15.51,29.832600000000006
2023-03-24 23-34-18-815483,0,0,1540,1540,0.264,159.775,-0.54,-0.39,-9.75,2.28,-3.52,15.21,30.132600000000004
2023-03-24 23-34-18-942971,0,0,1540,1540,0.264,159.775,-0.63,-0.43,-9.73,2.47,-3.57,14.88,30.462600000000002
2023-03-24 23-34-19-070775,0,0,1540,1540,0.264,159.775,-0.6,-0.47,-9.73,2.71,-3.56,14.76,30.582600000000006
2023-03-24 23-34-19-199089,0,0,1540,1540,0.264,159.775,-0.59,-0.51,-9.73,2.98,-3.5,14.89,30.452600000000004
2023-03-24 23-34-19-334021,0,0,1540,1540,0.264,159.775,-0.58,-0.54,-9.73,3.25,-3.38,15.1,30.242600000000003
2023-03-24 23-34-19-457486,0,0,1540,1540,0.264,159.775,-0.59,-0.58,-9.73,3.51,-3.22,15.39,29.952600000000004
2023-03-24 23-34-19-588525,0,0,1540,1540,0.264,159.775,-0.56,-0.66,-9.72,3.76,-3.06,15.58,29.762600000000006
2023-03-24 23-34-19-740335,0,0,1540,1540,0.264,159.775,-0.46,-0.69,-9.73,4.01,-2.95,15.65,29.692600000000006
2023-03-24 23-34-19-872145,0,0,1540,1540,0.264,159.775,-0.45,-0.74,-9.72,4.23,-2.86,15.34,30.002600000000005
2023-03-24 23-34-19-999253,0,0,1540,1540,0.264,159.775,-0.41,-0.76,-9.72,4.46,-2.76,14.7,30.642600000000005
2023-03-24 23-34-20-127151,0,0,1540,1540,0.264,159.775,-0.44,-0.81,-9.73,4.7,-2.66,13.96,31.382600000000004
2023-03-24 23-34-20-257812,0,0,1540,1540,0.264,159.775,-0.44,-0.84,-9.7,4.96,-2.68,13.51,31.832600000000006
2023-03-24 23-34-20-384433,0,0,1540,1540,0.264,159.775,-0.45,-0.9,-9.7,5.24,-2.82,13.41,31.932600000000004
2023-03-24 23-34-20-519289,0,0,1540,1540,0.264,159.775,-0.51,-0.92,-9.68,5.54,-3.03,13.49,31.852600000000002
2023-03-24 23-34-20-655808,0,0,1540,1540,0.352,159.775,-0.53,-1.0,-9.68,5.82,-3.26,13.76,31.582600000000006
2023-03-24 23-34-20-783030,0,0,1540,1540,0.264,159.775,-0.58,-1.05,-9.68,6.11,-3.49,14.01,31.332600000000006
2023-03-24 23-34-20-911052,0,0,1540,1540,0.352,159.775,-0.6,-1.09,-9.69,6.36,-3.69,14.08,31.262600000000006
2023-03-24 23-34-21-039262,0,0,1540,1540,0.264,159.775,-0.63,-1.13,-9.68,6.55,-3.79,13.73,31.612600000000004
2023-03-24 23-34-21-167542,0,0,1540,1540,0.264,159.775,-0.64,-1.16,-9.68,6.73,-3.83,13.08,32.262600000000006
2023-03-24 23-34-21-295425,0,0,1540,1540,0.264,159.687,-0.61,-1.19,-9.67,6.91,-3.82,12.16,33.18260000000001
2023-03-24 23-34-21-424794,0,0,1540,1540,0.352,159.775,-0.65,-1.21,-9.66,7.1,-3.89,11.27,34.07260000000001
2023-03-24 23-34-21-567174,0,0,1540,1540,0.264,159.775,-0.62,-1.24,-9.64,7.29,-4.04,10.52,34.82260000000001
2023-03-24 23-34-21-697966,0,0,1540,1540,0.264,159.775,-0.7,-1.27,-9.66,7.46,-4.29,10.14,35.202600000000004
2023-03-24 23-34-21-824034,0,0,1540,1540,0.264,159.775,-0.75,-1.31,-9.66,7.6,-4.62,10.17,35.1726
2023-03-24 23-34-21-952382,0,0,1540,1540,0.264,159.775,-0.81,-1.32,-9.63,7.72,-4.97,10.25,35.092600000000004
2023-03-24 23-34-22-080746,0,0,1540,1540,0.352,159.775,-0.83,-1.31,-9.63,7.84,-5.29,10.38,34.9626
2023-03-24 23-34-22-207320,0,0,1540,1540,0.264,159.775,-0.88,-1.34,-9.63,7.93,-5.52,10.47,34.872600000000006
2023-03-24 23-34-22-335312,0,0,1540,1540,0.352,159.775,-0.9,-1.35,-9.64,7.99,-5.59,10.31,35.0326
2023-03-24 23-34-22-463164,0,0,1540,1540,0.264,159.775,-0.94,-1.38,-9.63,8.04,-5.53,9.9,35.442600000000006
2023-03-24 23-34-22-591832,0,0,1540,1540,0.264,159.775,-0.95,-1.39,-9.64,8.11,-5.44,9.27,36.07260000000001
2023-03-24 23-34-22-736053,0,0,1540,1540,0.264,159.775,-0.91,-1.37,-9.58,8.21,-5.45,8.75,36.592600000000004
2023-03-24 23-34-22-876378,0,0,1540,1540,0.264,159.775,-0.92,-1.4,-9.62,8.32,-5.61,8.58,36.762600000000006
2023-03-24 23-34-23-006995,0,0,1540,1540,0.264,159.775,-0.97,-1.42,-9.61,8.41,-5.83,8.53,36.8126
2023-03-24 23-34-23-138532,0,0,1540,1540,0.264,159.775,-1.0,-1.44,-9.59,8.5,-6.05,8.58,36.762600000000006
2023-03-24 23-34-23-265643,0,0,1540,1540,0.264,159.687,-1.08,-1.45,-9.57,8.58,-6.33,8.64,36.702600000000004
2023-03-24 23-34-23-391920,0,0,1540,1540,0.264,159.775,-1.07,-1.48,-9.58,8.64,-6.64,8.73,36.6126
2023-03-24 23-34-23-549317,0,0,1540,1540,0.264,159.775,-1.16,-1.49,-9.59,8.73,-6.9,8.6,36.7426
2023-03-24 23-34-23-678694,0,0,1540,1540,0.264,159.775,-1.18,-1.51,-9.57,8.8,-7.03,8.08,37.262600000000006
2023-03-24 23-34-23-806601,0,0,1540,1540,0.264,159.775,-1.23,-1.51,-9.57,8.88,-7.05,7.21,38.132600000000004
2023-03-24 23-34-23-934839,0,0,1540,1540,0.264,159.775,-1.26,-1.52,-9.55,9.0,-7.04,6.27,39.07260000000001
2023-03-24 23-34-24-064917,0,0,1540,1540,0.264,159.775,-1.16,-1.55,-9.55,9.14,-7.18,5.81,39.5326
2023-03-24 23-34-24-190988,0,0,1540,1540,0.264,159.775,-1.2,-1.57,-9.55,9.23,-7.42,5.61,39.732600000000005
2023-03-24 23-34-24-320688,0,0,1540,1540,0.264,159.775,-1.28,-1.59,-9.54,9.29,-7.7,5.58,39.762600000000006
2023-03-24 23-34-24-448225,0,0,1540,1540,0.264,159.775,-1.34,-1.58,-9.55,9.32,-8.01,5.69,39.65260000000001
2023-03-24 23-34-24-575303,0,0,1540,1540,0.264,159.775,-1.35,-1.58,-9.53,9.34,-8.31,5.74,39.6026
2023-03-24 23-34-24-706645,0,0,1540,1540,0.352,159.775,-1.43,-1.59,-9.53,9.35,-8.52,5.56,39.7826
2023-03-24 23-34-24-853324,0,0,1540,1540,0.352,159.775,-1.44,-1.6,-9.52,9.37,-8.61,5.04,40.302600000000005
2023-03-24 23-34-24-974511,0,0,1540,1540,0.264,159.775,-1.54,-1.62,-9.52,9.44,-8.56,4.23,41.1126
2023-03-24 23-34-25-103703,0,0,1540,1540,0.264,159.775,-1.41,-1.62,-9.52,9.5,-8.54,3.47,41.872600000000006
2023-03-24 23-34-25-230868,0,0,1540,1540,0.264,159.775,-1.41,-1.62,-9.5,9.55,-8.64,2.89,42.452600000000004
2023-03-24 23-34-25-358479,0,0,1540,1540,0.352,159.775,-1.45,-1.61,-9.51,9.55,-8.85,2.65,42.692600000000006
2023-03-24 23-34-25-494337,0,0,1540,1540,0.264,159.687,-1.53,-1.6,-9.49,9.49,-9.15,2.59,42.7526
2023-03-24 23-34-25-624075,0,0,1540,1540,0.264,159.687,-1.6,-1.61,-9.52,9.44,-9.47,2.59,42.7526
2023-03-24 23-34-25-746723,0,0,1540,1540,0.352,159.687,-1.6,-1.58,-9.5,9.36,-9.79,2.65,42.692600000000006
2023-03-24 23-34-25-870999,0,0,1540,1540,0.264,159.775,-1.65,-1.57,-9.49,9.28,-10.02,2.45,42.8926
2023-03-24 23-34-25-998400,0,0,1540,1540,0.264,159.775,-1.72,-1.56,-9.49,9.22,-10.12,2.04,43.302600000000005
2023-03-24 23-34-26-128861,0,0,1540,1540,0.352,159.775,-1.73,-1.53,-9.48,9.18,-10.06,1.33,44.012600000000006
2023-03-24 23-34-26-254570,0,0,1540,1540,0.352,159.775,-1.72,-1.54,-9.48,9.17,-9.93,0.51,44.832600000000006
2023-03-24 23-34-26-385227,0,0,1540,1540,0.264,159.775,-1.61,-1.53,-9.49,9.15,-9.87,-0.15,45.4926
2023-03-24 23-34-26-510899,0,0,1540,1540,0.264,159.687,-1.65,-1.54,-9.49,9.1,-9.91,-0.53,45.872600000000006
2023-03-24 23-34-26-638488,0,0,1540,1540,0.264,159.775,-1.72,-1.51,-9.48,9.04,-10.06,-0.67,46.012600000000006
2023-03-24 23-34-26-770278,0,0,1540,1540,0.264,159.775,-1.71,-1.53,-9.51,8.95,-10.3,-0.53,45.872600000000006
2023-03-24 23-34-26-895104,0,0,1540,1540,0.264,159.775,-1.75,-1.49,-9.48,8.86,-10.54,-0.33,45.6726
2023-03-24 23-34-27-023173,0,0,1540,1540,0.264,159.775,-1.77,-1.47,-9.5,8.77,-10.7,-0.38,45.72260000000001
2023-03-24 23-34-27-154109,0,0,1540,1540,0.264,159.775,-1.83,-1.48,-9.5,8.72,-10.76,-0.66,46.0026
2023-03-24 23-34-27-278632,0,0,1540,1540,0.264,159.687,-1.84,-1.46,-9.47,8.7,-10.7,-1.26,46.6026
2023-03-24 23-34-27-408624,0,0,1540,1540,0.352,159.775,-1.8,-1.45,-9.5,8.73,-10.66,-1.63,46.97260000000001
2023-03-24 23-34-27-544583,0,0,1540,1540,0.264,159.775,-1.81,-1.46,-9.49,8.76,-10.66,-2.01,47.3526
