Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,e_alpha
2023-03-24 22-17-49-090156,0,0,1569,1569,178.681,-19.697,-0.55,0.86,-9.7,-5.13,-3.49,39.43,29.965599999999995
2023-03-24 22-17-49-227946,0,0,1564,1564,178.681,-19.697,-0.54,0.86,-9.7,-5.13,-3.51,39.44,29.975599999999993
2023-03-24 22-17-49-354054,0,0,1564,1564,178.681,-19.697,-0.56,0.85,-9.7,-5.1,-3.56,39.46,29.995599999999996
2023-03-24 22-17-49-478960,0,0,1565,1565,178.681,-19.697,-0.03,0.83,-9.71,-5.06,-3.54,39.55,30.085599999999992
2023-03-24 22-17-49-614145,0,0,1565,1565,178.681,-19.697,-0.32,0.77,-9.77,-5.02,-3.37,39.65,30.185599999999994
2023-03-24 22-17-49-734940,0,0,1565,1565,178.681,-19.697,-0.51,0.83,-9.72,-5.01,-3.01,39.59,30.1256
2023-03-24 22-17-49-863893,0,0,1564,1564,178.681,-19.697,-0.47,0.8,-9.74,-5.01,-2.41,39.37,29.905599999999993
2023-03-24 22-17-49-994604,0,0,1564,1564,178.681,-19.697,-0.28,0.89,-9.75,-5.07,-1.61,39.05,29.585599999999992
2023-03-24 22-17-50-131911,0,0,1563,1563,178.681,-19.697,-0.11,0.83,-9.69,-5.14,-0.62,38.73,29.265599999999992
2023-03-24 22-17-50-274703,0,0,1563,1563,178.593,-19.697,-0.1,0.8,-9.67,-5.22,0.5,38.52,29.0556
2023-03-24 22-17-50-407235,0,0,1563,1563,178.681,-19.697,0.24,0.87,-9.7,-5.29,1.63,38.47,29.005599999999994
2023-03-24 22-17-50-536309,0,0,1562,1562,178.681,-19.697,0.41,0.92,-9.69,-5.49,2.5,37.92,28.455599999999997
2023-03-24 22-17-50-665168,0,0,1560,1560,178.681,-19.697,0.5,0.92,-9.56,-5.81,3.08,36.5,27.035599999999995
2023-03-24 22-17-50-791703,0,0,1557,1557,178.681,-19.697,0.6,1.06,-9.7,-6.25,3.38,34.49,25.025599999999997
2023-03-24 22-17-50-920376,0,0,1554,1554,178.681,-19.697,0.64,1.14,-9.66,-6.69,3.62,32.52,23.0556
2023-03-24 22-17-51-046575,0,0,1551,1551,178.681,-19.697,0.6,1.22,-9.62,-7.19,3.84,30.44,20.975599999999996
2023-03-24 22-17-51-185943,0,0,1548,1548,178.681,-19.697,0.67,1.3,-9.65,-7.65,4.11,28.51,19.045599999999997
2023-03-24 22-17-51-323894,0,0,1546,1546,178.681,-19.697,0.64,1.36,-9.63,-8.05,4.51,27.19,17.725599999999996
2023-03-24 22-17-51-470676,0,0,1544,1544,178.681,-19.697,0.81,1.42,-9.63,-8.46,4.89,26.07,16.605599999999995
2023-03-24 22-17-51-596652,0,0,1542,1542,178.593,-19.697,0.9,1.5,-9.58,-8.96,5.14,24.64,15.175599999999996
2023-03-24 22-17-51-720764,0,0,1550,1550,178.681,-19.697,0.91,1.62,-9.61,-9.59,5.17,22.74,13.275599999999994
2023-03-24 22-17-51-846709,0,0,1550,1550,178.681,-19.697,0.89,1.63,-9.59,-10.2,5.02,20.7,11.235599999999994
2023-03-24 22-17-51-984837,0,0,1550,1550,178.681,-19.697,0.78,1.85,-9.54,-10.92,4.63,18.14,8.675599999999996
2023-03-24 22-17-52-104155,0,0,1550,1550,178.681,-19.697,0.7,1.95,-9.54,-11.54,4.14,15.94,6.475599999999995
2023-03-24 22-17-52-232680,0,0,1550,1550,178.681,-19.697,0.62,2.02,-9.54,-12.04,3.66,14.47,5.005599999999996
2023-03-24 22-17-52-365767,0,0,1550,1550,178.681,-19.697,0.57,2.11,-9.52,-12.5,3.24,13.61,4.145599999999995
2023-03-24 22-17-52-489839,0,0,1550,1550,178.681,-19.697,0.52,2.18,-9.5,-12.87,2.96,13.24,3.7755999999999954
2023-03-24 22-17-52-615726,0,0,1550,1550,178.681,-19.697,0.54,2.21,-9.5,-13.21,2.82,13.12,3.6555999999999944
2023-03-24 22-17-52-742954,0,0,1550,1550,178.681,-19.697,0.52,2.24,-9.5,-13.51,2.77,12.95,3.4855999999999945
2023-03-24 22-17-52-874693,0,0,1550,1550,178.681,-19.697,0.45,2.31,-9.46,-13.85,2.65,12.57,3.1055999999999955
2023-03-24 22-17-52-999515,0,0,1550,1550,178.681,-19.697,0.36,2.43,-9.46,-14.28,2.26,11.31,1.8455999999999957
2023-03-24 22-17-53-127825,0,0,1550,1550,178.681,-19.697,0.31,2.54,-9.41,-14.64,1.77,10.14,0.6755999999999958
2023-03-24 22-17-53-256572,0,0,1550,1550,178.593,-19.697,0.23,2.5,-9.45,-14.87,1.27,9.2,-0.2644000000000055
2023-03-24 22-17-53-383366,0,0,1550,1550,178.681,-19.697,0.13,2.58,-9.47,-14.97,0.88,8.58,-0.8844000000000047
2023-03-24 22-17-53-513515,0,0,1550,1550,178.681,-19.697,0.16,2.54,-9.41,-14.9,0.73,8.44,-1.0244000000000053
2023-03-24 22-17-53-651572,0,0,1550,1550,178.681,-19.697,0.28,2.5,-9.47,-14.72,0.73,8.59,-0.874400000000005
2023-03-24 22-17-53-782618,0,0,1550,1550,178.681,-19.697,0.17,2.5,-9.46,-14.55,0.58,8.26,-1.204400000000005
2023-03-24 22-17-53-913221,0,0,1550,1550,178.681,-19.697,0.11,2.43,-9.46,-14.35,0.29,7.77,-1.6944000000000052
2023-03-24 22-17-54-063826,0,0,1550,1550,178.681,-19.697,-0.12,2.34,-9.35,-14.16,-0.09,7.13,-2.334400000000005
2023-03-24 22-17-54-183907,0,0,1550,1550,178.681,-19.697,-0.09,2.38,-9.47,-13.95,-0.49,6.24,-3.2244000000000046
2023-03-24 22-17-54-313829,0,0,1550,1550,178.681,-19.697,-0.11,2.32,-9.5,-13.68,-0.71,5.91,-3.5544000000000047
2023-03-24 22-17-54-439118,0,0,1550,1550,178.593,-19.697,-0.12,2.25,-9.49,-13.34,-0.8,6.01,-3.454400000000005
2023-03-24 22-17-54-573208,0,0,1550,1550,178.593,-19.697,-0.14,2.21,-9.47,-12.96,-0.8,6.46,-3.004400000000005
2023-03-24 22-17-54-695125,0,0,1550,1550,178.681,-19.697,0.13,2.14,-9.58,-12.54,-0.78,7.05,-2.414400000000005
2023-03-24 22-17-54-824979,0,0,1550,1550,178.681,-19.697,-0.09,2.06,-9.53,-12.11,-0.84,7.6,-1.8644000000000052
2023-03-24 22-17-54-953198,0,0,1550,1550,178.593,-19.697,-0.11,2.03,-9.58,-11.72,-1.07,7.9,-1.5644000000000045
2023-03-24 22-17-55-080741,0,0,1550,1550,178.593,-19.697,-0.16,1.92,-9.61,-11.3,-1.39,8.22,-1.2444000000000042
2023-03-24 22-17-55-207972,0,0,1550,1550,178.681,-19.697,-0.2,1.84,-9.63,-10.86,-1.63,8.84,-0.624400000000005
2023-03-24 22-17-55-334896,0,0,1550,1550,178.681,-19.697,-0.32,1.75,-9.58,-10.4,-1.81,9.75,0.2855999999999952
2023-03-24 22-17-55-462915,0,0,1550,1550,178.681,-19.697,-0.33,1.66,-9.59,-9.93,-1.94,11.09,1.625599999999995
2023-03-24 22-17-55-591043,0,0,1550,1550,178.593,-19.697,-0.56,1.59,-9.58,-9.49,-2.08,12.61,3.1455999999999946
2023-03-24 22-17-55-721829,0,0,1550,1550,178.681,-19.697,-0.45,1.53,-9.59,-9.1,-2.32,13.75,4.285599999999995
2023-03-24 22-17-55-847741,0,0,1550,1550,178.681,-19.697,-0.33,1.5,-9.62,-8.68,-2.53,14.77,5.305599999999995
2023-03-24 22-17-55-978680,0,0,1550,1550,178.681,-19.697,-0.45,1.44,-9.66,-8.25,-2.82,15.14,5.675599999999996
2023-03-24 22-17-56-114498,0,0,1550,1550,178.593,-19.697,-0.5,1.37,-9.68,-7.78,-3.24,15.18,5.715599999999995
2023-03-24 22-17-56-246956,0,0,1550,1550,178.681,-19.697,-0.38,1.24,-9.72,-7.24,-3.74,15.35,5.885599999999995
2023-03-24 22-17-56-381451,0,0,1550,1550,178.681,-19.609,-0.71,1.15,-9.69,-6.63,-4.12,15.64,6.175599999999996
2023-03-24 22-17-56-521280,0,0,1550,1550,178.681,-19.697,-0.72,1.02,-9.67,-6.01,-4.35,16.54,7.075599999999994
2023-03-24 22-17-56-650610,0,0,1550,1550,178.681,-19.697,-0.79,0.9,-9.67,-5.44,-4.27,17.9,8.435599999999994
2023-03-24 22-17-56-777933,0,0,1550,1550,178.681,-19.697,-0.63,0.81,-9.74,-4.98,-4.04,19.12,9.655599999999996
2023-03-24 22-17-56-902832,0,0,1550,1550,178.681,-19.697,-0.64,0.79,-9.71,-4.61,-4.03,19.28,9.815599999999996
2023-03-24 22-17-57-044533,0,0,1550,1550,178.593,-19.697,-0.71,0.84,-9.69,-4.27,-4.28,19.23,9.765599999999996
2023-03-24 22-17-57-186398,0,0,1550,1550,178.593,-19.697,-0.7,0.68,-9.72,-3.91,-4.59,19.07,9.605599999999995
2023-03-24 22-17-57-321932,0,0,1550,1550,178.681,-19.697,-0.73,0.61,-9.73,-3.49,-4.79,18.8,9.335599999999996
2023-03-24 22-17-57-446524,0,0,1550,1550,178.681,-19.697,-0.75,0.55,-9.72,-2.99,-4.73,18.65,9.185599999999994
2023-03-24 22-17-57-584714,0,0,1550,1550,178.681,-19.697,-0.78,0.4,-9.71,-2.46,-4.72,19.33,9.865599999999993
2023-03-24 22-17-57-704766,0,0,1550,1550,178.681,-19.697,-0.79,0.33,-9.7,-2.03,-4.71,20.47,11.005599999999994
2023-03-24 22-17-57-831230,0,0,1550,1550,178.681,-19.697,-0.76,0.26,-9.73,-1.68,-4.59,21.62,12.155599999999996
2023-03-24 22-17-57-959575,0,0,1550,1550,178.681,-19.697,-0.71,0.2,-9.73,-1.38,-4.52,22.19,12.725599999999996
2023-03-24 22-17-58-090434,0,0,1550,1550,178.681,-19.697,-0.73,0.14,-9.72,-1.1,-4.6,22.38,12.915599999999994
