Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,e_alpha
2023-03-24 18-01-00-892132,0,0,1572,1572,178.769,-19.961,0.54,0.6,-9.73,-3.55,2.93,44.12,29.629000000000005
2023-03-24 18-01-01-009591,0,0,1564,1564,178.769,-19.961,0.55,0.61,-9.74,-3.55,2.93,44.11,29.619000000000007
2023-03-24 18-01-01-136814,0,0,1564,1564,178.769,-19.961,0.54,0.61,-9.73,-3.54,2.93,44.1,29.60900000000001
2023-03-24 18-01-01-264872,0,0,1564,1564,178.681,-19.961,0.54,0.61,-9.76,-3.55,2.91,43.98,29.489000000000004
2023-03-24 18-01-01-393404,0,0,1562,1562,178.769,-19.961,0.49,0.62,-9.82,-3.62,2.86,43.33,28.839000000000006
2023-03-24 18-01-01-521245,0,0,1560,1560,178.769,-19.961,0.55,0.62,-9.76,-3.71,2.81,41.72,27.229000000000006
2023-03-24 18-01-01-650046,0,0,1556,1556,178.769,-19.961,0.49,0.64,-9.69,-3.82,2.83,39.45,24.95900000000001
2023-03-24 18-01-01-786094,0,0,1551,1551,178.769,-19.961,0.52,0.72,-9.71,-3.93,2.89,36.55,22.059000000000005
2023-03-24 18-01-01-905647,0,0,1547,1547,178.769,-19.961,0.53,0.72,-9.73,-3.94,3.02,33.96,19.46900000000001
2023-03-24 18-01-02-033466,0,0,1545,1545,178.681,-19.961,0.57,0.72,-9.71,-3.9,3.16,32.29,17.799000000000007
2023-03-24 18-01-02-161370,0,0,1544,1544,178.769,-19.961,0.61,0.69,-9.72,-3.85,3.37,31.16,16.669000000000008
2023-03-24 18-01-02-289589,0,0,1543,1543,178.769,-19.961,0.65,0.69,-9.75,-3.79,3.54,30.34,15.849000000000007
2023-03-24 18-01-02-429450,0,0,1541,1541,178.769,-19.961,0.66,0.66,-9.73,-3.79,3.59,29.17,14.67900000000001
2023-03-24 18-01-02-545462,0,0,1539,1539,178.681,-19.961,0.66,0.64,-9.77,-3.79,3.59,27.74,13.249000000000006
2023-03-24 18-01-02-673217,0,0,1536,1536,178.769,-19.961,0.65,0.68,-9.71,-3.81,3.63,25.92,11.42900000000001
2023-03-24 18-01-02-801320,0,0,1533,1533,178.681,-19.961,0.65,0.68,-9.72,-3.81,3.71,24.34,9.849000000000007
2023-03-24 18-01-02-929433,0,0,1531,1531,178.681,-19.961,0.63,0.61,-9.66,-3.82,3.78,22.86,8.369000000000007
2023-03-24 18-01-03-056921,0,0,1530,1530,178.681,-19.961,0.68,0.67,-9.71,-3.77,3.83,21.79,7.299000000000007
2023-03-24 18-01-03-185123,0,0,1529,1529,178.681,-19.961,0.68,0.67,-9.72,-3.71,3.88,21.26,6.769000000000009
2023-03-24 18-01-03-313576,0,0,1529,1529,178.681,-19.961,0.63,0.66,-9.73,-3.63,3.89,21.1,6.609000000000009
2023-03-24 18-01-03-440841,0,0,1529,1529,178.769,-19.961,0.7,0.63,-9.73,-3.6,3.84,20.89,6.399000000000008
2023-03-24 18-01-03-569534,0,0,1528,1528,178.681,-19.961,0.66,0.62,-9.74,-3.62,3.72,20.55,6.059000000000008
2023-03-24 18-01-03-696718,0,0,1528,1528,178.769,-19.961,0.66,0.63,-9.72,-3.65,3.59,20.17,5.679000000000009
2023-03-24 18-01-03-824720,0,0,1527,1527,178.769,-19.961,0.63,0.66,-9.71,-3.73,3.5,19.75,5.2590000000000074
2023-03-24 18-01-03-952747,0,0,1527,1527,178.681,-19.961,0.62,0.66,-9.72,-3.82,3.41,19.36,4.869000000000007
2023-03-24 18-01-04-081147,0,0,1526,1526,178.681,-19.961,0.59,0.7,-9.73,-3.92,3.27,19.03,4.539000000000009
2023-03-24 18-01-04-208907,0,0,1526,1526,178.769,-19.961,0.53,0.7,-9.72,-4.03,3.11,18.73,4.239000000000008
2023-03-24 18-01-04-338143,0,0,1526,1526,178.769,-19.961,0.54,0.7,-9.73,-4.11,2.95,18.69,4.199000000000009
2023-03-24 18-01-04-473967,0,0,1526,1526,178.681,-19.961,0.5,0.73,-9.72,-4.19,2.72,19.0,4.5090000000000074
2023-03-24 18-01-04-592648,0,0,1527,1527,178.681,-19.961,0.45,0.74,-9.72,-4.29,2.41,19.56,5.069000000000006
2023-03-24 18-01-04-720917,0,0,1529,1529,178.681,-19.961,0.39,0.75,-9.72,-4.41,2.1,20.27,5.779000000000007
2023-03-24 18-01-04-849470,0,0,1529,1529,178.681,-19.961,0.35,0.79,-9.71,-4.58,1.76,20.73,6.239000000000008
2023-03-24 18-01-04-977502,0,0,1529,1529,178.681,-19.961,0.29,0.82,-9.77,-4.77,1.53,20.95,6.459000000000007
2023-03-24 18-01-05-105035,0,0,1529,1529,178.681,-19.961,0.28,0.84,-9.73,-4.92,1.4,21.04,6.549000000000007
2023-03-24 18-01-05-232518,0,0,1529,1529,178.681,-19.961,0.26,0.88,-9.7,-5.05,1.33,21.06,6.569000000000006
2023-03-24 18-01-05-360498,0,0,1529,1529,178.681,-19.961,0.25,0.9,-9.72,-5.16,1.3,21.06,6.569000000000006
2023-03-24 18-01-05-488516,0,0,1529,1529,178.681,-19.961,0.24,0.91,-9.71,-5.25,1.26,21.02,6.529000000000007
2023-03-24 18-01-05-617976,0,0,1529,1529,178.681,-19.961,0.26,0.92,-9.71,-5.3,1.22,21.01,6.519000000000009
2023-03-24 18-01-05-744491,0,0,1530,1530,178.769,-19.961,0.22,0.92,-9.7,-5.33,1.08,21.31,6.819000000000006
2023-03-24 18-01-05-872931,0,0,1531,1531,178.681,-19.961,0.18,0.91,-9.71,-5.35,0.87,21.88,7.3890000000000065
2023-03-24 18-01-06-000603,0,0,1532,1532,178.681,-19.961,0.01,0.93,-9.78,-5.37,0.59,22.72,8.229000000000006
2023-03-24 18-01-06-129226,0,0,1533,1533,178.769,-19.961,0.01,0.92,-9.8,-5.44,0.21,23.07,8.579000000000008
2023-03-24 18-01-06-256568,0,0,1532,1532,178.681,-19.961,0.02,0.94,-9.72,-5.49,0.01,22.88,8.389000000000006
2023-03-24 18-01-06-384706,0,0,1531,1531,178.769,-19.961,-0.03,0.87,-9.67,-5.52,0.01,22.42,7.929000000000009
2023-03-24 18-01-06-512743,0,0,1530,1530,178.681,-19.961,0.13,0.96,-9.74,-5.53,0.1,21.75,7.2590000000000074
2023-03-24 18-01-06-640349,0,0,1530,1530,178.681,-19.961,0.13,0.96,-9.71,-5.53,0.35,21.32,6.829000000000008
2023-03-24 18-01-06-768462,0,0,1529,1529,178.681,-19.961,0.16,0.96,-9.71,-5.54,0.61,21.17,6.679000000000009
2023-03-24 18-01-06-896664,0,0,1530,1530,178.681,-19.961,0.16,0.98,-9.7,-5.54,0.76,21.22,6.729000000000006
2023-03-24 18-01-07-024540,0,0,1530,1530,178.681,-19.961,0.12,0.97,-9.71,-5.52,0.77,21.61,7.119000000000007
2023-03-24 18-01-07-152684,0,0,1531,1531,178.681,-19.961,0.1,0.96,-9.7,-5.49,0.66,22.11,7.619000000000007
2023-03-24 18-01-07-280288,0,0,1532,1532,178.681,-19.961,0.09,0.94,-9.75,-5.45,0.5,22.61,8.119000000000007
2023-03-24 18-01-07-408837,0,0,1533,1533,178.681,-19.961,0.15,0.94,-9.72,-5.4,0.38,23.06,8.569000000000006
2023-03-24 18-01-07-536621,0,0,1533,1533,178.681,-19.961,0.1,0.93,-9.71,-5.34,0.35,23.31,8.819000000000006
2023-03-24 18-01-07-665056,0,0,1533,1533,178.769,-19.961,0.11,0.92,-9.77,-5.27,0.36,23.44,8.949000000000009
2023-03-24 18-01-07-792711,0,0,1533,1533,178.681,-19.961,0.1,0.9,-9.73,-5.19,0.36,23.48,8.989000000000008
2023-03-24 18-01-07-920396,0,0,1533,1533,178.681,-19.961,0.13,0.88,-9.74,-5.11,0.39,23.51,9.019000000000009
2023-03-24 18-01-08-049037,0,0,1533,1533,178.681,-19.961,0.13,0.85,-9.74,-5.01,0.42,23.62,9.129000000000008
