Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,e_alpha
2023-03-24 17-18-50-001755,0,0,1575,1575,178.593,-12.838,0.89,-1.35,-9.63,8.05,5.14,46.16,45.08460000000001
2023-03-24 17-18-50-231582,0,0,1575,1575,178.593,-12.838,0.92,-1.36,-9.61,8.06,5.21,46.18,45.10460000000001
2023-03-24 17-18-50-456020,0,0,1575,1575,178.593,-12.838,0.93,-1.37,-9.62,8.05,5.23,46.18,45.10460000000001
2023-03-24 17-18-50-680005,0,0,1575,1575,178.593,-12.838,0.91,-1.37,-9.63,8.04,5.18,46.16,45.08460000000001
2023-03-24 17-18-50-903860,0,0,1575,1575,178.593,-12.838,0.92,-1.37,-9.62,7.99,5.15,46.05,44.97460000000001
2023-03-24 17-18-51-127807,0,0,1575,1575,178.593,-12.838,0.9,-1.39,-9.69,7.91,5.29,45.3,44.22460000000001
2023-03-24 17-18-51-351934,0,0,1575,1575,178.593,-12.838,0.99,-1.3,-9.63,7.85,5.63,43.78,42.70460000000001
2023-03-24 17-18-51-575871,0,0,1575,1575,178.593,-12.838,1.08,-1.28,-9.57,7.82,5.93,42.32,41.24460000000001
2023-03-24 17-18-51-799786,0,0,1575,1575,178.593,-12.838,1.11,-1.36,-9.58,7.82,6.23,40.55,39.47460000000001
2023-03-24 17-18-52-023770,0,0,1575,1575,178.593,-12.838,1.16,-1.3,-9.59,7.87,6.52,39.05,37.97460000000001
2023-03-24 17-18-52-247725,0,0,1574,1574,178.593,-12.838,1.21,-1.29,-9.59,7.92,6.98,37.25,36.17460000000001
2023-03-24 17-18-52-471985,0,0,1572,1572,178.593,-12.838,1.31,-1.31,-9.6,8.07,7.4,36.1,35.024600000000014
2023-03-24 17-18-52-695751,0,0,1571,1571,178.593,-12.838,1.33,-1.36,-9.58,8.24,7.72,35.44,34.36460000000001
2023-03-24 17-18-52-919618,0,0,1571,1571,178.593,-12.838,1.36,-1.4,-9.55,8.42,7.93,35.11,34.03460000000001
2023-03-24 17-18-53-143750,0,0,1569,1569,178.593,-12.838,1.34,-1.46,-9.61,8.52,8.08,34.44,33.36460000000001
2023-03-24 17-18-53-367717,0,0,1567,1567,178.593,-12.838,1.45,-1.44,-9.57,8.57,8.37,33.11,32.03460000000001
2023-03-24 17-18-53-591857,0,0,1566,1566,178.593,-12.838,1.49,-1.46,-9.51,8.62,8.66,31.95,30.87460000000001
2023-03-24 17-18-53-815752,0,0,1564,1564,178.593,-12.838,1.59,-1.4,-9.52,8.58,9.03,30.55,29.474600000000013
2023-03-24 17-18-54-039687,0,0,1562,1562,178.593,-12.838,1.65,-1.42,-9.54,8.54,9.35,29.49,28.41460000000001
2023-03-24 17-18-54-263653,0,0,1560,1560,178.593,-12.838,1.68,-1.38,-9.52,8.43,9.76,28.14,27.064600000000013
2023-03-24 17-18-54-487752,0,0,1559,1559,178.593,-12.838,1.72,-1.38,-9.51,8.41,10.03,27.43,26.354600000000012
2023-03-24 17-18-54-711954,0,0,1559,1559,178.593,-12.838,1.74,-1.37,-9.51,8.4,10.15,27.2,26.12460000000001
2023-03-24 17-18-54-935663,0,0,1559,1559,178.593,-12.838,1.74,-1.38,-9.54,8.39,10.09,27.27,26.194600000000012
2023-03-24 17-18-55-159621,0,0,1558,1558,178.593,-12.838,1.75,-1.4,-9.56,8.24,10.03,26.78,25.704600000000013
2023-03-24 17-18-55-384994,0,0,1557,1557,178.593,-12.838,1.74,-1.33,-9.52,8.05,10.14,25.91,24.834600000000012
2023-03-24 17-18-55-607634,0,0,1556,1556,178.593,-12.838,1.78,-1.36,-9.5,7.84,10.29,25.18,24.104600000000012
2023-03-24 17-18-55-831379,0,0,1554,1554,178.593,-12.838,1.81,-1.22,-9.5,7.53,10.52,24.06,22.98460000000001
2023-03-24 17-18-56-055328,0,0,1553,1553,178.505,-12.838,1.86,-1.23,-9.53,7.25,10.67,23.26,22.184600000000014
2023-03-24 17-18-56-279305,0,0,1551,1551,178.593,-12.838,1.86,-1.19,-9.44,6.94,10.91,22.11,21.03460000000001
2023-03-24 17-18-56-503322,0,0,1550,1550,178.593,-12.838,1.93,-1.1,-9.51,6.75,11.16,21.58,20.50460000000001
2023-03-24 17-18-56-727259,0,0,1550,1550,178.593,-12.838,1.93,-1.07,-9.51,6.59,11.21,21.53,20.454600000000013
2023-03-24 17-18-56-951257,0,0,1551,1551,178.505,-12.838,1.88,-1.05,-9.51,6.4,11.0,21.74,20.66460000000001
2023-03-24 17-18-57-175323,0,0,1550,1550,178.505,-12.838,1.86,-1.01,-9.55,6.07,10.73,21.38,20.30460000000001
2023-03-24 17-18-57-399240,0,0,1549,1549,178.593,-12.838,1.84,-0.92,-9.54,5.72,10.69,20.68,19.604600000000012
2023-03-24 17-18-57-623453,0,0,1548,1548,178.593,-12.838,1.84,-0.9,-9.58,5.36,10.89,19.95,18.87460000000001
2023-03-24 17-18-57-847198,0,0,1546,1546,178.593,-12.838,1.95,-0.82,-9.52,5.02,11.32,18.99,17.91460000000001
2023-03-24 17-18-58-071311,0,0,1545,1545,178.593,-12.838,2.0,-0.86,-9.48,4.75,11.74,18.4,17.32460000000001
2023-03-24 17-18-58-295169,0,0,1544,1544,178.593,-12.838,2.08,-0.69,-9.52,4.43,12.13,17.36,16.28460000000001
2023-03-24 17-18-58-519174,0,0,1543,1543,178.505,-12.838,2.14,-0.66,-9.51,4.22,12.37,16.97,15.894600000000011
2023-03-24 17-18-58-743124,0,0,1543,1543,178.505,-12.838,2.14,-0.64,-9.52,4.04,12.41,17.05,15.974600000000013
2023-03-24 17-18-58-967188,0,0,1544,1544,178.505,-12.838,2.14,-0.64,-9.5,3.9,12.23,17.5,16.424600000000012
2023-03-24 17-18-59-191115,0,0,1544,1544,178.593,-12.838,2.07,-0.59,-9.56,3.59,12.02,17.35,16.274600000000014
2023-03-24 17-18-59-415537,0,0,1543,1543,178.505,-12.838,2.08,-0.54,-9.54,3.29,12.12,16.83,15.75460000000001
2023-03-24 17-18-59-639236,0,0,1542,1542,178.505,-12.838,2.09,-0.49,-9.47,3.0,12.41,16.29,15.214600000000011
2023-03-24 17-18-59-863079,0,0,1541,1541,178.505,-12.838,2.22,-0.46,-9.51,2.68,12.8,15.42,14.344600000000012
2023-03-24 17-19-00-087037,0,0,1540,1540,178.505,-12.838,2.23,-0.46,-9.54,2.4,13.2,14.82,13.744600000000013
2023-03-24 17-19-00-311054,0,0,1539,1539,178.593,-12.838,2.37,-0.31,-9.48,2.12,13.69,13.89,12.814600000000013
2023-03-24 17-19-00-535152,0,0,1538,1538,178.593,-12.838,2.42,-0.29,-9.46,1.96,14.04,13.68,12.604600000000012
2023-03-24 17-19-00-759191,0,0,1539,1539,178.593,-12.838,2.43,-0.27,-9.46,1.87,14.1,13.94,12.864600000000012
2023-03-24 17-19-00-983623,0,0,1540,1540,178.505,-12.838,2.38,-0.28,-9.46,1.8,13.85,14.49,13.414600000000013
2023-03-24 17-19-01-207414,0,0,1540,1540,178.505,-12.838,2.31,-0.21,-9.42,1.59,13.53,14.51,13.434600000000012
2023-03-24 17-19-01-431094,0,0,1539,1539,178.593,-12.838,2.33,-0.21,-9.49,1.39,13.65,14.14,13.064600000000013
2023-03-24 17-19-01-655036,0,0,1539,1539,178.505,-12.838,2.36,-0.2,-9.51,1.22,13.94,13.81,12.734600000000013
