Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,e_alpha
2023-03-23 22-42-52-756711,0,0,1534,1466,178.681,-12.75,-2.94,-0.56,-9.28,3.5,-17.76,163.59,29.98678000000004
2023-03-23 22-42-52-784925,0,0,1540,1460,178.681,-12.75,-2.95,-0.55,-9.27,3.5,-17.74,163.59,29.98678000000004
2023-03-23 22-42-52-816249,0,0,1540,1460,178.681,-12.75,-2.95,-0.56,-9.28,3.51,-17.72,163.59,29.98678000000004
2023-03-23 22-42-52-833979,0,0,1540,1460,178.681,-12.662,-2.95,-0.57,-9.28,3.51,-17.7,163.58,29.976780000000048
2023-03-23 22-42-52-863887,0,0,1540,1460,178.681,-12.662,-2.94,-0.56,-9.28,3.52,-17.68,163.58,29.976780000000048
2023-03-23 22-42-52-878864,0,0,1540,1460,178.681,-12.75,-2.95,-0.56,-9.28,3.53,-17.67,163.58,29.976780000000048
2023-03-23 22-42-52-905943,0,0,1540,1460,178.681,-12.75,-2.94,-0.58,-9.3,3.53,-17.65,163.58,29.976780000000048
2023-03-23 22-42-52-929257,0,0,1540,1460,178.681,-12.75,-2.95,-0.58,-9.3,3.54,-17.63,163.57,29.96678000000003
2023-03-23 22-42-52-943098,0,0,1540,1460,178.681,-12.75,-2.95,-0.56,-9.3,3.54,-17.61,163.57,29.96678000000003
2023-03-23 22-42-52-958988,0,0,1540,1460,178.681,-12.75,-2.93,-0.57,-9.29,3.55,-17.59,163.57,29.96678000000003
2023-03-23 22-42-52-974904,0,0,1540,1460,178.681,-12.75,-2.93,-0.57,-9.3,3.55,-17.57,163.57,29.96678000000003
2023-03-23 22-42-52-992566,0,0,1540,1460,178.681,-12.75,-2.92,-0.57,-9.29,3.55,-17.55,163.57,29.96678000000003
2023-03-23 22-42-53-007067,0,0,1540,1460,178.681,-12.75,-2.92,-0.57,-9.29,3.56,-17.53,163.57,29.96678000000003
2023-03-23 22-42-53-022709,0,0,1540,1460,178.681,-12.75,-2.95,-0.55,-9.28,3.56,-17.51,163.56,29.956780000000037
2023-03-23 22-42-53-042002,0,0,1540,1460,178.681,-12.75,-2.93,-0.53,-9.3,3.56,-17.49,163.55,29.946780000000047
2023-03-23 22-42-53-072777,0,0,1540,1460,178.681,-12.75,-2.86,-0.6,-9.31,3.56,-17.46,163.55,29.946780000000047
2023-03-23 22-42-53-088626,0,0,1540,1460,178.681,-12.662,-2.94,-0.57,-9.3,3.55,-17.44,163.54,29.936780000000027
2023-03-23 22-42-53-102722,0,0,1540,1460,178.681,-12.662,-2.97,-0.53,-9.28,3.55,-17.43,163.54,29.936780000000027
2023-03-23 22-42-53-120822,0,0,1540,1460,178.681,-12.75,-2.93,-0.5,-9.25,3.55,-17.41,163.52,29.916780000000045
2023-03-23 22-42-53-136297,0,0,1540,1460,178.681,-12.662,-2.94,-0.48,-9.29,3.56,-17.39,163.49,29.886780000000044
2023-03-23 22-42-53-151954,0,0,1540,1460,178.681,-12.75,-2.96,-0.46,-9.3,3.56,-17.37,163.44,29.836780000000033
2023-03-23 22-42-53-167046,0,0,1540,1460,178.681,-12.75,-2.93,-0.47,-9.31,3.56,-17.36,163.38,29.77678000000003
2023-03-23 22-42-53-182703,0,0,1540,1460,178.681,-12.75,-2.95,-0.45,-9.29,3.56,-17.33,163.3,29.696780000000047
2023-03-23 22-42-53-199997,0,0,1540,1460,178.681,-12.75,-2.92,-0.46,-9.32,3.57,-17.31,163.19,29.586780000000033
2023-03-23 22-42-53-217077,0,0,1540,1460,178.681,-12.662,-2.88,-0.48,-9.31,3.58,-17.29,163.07,29.46678000000003
2023-03-23 22-42-53-231760,0,0,1540,1460,178.681,-12.75,-2.89,-0.53,-9.33,3.58,-17.28,162.93,29.326780000000042
2023-03-23 22-42-53-248503,0,0,1540,1460,178.681,-12.75,-2.88,-0.47,-9.31,3.59,-17.26,162.79,29.186780000000027
2023-03-23 22-42-53-262762,0,0,1540,1460,178.681,-12.75,-2.88,-0.51,-9.33,3.6,-17.24,162.63,29.02678000000003
2023-03-23 22-42-53-280531,0,0,1540,1460,178.681,-12.75,-2.9,-0.55,-9.33,3.6,-17.23,162.46,28.856780000000043
2023-03-23 22-42-53-296270,0,0,1540,1460,178.681,-12.75,-2.88,-0.52,-9.36,3.61,-17.22,162.28,28.676780000000036
2023-03-23 22-42-53-312773,0,0,1540,1460,178.681,-12.75,-2.87,-0.54,-9.33,3.62,-17.21,162.09,28.48678000000004
2023-03-23 22-42-53-327210,0,0,1540,1460,178.681,-12.75,-2.9,-0.55,-9.34,3.63,-17.2,161.89,28.28678000000002
2023-03-23 22-42-53-342725,0,0,1540,1460,178.681,-12.75,-2.9,-0.55,-9.33,3.65,-17.19,161.68,28.076780000000042
2023-03-23 22-42-53-360975,0,0,1540,1460,178.681,-12.75,-2.91,-0.55,-9.33,3.65,-17.18,161.46,27.856780000000043
2023-03-23 22-42-53-392288,0,0,1540,1460,178.681,-12.662,-2.9,-0.55,-9.36,3.67,-17.17,161.24,27.636780000000044
2023-03-23 22-42-53-424705,0,0,1540,1460,178.681,-12.75,-2.9,-0.56,-9.32,3.68,-17.17,161.01,27.406780000000026
2023-03-23 22-42-53-455169,0,0,1540,1460,178.681,-12.75,-2.9,-0.56,-9.35,3.69,-17.16,160.78,27.176780000000036
2023-03-23 22-42-53-486893,0,0,1540,1460,178.681,-12.75,-2.9,-0.56,-9.33,3.7,-17.15,160.54,26.936780000000027
2023-03-23 22-42-53-502668,0,0,1540,1460,178.681,-12.75,-2.9,-0.57,-9.33,3.72,-17.14,160.29,26.686780000000027
2023-03-23 22-42-53-521026,0,0,1540,1460,178.681,-12.75,-2.88,-0.56,-9.32,3.74,-17.13,160.04,26.436780000000027
2023-03-23 22-42-53-538889,0,0,1540,1460,178.681,-12.75,-2.89,-0.57,-9.33,3.76,-17.12,159.78,26.176780000000036
2023-03-23 22-42-53-567010,0,0,1540,1460,178.681,-12.75,-2.9,-0.58,-9.32,3.78,-17.1,159.52,25.916780000000045
2023-03-23 22-42-53-583813,0,0,1540,1460,178.681,-12.662,-2.88,-0.58,-9.34,3.8,-17.09,159.25,25.646780000000035
2023-03-23 22-42-53-599700,0,0,1540,1460,178.681,-12.662,-2.89,-0.54,-9.4,3.82,-17.07,158.98,25.376780000000025
2023-03-23 22-42-53-614440,0,0,1540,1460,178.681,-12.75,-2.88,-0.55,-9.31,3.85,-17.05,158.71,25.106780000000043
2023-03-23 22-42-53-630765,0,0,1540,1460,178.681,-12.75,-2.89,-0.64,-9.34,3.88,-17.02,158.42,24.816780000000023
2023-03-23 22-42-53-647662,0,0,1540,1460,178.681,-12.662,-2.89,-0.58,-9.31,3.91,-17.0,158.13,24.52678000000003
2023-03-23 22-42-53-662553,0,0,1540,1460,178.681,-12.662,-2.87,-0.59,-9.33,3.94,-16.98,157.84,24.23678000000004
2023-03-23 22-42-53-680266,0,0,1540,1460,178.681,-12.75,-2.85,-0.59,-9.38,3.97,-16.95,157.54,23.936780000000027
2023-03-23 22-42-53-694768,0,0,1540,1460,178.681,-12.662,-2.83,-0.59,-9.35,4.0,-16.92,157.25,23.646780000000035
2023-03-23 22-42-53-711354,0,0,1540,1460,178.681,-12.75,-2.83,-0.61,-9.36,4.04,-16.89,156.94,23.336780000000033
2023-03-23 22-42-53-727688,0,0,1540,1460,178.681,-12.662,-2.82,-0.64,-9.35,4.07,-16.86,156.63,23.02678000000003
2023-03-23 22-42-53-744002,0,0,1540,1460,178.681,-12.75,-2.84,-0.64,-9.33,4.1,-16.83,156.32,22.71678000000003
