Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,e_alpha
2023-03-23 23-27-37-986360,0,0,1530,1470,178.857,-12.926,-1.08,1.2,-9.64,-7.12,-6.56,143.98,18.777840000000026
2023-03-23 23-27-38-208396,0,0,1530,1470,178.857,-12.926,-1.15,1.22,-9.63,-7.1,-6.83,144.92,19.717840000000024
2023-03-23 23-27-38-435618,0,0,1530,1470,178.857,-12.926,-1.14,1.19,-9.63,-7.08,-7.06,145.69,20.487840000000034
2023-03-23 23-27-38-657363,0,0,1530,1470,178.857,-13.014,-1.18,1.23,-9.5,-7.26,-7.01,148.4,23.197840000000042
2023-03-23 23-27-38-881470,0,0,1530,1470,178.857,-12.926,-1.09,1.36,-10.06,-7.89,-6.79,150.85,25.64784000000003
2023-03-23 23-27-39-105562,0,0,1530,1470,178.857,-12.926,-1.19,1.39,-9.68,-7.95,-7.31,149.75,24.547840000000036
2023-03-23 23-27-39-328455,0,0,1530,1470,178.857,-12.926,-1.18,1.38,-9.63,-8.16,-7.35,148.22,23.017840000000035
2023-03-23 23-27-39-552687,0,0,1530,1470,178.857,-12.926,-1.27,1.44,-9.58,-8.44,-7.65,146.92,21.717840000000024
2023-03-23 23-27-39-770213,0,0,1530,1470,178.857,-12.926,-1.47,1.47,-9.55,-8.58,-8.34,146.15,20.947840000000042
2023-03-23 23-27-39-996622,0,0,1530,1470,178.857,-12.926,-1.29,1.42,-9.58,-8.33,-7.58,143.12,17.91784000000004
2023-03-23 23-27-40-219148,0,0,1530,1470,178.857,-12.926,-1.04,1.34,-9.58,-7.77,-6.15,140.89,15.687840000000023
2023-03-23 23-27-40-442936,0,0,1530,1470,178.857,-12.926,-0.68,1.21,-9.66,-7.17,-4.17,138.98,13.777840000000026
2023-03-23 23-27-40-667857,0,0,1530,1470,178.857,-12.926,-0.47,1.13,-9.72,-6.63,-2.57,137.74,12.537840000000045
2023-03-23 23-27-40-891156,0,0,1530,1470,178.945,-12.926,-0.33,1.02,-9.69,-5.94,-1.74,137.12,11.91784000000004
2023-03-23 23-27-41-114666,0,0,1530,1470,178.945,-12.926,-0.17,0.81,-9.71,-4.69,-1.12,135.23,10.027840000000026
