Timestamp_cmd,imu_cmd
2023-02-16 05:31:21:989,0
2023-02-16 05:31:21:997,0
2023-02-16 05:31:22:7,0
2023-02-16 05:31:22:17,0
2023-02-16 05:31:22:27,0
2023-02-16 05:31:22:37,0
2023-02-16 05:31:22:47,0
2023-02-16 05:31:22:57,0
2023-02-16 05:31:22:67,0
2023-02-16 05:31:22:77,0
2023-02-16 05:31:22:87,0
2023-02-16 05:31:22:97,0
2023-02-16 05:31:22:107,0
2023-02-16 05:31:22:117,0
2023-02-16 05:31:22:127,0
2023-02-16 05:31:22:137,0
2023-02-16 05:31:22:147,0
2023-02-16 05:31:22:157,0
2023-02-16 05:31:22:167,0
2023-02-16 05:31:22:177,0
2023-02-16 05:31:22:187,0
2023-02-16 05:31:22:197,0
2023-02-16 05:31:22:212,0
2023-02-16 05:31:22:217,0
2023-02-16 05:31:22:227,0
2023-02-16 05:31:22:237,0
2023-02-16 05:31:22:247,0
2023-02-16 05:31:22:257,0
2023-02-16 05:31:22:267,0
2023-02-16 05:31:22:277,0
2023-02-16 05:31:22:287,0
2023-02-16 05:31:22:297,0
2023-02-16 05:31:22:307,0
2023-02-16 05:31:22:317,0
2023-02-16 05:31:22:328,0
2023-02-16 05:31:22:337,0
2023-02-16 05:31:22:348,0
2023-02-16 05:31:22:357,0
2023-02-16 05:31:22:367,0
2023-02-16 05:31:22:377,0
2023-02-16 05:31:22:387,0
2023-02-16 05:31:22:397,0
2023-02-16 05:31:22:407,0
2023-02-16 05:31:22:417,0
2023-02-16 05:31:22:427,0
2023-02-16 05:31:22:437,0
2023-02-16 05:31:22:447,0
2023-02-16 05:31:22:457,0
2023-02-16 05:31:22:467,0
2023-02-16 05:31:22:477,0
2023-02-16 05:31:22:487,0
2023-02-16 05:31:22:497,0
2023-02-16 05:31:22:507,0
2023-02-16 05:31:22:517,0
2023-02-16 05:31:22:527,0
2023-02-16 05:31:22:537,0
2023-02-16 05:31:22:547,0
2023-02-16 05:31:22:557,0
2023-02-16 05:31:22:567,0
2023-02-16 05:31:22:578,0
2023-02-16 05:31:22:588,0
2023-02-16 05:31:22:597,0
2023-02-16 05:31:22:607,0
2023-02-16 05:31:22:617,0
2023-02-16 05:31:22:627,0
2023-02-16 05:31:22:638,0
2023-02-16 05:31:22:648,0
2023-02-16 05:31:22:658,0
2023-02-16 05:31:22:667,0
2023-02-16 05:31:22:677,0
2023-02-16 05:31:22:687,0
2023-02-16 05:31:22:698,0
2023-02-16 05:31:22:708,0
2023-02-16 05:31:22:717,0
2023-02-16 05:31:22:727,0
2023-02-16 05:31:22:737,0
2023-02-16 05:31:22:748,0
2023-02-16 05:31:22:757,0
2023-02-16 05:31:22:768,0
2023-02-16 05:31:22:778,0
2023-02-16 05:31:22:788,0
2023-02-16 05:31:22:797,0
2023-02-16 05:31:22:807,0
2023-02-16 05:31:22:818,0
2023-02-16 05:31:22:827,0
2023-02-16 05:31:22:838,0
2023-02-16 05:31:22:847,0
2023-02-16 05:31:22:858,0
2023-02-16 05:31:22:868,0
2023-02-16 05:31:22:877,0
2023-02-16 05:31:22:888,0
2023-02-16 05:31:22:897,0
2023-02-16 05:31:22:907,0
2023-02-16 05:31:22:917,0
2023-02-16 05:31:22:927,0
2023-02-16 05:31:22:937,0
2023-02-16 05:31:22:947,0
2023-02-16 05:31:22:957,0
2023-02-16 05:31:22:967,0
2023-02-16 05:31:22:977,0
2023-02-16 05:31:22:988,0
2023-02-16 05:31:22:997,0
2023-02-16 05:31:23:7,0
2023-02-16 05:31:23:17,0
2023-02-16 05:31:23:27,0
2023-02-16 05:31:23:38,0
2023-02-16 05:31:23:48,0
2023-02-16 05:31:23:58,0
2023-02-16 05:31:23:68,0
2023-02-16 05:31:23:77,0
2023-02-16 05:31:23:88,0
2023-02-16 05:31:23:97,0
2023-02-16 05:31:23:108,0
2023-02-16 05:31:23:117,0
2023-02-16 05:31:23:127,0
2023-02-16 05:31:23:137,0
2023-02-16 05:31:23:147,0
2023-02-16 05:31:23:157,0
2023-02-16 05:31:23:167,0
2023-02-16 05:31:23:178,0
2023-02-16 05:31:23:187,0
2023-02-16 05:31:23:197,0
2023-02-16 05:31:23:207,0
2023-02-16 05:31:23:218,0
2023-02-16 05:31:23:227,0
2023-02-16 05:31:23:238,0
2023-02-16 05:31:23:247,0
2023-02-16 05:31:23:258,0
2023-02-16 05:31:23:268,0
2023-02-16 05:31:23:277,0
2023-02-16 05:31:23:287,0
2023-02-16 05:31:23:298,0
2023-02-16 05:31:23:307,0
2023-02-16 05:31:23:318,0
2023-02-16 05:31:23:328,0
2023-02-16 05:31:23:338,0
2023-02-16 05:31:23:348,0
2023-02-16 05:31:23:357,0
2023-02-16 05:31:23:368,0
2023-02-16 05:31:23:377,0
2023-02-16 05:31:23:387,0
2023-02-16 05:31:23:397,0
2023-02-16 05:31:23:407,0
2023-02-16 05:31:23:417,0
2023-02-16 05:31:23:427,0
2023-02-16 05:31:23:437,0
2023-02-16 05:31:23:447,0
2023-02-16 05:31:23:457,0
2023-02-16 05:31:23:467,0
2023-02-16 05:31:23:477,0
2023-02-16 05:31:23:487,0
2023-02-16 05:31:23:497,0
2023-02-16 05:31:23:507,0
2023-02-16 05:31:23:517,0
2023-02-16 05:31:23:527,0
2023-02-16 05:31:23:537,0
2023-02-16 05:31:23:547,0
2023-02-16 05:31:23:557,0
2023-02-16 05:31:23:567,0
2023-02-16 05:31:23:577,0
2023-02-16 05:31:23:587,0
2023-02-16 05:31:23:597,0
2023-02-16 05:31:23:607,0
2023-02-16 05:31:23:617,0
2023-02-16 05:31:23:627,0
2023-02-16 05:31:23:637,0
2023-02-16 05:31:23:647,0
2023-02-16 05:31:23:657,0
2023-02-16 05:31:23:667,0
2023-02-16 05:31:23:677,0
2023-02-16 05:31:23:687,0
2023-02-16 05:31:23:697,0
2023-02-16 05:31:23:707,0
2023-02-16 05:31:23:717,0
2023-02-16 05:31:23:728,0
2023-02-16 05:31:23:737,0
2023-02-16 05:31:23:747,0
2023-02-16 05:31:23:758,0
2023-02-16 05:31:23:767,0
2023-02-16 05:31:23:777,0
2023-02-16 05:31:23:787,0
2023-02-16 05:31:23:797,0
2023-02-16 05:31:23:807,0
2023-02-16 05:31:23:817,0
2023-02-16 05:31:23:827,0
2023-02-16 05:31:23:837,0
2023-02-16 05:31:23:847,0
2023-02-16 05:31:23:857,0
2023-02-16 05:31:23:867,0
2023-02-16 05:31:23:877,0
2023-02-16 05:31:23:888,0
2023-02-16 05:31:23:897,0
2023-02-16 05:31:23:907,0
2023-02-16 05:31:23:917,0
2023-02-16 05:31:23:927,0
2023-02-16 05:31:23:937,0
2023-02-16 05:31:23:947,0
2023-02-16 05:31:23:957,0
2023-02-16 05:31:23:967,0
2023-02-16 05:31:23:977,0
2023-02-16 05:31:23:987,0
2023-02-16 05:31:23:997,0
2023-02-16 05:31:24:7,0
2023-02-16 05:31:24:17,0
2023-02-16 05:31:24:27,0
2023-02-16 05:31:24:37,0
2023-02-16 05:31:24:47,0
2023-02-16 05:31:24:57,0
2023-02-16 05:31:24:67,0
2023-02-16 05:31:24:77,0
2023-02-16 05:31:24:87,0
2023-02-16 05:31:24:97,0
2023-02-16 05:31:24:107,0
